$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,5b77e61833f8c6322b712f4e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,171170.113,1.770,-0.244,-0.732,-0.06494,-0.14843,0.95019,9.70
$BARO,171169.087,102531.21,10.94
$IMU,171170.189,14.343,-16.723,0.610,0.03125,-0.06298,1.04882,9.74
$BARO,171170.265,102445.76,9.30
$IMU,171170.266,11.901,-31.250,5.126,0.08300,-0.06982,1.03027,9.75
$MAG,171170.271,-0.216,-0.232,0.063,7.2
$BARO,171170.306,102443.51,9.30
$HUM,171170.310,54.5,9.6
$IMU,171170.342,8.789,-36.376,0.427,0.10595,-0.15917,0.96533,9.75
$BARO,171170.346,102444.56,9.30
$MAG,171170.366,-0.240,-0.237,0.058,7.3
$BARO,171170.387,102442.68,9.31
$HUM,171170.390,54.5,9.6
$IMU,171170.419,17.150,-31.066,-8.728,0.25146,-0.10253,0.91113,9.78
$BARO,171170.427,102439.27,9.31
$MAG,171170.461,-0.247,-0.259,0.057,7.3
$BARO,171170.467,102439.86,9.31
$HUM,171170.470,54.4,9.6
$IMU,171170.495,17.883,-0.549,-17.761,0.36767,-0.01171,0.80957,9.79
$BARO,171170.508,102446.76,9.32
$BARO,171170.548,102448.17,9.32
$HUM,171170.551,54.5,9.6
$MAG,171170.556,-0.216,-0.240,0.067,7.2
$IMU,171170.571,6.164,44.433,-19.775,0.06005,0.02929,0.99707,9.80
$BARO,171170.589,102436.25,9.32
$BARO,171170.629,102434.57,9.32
$HUM,171170.631,54.5,9.6
$IMU,171170.648,-2.868,33.142,-6.408,-0.07128,0.02636,1.03027,9.79
$MAG,171170.651,-0.201,-0.238,0.079,7.5
$BARO,171170.670,102440.78,9.32
$BARO,171170.710,102445.07,9.32
$HUM,171170.711,54.6,9.7
$IMU,171170.724,-10.986,7.507,-4.760,0.03125,-0.00097,1.03564,9.78
$MAG,171170.746,-0.204,-0.235,0.081,7.3
$BARO,171170.750,102436.40,9.33
$BARO,171170.791,102436.01,9.33
$HUM,171170.792,54.5,9.7
$IMU,171170.801,-13.549,-0.976,1.220,0.06738,-0.10644,1.02148,9.86
$BARO,171170.831,102442.39,9.34
$MAG,171170.841,-0.208,-0.232,0.070,7.3
$BARO,171170.872,102436.20,9.33
$HUM,171170.872,54.5,9.6
$IMU,171170.877,-4.882,-2.929,4.394,0.06835,-0.04199,1.01269,9.82
$BARO,171170.912,102437.25,9.33
$MAG,171170.936,-0.205,-0.226,0.082,7.3
$BARO,171170.952,102442.49,9.33
$HUM,171170.953,54.5,9.7
$IMU,171170.953,-3.173,-3.051,4.516,0.08105,-0.06103,1.00683,9.86
$BARO,171170.993,102449.58,9.34
$IMU,171171.030,-1.892,-1.831,4.089,0.06689,-0.09619,1.00683,9.87
$MAG,171171.031,-0.198,-0.228,0.067,7.5
$BARO,171171.033,102443.95,9.34
$HUM,171171.033,54.5,9.7
$VBAT,171171.037,3.968
$BARO,171171.074,102446.95,9.34
$IMU,171171.106,0.732,-1.892,2.502,0.07080,-0.07080,1.01318,9.85
$HUM,171171.113,54.5,9.7
$BARO,171171.114,102440.25,9.34
$MAG,171171.126,-0.210,-0.235,0.073,7.3
$BARO,171171.154,102447.73,9.34
$IMU,171171.183,2.258,-0.915,-0.915,0.09326,-0.05810,1.01171,9.84
$HUM,171171.194,54.5,9.7
$BARO,171171.195,102438.86,9.34
$MAG,171171.222,-0.202,-0.232,0.072,7.0
$BARO,171171.235,102446.63,9.34
$IMU,171171.259,3.295,3.051,-2.563,0.11279,-0.07666,0.98486,9.86
$HUM,171171.274,54.5,9.7
$BARO,171171.276,102449.73,9.35
$BARO,171171.316,102444.81,9.34
$MAG,171171.317,-0.190,-0.243,0.076,7.0
$IMU,171171.335,12.817,19.653,7.873,0.23242,-0.07324,0.84228,9.91
$HUM,171171.355,54.5,9.7
$BARO,171171.356,102440.69,9.35
$BARO,171171.397,102441.76,9.35
$IMU,171171.412,36.987,80.688,31.555,0.16357,-0.02539,0.67578,9.85
$MAG,171171.412,-0.121,-0.279,0.108,7.5
$HUM,171171.435,54.6,9.7
$BARO,171171.437,102444.29,9.34
$BARO,171171.478,102449.24,9.35
$IMU,171171.488,72.387,149.169,47.729,-0.28613,0.11572,0.65234,9.84
$MAG,171171.507,-0.039,-0.336,0.186,7.5
$HUM,171171.515,54.6,9.7
$BARO,171171.518,102441.76,9.34
$BARO,171171.558,102445.34,9.35
