$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,5ce3c731c49978f6c66c52bb
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,173654.799,-1.098,4.272,3.967,-0.10644,-0.14257,0.90917,10.73
$IMU,173654.875,-0.793,4.333,16.784,-0.14941,-0.15136,0.98486,10.74
$BARO,173654.889,102213.12,10.45
$MAG,173654.895,-0.475,-0.396,-0.043,8.4
$BARO,173654.930,102213.10,10.46
$HUM,173654.934,47.1,10.8
$IMU,173654.951,-3.295,-7.507,13.977,-0.10009,-0.12304,0.99218,10.74
$BARO,173654.970,102210.88,10.45
$MAG,173654.990,-0.487,-0.387,-0.036,8.3
$BARO,173655.011,102205.30,10.46
$HUM,173655.014,47.2,10.8
$IMU,173655.028,-4.150,-11.779,10.498,-0.10742,-0.10742,1.00830,10.77
$BARO,173655.051,102209.20,10.46
$MAG,173655.086,-0.495,-0.382,-0.046,8.4
$BARO,173655.091,102210.32,10.46
$HUM,173655.094,47.1,10.9
$IMU,173655.104,-4.394,-17.272,7.263,-0.02685,-0.09179,1.03564,10.78
$BARO,173655.132,102212.58,10.46
$BARO,173655.172,102219.87,10.47
$HUM,173655.175,47.1,10.9
$MAG,173655.181,-0.508,-0.366,-0.048,8.4
$IMU,173655.181,-13.610,-14.526,4.211,-0.04541,-0.17285,1.14355,10.81
$BARO,173655.213,102216.44,10.47
$BARO,173655.253,102216.05,10.47
$HUM,173655.255,47.1,10.9
$IMU,173655.257,-30.273,-12.451,-0.061,-0.06054,-0.36279,1.04541,10.81
$MAG,173655.276,-0.538,-0.345,-0.040,8.4
$BARO,173655.293,102213.58,10.47
$IMU,173655.333,-16.418,-23.498,7.324,-0.00634,-0.41015,0.85449,10.80
$BARO,173655.334,102205.05,10.47
$HUM,173655.335,47.2,10.9
$MAG,173655.371,-0.549,-0.330,-0.021,8.4
$BARO,173655.374,102219.24,10.47
$IMU,173655.410,3.234,-37.109,12.695,0.16357,-0.34228,0.86035,10.81
$BARO,173655.414,102206.08,10.48
$HUM,173655.416,47.2,10.9
$BARO,173655.455,102209.39,10.48
$MAG,173655.467,-0.561,-0.318,-0.009,8.4
$IMU,173655.486,-5.432,-23.010,19.348,0.16748,-0.31787,0.88281,10.84
$BARO,173655.495,102202.69,10.48
$HUM,173655.496,47.2,10.9
$BARO,173655.536,102210.17,10.48
$MAG,173655.562,-0.579,-0.288,-0.006,8.4
$IMU,173655.563,-8.972,-19.714,54.260,0.04980,-0.43652,0.80419,10.84
$BARO,173655.576,102205.69,10.48
$HUM,173655.576,47.2,10.9
$BARO,173655.616,102208.42,10.48
$IMU,173655.639,7.080,-34.790,64.270,0.24707,-0.42919,0.94531,10.86
$BARO,173655.657,102204.32,10.48
$HUM,173655.657,47.1,10.9
$MAG,173655.657,-0.603,-0.271,0.012,8.4
$BARO,173655.697,102217.07,10.48
$IMU,173655.715,5.859,-21.484,58.349,0.21972,-0.49755,0.94775,10.88
$BARO,173655.737,102203.35,10.48
$HUM,173655.737,47.2,10.9
$VBAT,173655.751,3.911
$MAG,173655.752,-0.592,-0.247,0.013,8.4
$BARO,173655.778,102214.02,10.49
$IMU,173655.792,8.422,-1.403,38.635,0.21142,-0.51220,0.89111,10.85
$HUM,173655.817,47.1,11.0
$BARO,173655.818,102209.73,10.49
$MAG,173655.848,-0.579,-0.246,-0.001,8.4
$BARO,173655.859,102214.02,10.49
$IMU,173655.868,18.859,17.883,29.113,0.17236,-0.37304,0.91015,10.83
$HUM,173655.898,47.1,10.9
$BARO,173655.899,102211.17,10.49
$BARO,173655.939,102219.09,10.49
$MAG,173655.943,-0.538,-0.280,-0.018,8.4
$IMU,173655.945,44.311,30.822,43.884,0.21923,-0.48876,0.81005,10.85
$HUM,173655.978,46.7,10.9
$BARO,173655.980,102206.88,10.49
$BARO,173656.020,102213.63,10.49
$IMU,173656.021,123.107,56.579,75.866,0.10742,-0.24560,0.72363,10.84
$MAG,173656.038,-0.478,-0.382,-0.034,8.5
$HUM,173656.058,45.4,10.9
$BARO,173656.061,102211.76,10.49
$IMU,173656.098,205.322,86.975,73.547,-0.13525,0.33203,0.53808,10.86
$BARO,173656.101,102215.92,10.50
$MAG,173656.133,-0.421,-0.556,0.028,8.4
$HUM,173656.139,40.3,10.9
$BARO,173656.141,102210.27,10.50
$IMU,173656.174,233.093,103.698,38.452,-0.46728,1.06933,0.73974,10.89
$BARO,173656.182,102221.70,10.49
$HUM,173656.219,37.2,10.9
$BARO,173656.222,102213.78,10.50
