$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,82b909349784f1f3e7b9ecbe
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,209835.633,-4.638,-3.234,-2.014,-0.23974,-0.00927,0.78417,15.82
$IMU,209835.709,-12.329,-28.686,1.037,-0.14306,-0.04931,0.64648,15.88
$BARO,209835.725,99939.20,15.43
$MAG,209835.731,-0.223,-0.130,-0.120,13.5
$BARO,209835.766,99927.45,15.43
$HUM,209835.770,53.2,16.0
$IMU,209835.785,1.281,-19.775,10.192,-0.03466,0.02539,0.79980,15.86
$BARO,209835.806,99942.83,15.44
$MAG,209835.827,-0.211,-0.135,-0.129,13.5
$BARO,209835.847,99939.57,15.44
$HUM,209835.850,53.3,16.0
$IMU,209835.862,4.943,-5.737,8.911,-0.12011,0.06933,1.11474,15.91
$BARO,209835.887,99936.06,15.45
$MAG,209835.922,-0.229,-0.123,-0.118,13.5
$BARO,209835.927,99940.35,15.44
$HUM,209835.930,53.2,16.0
$IMU,209835.938,-8.789,-6.469,-4.943,-0.13330,-0.11816,1.24560,15.87
$BARO,209835.968,99938.37,15.45
$BARO,209836.008,99929.65,15.45
$HUM,209836.011,53.3,16.0
$IMU,209836.015,-12.145,-23.986,-18.554,0.02880,-0.23925,1.23388,15.91
$MAG,209836.018,-0.274,-0.117,-0.111,13.7
$BARO,209836.048,99933.30,15.45
$BARO,209836.089,99934.11,15.45
$HUM,209836.091,53.3,16.1
$IMU,209836.091,-11.779,-13.854,-15.747,0.11474,-0.30468,1.07714,15.93
$MAG,209836.114,-0.259,-0.106,-0.108,13.7
$BARO,209836.129,99931.99,15.45
$IMU,209836.168,-8.300,5.676,-5.187,-0.04687,-0.24218,0.83789,15.91
$BARO,209836.169,99930.04,15.46
$HUM,209836.172,53.4,16.1
$MAG,209836.209,-0.267,-0.093,-0.117,13.7
$BARO,209836.210,99940.25,15.46
$IMU,209836.244,6.103,1.159,-6.958,-0.06689,-0.12548,0.69580,15.96
$BARO,209836.250,99930.28,15.46
$HUM,209836.252,53.3,16.1
$BARO,209836.290,99940.96,15.46
$MAG,209836.305,-0.267,-0.120,-0.123,13.7
$IMU,209836.320,19.897,-2.319,-16.845,0.01953,0.01757,0.76611,15.97
$BARO,209836.331,99934.81,15.46
$HUM,209836.332,53.2,16.1
$BARO,209836.371,99935.84,15.46
$IMU,209836.397,23.620,1.647,-12.878,0.05419,0.10546,1.03125,15.94
$MAG,209836.401,-0.270,-0.144,-0.123,13.7
$BARO,209836.411,99936.57,15.46
$HUM,209836.413,53.3,16.1
$BARO,209836.452,99929.35,15.46
$IMU,209836.473,13.122,11.596,0.671,-0.02734,-0.01171,1.31689,15.97
$BARO,209836.492,99938.20,15.46
$HUM,209836.493,53.2,16.1
$MAG,209836.496,-0.249,-0.156,-0.123,13.5
$BARO,209836.532,99931.35,15.47
$IMU,209836.550,6.896,31.982,22.399,0.12939,-0.11230,1.06347,15.94
$VBAT,209836.556,4.159
$BARO,209836.573,99933.91,15.47
$HUM,209836.573,53.1,16.0
$MAG,209836.592,-0.159,-0.171,-0.121,13.8
$BARO,209836.613,99943.76,15.47
$IMU,209836.626,34.790,98.632,78.979,0.17578,0.10107,0.73242,15.94
$BARO,209836.653,99935.55,15.47
$HUM,209836.654,52.9,16.1
$MAG,209836.687,0.022,-0.265,-0.093,13.7
$BARO,209836.694,99939.03,15.47
$IMU,209836.703,82.580,184.448,142.028,-0.47265,0.21337,0.30566,15.93
$BARO,209836.734,99935.01,15.48
$HUM,209836.734,52.5,16.1
$BARO,209836.774,99937.37,15.48
$IMU,209836.779,153.259,188.293,138.122,-0.69238,0.70751,0.17138,15.97
$MAG,209836.783,0.133,-0.465,0.036,13.7
$HUM,209836.814,52.5,16.1
$BARO,209836.815,99938.49,15.48
$BARO,209836.855,99941.86,15.47
$IMU,209836.855,169.921,146.972,118.530,-0.68945,1.05664,0.17968,15.94
$MAG,209836.879,0.135,-0.595,0.165,13.8
$BARO,209836.895,99947.39,15.48
$HUM,209836.895,52.8,16.1
$IMU,209836.932,127.197,90.026,104.064,-0.64453,1.29150,0.27734,15.99
$BARO,209836.936,99939.74,15.48
$MAG,209836.974,0.103,-0.654,0.226,13.7
$HUM,209836.975,53.2,16.1
$BARO,209836.976,99941.30,15.48
$IMU,209837.008,45.043,48.950,64.575,-0.71386,1.21191,0.22949,15.94
$BARO,209837.016,99941.30,15.48
$HUM,209837.055,53.1,16.2
$BARO,209837.057,99938.20,15.48
