$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,ade3ccce47251ca30d0db27b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,211305.833,4.333,-0.915,-10.253,0.20947,0.16259,0.80419,16.78
$IMU,211305.909,14.343,13.000,-29.724,0.10644,0.29248,1.15283,16.79
$BARO,211305.924,99921.31,16.34
$MAG,211305.929,-0.273,-0.247,-0.130,14.5
$BARO,211305.964,99916.87,16.35
$HUM,211305.968,54.9,16.9
$IMU,211305.985,-3.540,40.893,10.437,-0.15869,0.27636,1.35595,16.83
$BARO,211306.004,99918.85,16.35
$MAG,211306.025,-0.253,-0.219,-0.130,14.5
$BARO,211306.045,99912.02,16.36
$HUM,211306.048,54.8,17.0
$IMU,211306.062,-30.212,23.864,24.719,-0.28271,-0.14453,1.04785,16.85
$BARO,211306.085,99918.31,16.36
$MAG,211306.121,-0.244,-0.184,-0.139,14.7
$BARO,211306.125,99916.14,16.36
$HUM,211306.129,54.8,16.9
$IMU,211306.138,-21.789,0.488,8.178,-0.11816,-0.25732,0.88134,16.84
$BARO,211306.166,99917.19,16.36
$BARO,211306.206,99918.95,16.36
$HUM,211306.209,54.8,17.0
$IMU,211306.215,0.427,-1.342,5.493,-0.02636,-0.03417,0.73339,16.85
$MAG,211306.216,-0.228,-0.201,-0.133,15.0
$BARO,211306.246,99915.22,16.36
$BARO,211306.287,99910.54,16.37
$HUM,211306.289,54.9,17.0
$IMU,211306.291,9.399,-3.662,12.207,0.01660,0.13378,0.82226,16.85
$MAG,211306.312,-0.237,-0.204,-0.132,14.5
$BARO,211306.327,99928.28,16.37
$BARO,211306.367,99918.29,16.37
$IMU,211306.368,8.422,0.122,5.310,0.03710,0.16308,1.06054,16.87
$HUM,211306.370,54.9,17.0
$MAG,211306.407,-0.241,-0.202,-0.132,14.5
$BARO,211306.408,99920.80,16.36
$IMU,211306.444,5.554,1.770,-3.051,-0.09082,0.08251,1.29492,16.87
$BARO,211306.448,99921.63,16.37
$HUM,211306.450,54.9,17.0
$BARO,211306.488,99914.34,16.37
$MAG,211306.503,-0.264,-0.205,-0.130,14.9
$IMU,211306.520,-5.187,-18.066,-14.099,0.10351,0.04931,1.36718,16.88
$BARO,211306.528,99916.85,16.37
$HUM,211306.530,55.0,17.0
$BARO,211306.569,99923.70,16.38
$IMU,211306.597,-22.155,-13.305,-25.634,0.05126,-0.17236,1.14746,16.88
$MAG,211306.599,-0.282,-0.172,-0.124,14.5
$BARO,211306.609,99919.65,16.37
$HUM,211306.611,55.0,17.1
$BARO,211306.649,99915.44,16.38
$IMU,211306.673,-14.343,-18.066,-30.883,0.24169,-0.14550,0.76855,16.89
$BARO,211306.690,99922.26,16.38
$HUM,211306.691,55.0,17.1
$MAG,211306.694,-0.300,-0.174,-0.130,14.7
$BARO,211306.730,99916.68,16.38
$IMU,211306.750,4.333,-0.976,-23.254,0.05810,-0.03320,0.65185,16.88
$BARO,211306.770,99920.94,16.38
$HUM,211306.771,54.9,17.1
$VBAT,211306.771,4.127
$MAG,211306.790,-0.294,-0.190,-0.130,14.8
$BARO,211306.811,99914.05,16.38
$IMU,211306.826,13.610,8.178,-28.686,-0.00927,0.09667,0.77832,16.92
$BARO,211306.851,99916.68,16.38
$HUM,211306.852,55.0,17.1
$MAG,211306.886,-0.301,-0.205,-0.124,14.7
$BARO,211306.891,99920.02,16.38
$IMU,211306.903,12.451,4.089,-21.850,0.06298,0.17773,1.05078,16.92
$BARO,211306.931,99914.95,16.39
$HUM,211306.932,54.8,17.1
$BARO,211306.972,99926.38,16.39
$IMU,211306.979,1.586,13.854,0.793,-0.08496,0.07568,1.27880,16.95
$MAG,211306.981,-0.289,-0.190,-0.133,14.7
$BARO,211307.012,99918.29,16.39
$HUM,211307.012,55.1,17.1
$BARO,211307.052,99911.78,16.39
$IMU,211307.055,-6.713,14.709,16.113,-0.13330,0.00097,1.26318,16.88
$MAG,211307.077,-0.273,-0.190,-0.121,14.7
$BARO,211307.093,99920.65,16.39
$HUM,211307.093,54.9,17.1
$IMU,211307.132,-7.202,12.023,24.047,-0.25146,-0.09960,1.08740,16.90
$BARO,211307.133,99918.90,16.39
$BARO,211307.173,99924.65,16.39
$HUM,211307.173,55.0,17.1
$MAG,211307.173,-0.267,-0.190,-0.129,14.9
$IMU,211307.208,-9.948,-7.080,23.132,-0.07031,-0.08496,0.82861,16.93
$BARO,211307.214,99918.36,16.39
$HUM,211307.253,54.9,17.1
$BARO,211307.254,99918.29,16.39
