$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,7403210d8adb8f5e3762f2d1
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,215167.442,0.427,-2.685,3.295,-0.19287,-0.55419,0.97851,15.11
$IMU,215167.518,25.573,-23.925,10.131,0.04541,-0.26123,0.90625,15.11
$BARO,215167.535,99925.06,14.55
$MAG,215167.541,-0.403,-0.238,-0.168,12.9
$BARO,215167.576,99914.17,14.56
$HUM,215167.580,61.6,15.1
$IMU,215167.595,32.104,-17.761,10.620,0.02685,-0.03662,0.78369,15.13
$BARO,215167.616,99916.78,14.56
$MAG,215167.637,-0.415,-0.255,-0.169,12.7
$BARO,215167.656,99913.19,14.56
$HUM,215167.660,61.8,15.2
$IMU,215167.671,18.859,-10.925,6.835,0.01513,0.01367,0.84472,15.15
$BARO,215167.697,99921.51,14.57
$MAG,215167.732,-0.414,-0.261,-0.172,12.7
$BARO,215167.737,99912.32,14.57
$HUM,215167.740,61.7,15.2
$IMU,215167.748,3.417,-1.525,-9.094,-0.01074,-0.04101,0.96337,15.16
$BARO,215167.777,99916.05,14.57
$BARO,215167.818,99920.82,14.58
$HUM,215167.821,61.8,15.2
$IMU,215167.824,-2.014,0.671,-20.141,-0.05908,-0.10595,1.08984,15.16
$MAG,215167.828,-0.420,-0.261,-0.175,12.5
$BARO,215167.858,99920.43,14.58
$BARO,215167.898,99919.31,14.58
$HUM,215167.901,61.8,15.2
$IMU,215167.901,0.854,-7.202,-23.925,-0.02441,-0.13427,1.18994,15.14
$MAG,215167.923,-0.427,-0.267,-0.169,12.7
$BARO,215167.939,99922.46,14.58
$IMU,215167.977,-9.277,-10.375,-16.784,0.05517,-0.23291,1.14257,15.17
$BARO,215167.979,99921.60,14.58
$HUM,215167.981,61.8,15.2
$BARO,215168.019,99922.50,14.58
$MAG,215168.019,-0.453,-0.265,-0.162,13.0
$IMU,215168.053,-8.239,-5.981,-14.709,0.11132,-0.31835,0.91552,15.20
$BARO,215168.060,99919.75,14.59
$HUM,215168.062,61.9,15.3
$BARO,215168.100,99915.48,14.59
$MAG,215168.114,-0.463,-0.273,-0.166,12.7
$IMU,215168.130,13.366,-7.263,-12.573,0.15625,-0.15332,0.96484,15.19
$BARO,215168.140,99912.10,14.59
$HUM,215168.142,62.0,15.3
$BARO,215168.181,99920.34,14.59
$IMU,215168.206,5.004,2.014,-21.667,0.09667,-0.06250,0.86621,15.19
$MAG,215168.210,-0.460,-0.282,-0.168,12.8
$BARO,215168.221,99917.97,14.59
$HUM,215168.223,61.9,15.2
$BARO,215168.261,99909.78,14.59
$IMU,215168.283,0.549,6.591,-22.094,0.09033,-0.04736,0.84179,15.25
$BARO,215168.302,99925.65,14.59
$HUM,215168.303,61.8,15.2
$MAG,215168.305,-0.462,-0.300,-0.172,12.8
$BARO,215168.342,99919.26,14.59
$IMU,215168.359,5.737,7.324,-14.709,0.04052,-0.00146,0.91699,15.20
$VBAT,215168.367,4.076
$BARO,215168.382,99913.46,14.59
$HUM,215168.383,61.9,15.3
$MAG,215168.401,-0.454,-0.300,-0.177,12.8
$BARO,215168.423,99922.41,14.60
$IMU,215168.435,9.765,9.399,-10.437,0.01025,0.01855,1.01464,15.21
$BARO,215168.463,99917.12,14.59
$HUM,215168.464,61.9,15.2
$MAG,215168.496,-0.435,-0.321,-0.178,12.8
$BARO,215168.503,99921.82,14.59
$IMU,215168.512,14.648,13.977,-2.441,-0.05566,0.01367,1.09814,15.22
$BARO,215168.544,99922.65,14.60
$HUM,215168.544,61.9,15.3
$BARO,215168.584,99912.39,14.60
$IMU,215168.588,0.305,17.700,9.033,-0.09326,-0.04296,1.26074,15.21
$MAG,215168.592,-0.420,-0.300,-0.180,12.7
$BARO,215168.624,99919.12,14.60
$HUM,215168.625,61.8,15.3
$BARO,215168.665,99919.31,14.60
$IMU,215168.665,-27.160,13.610,12.145,-0.16699,-0.32470,1.05712,15.20
$MAG,215168.687,-0.423,-0.294,-0.174,12.9
$BARO,215168.705,99926.55,14.60
$HUM,215168.705,61.7,15.3
$IMU,215168.741,-10.803,-6.042,5.065,-0.10986,-0.24462,0.97119,15.20
$BARO,215168.745,99919.73,14.60
$MAG,215168.783,-0.420,-0.286,-0.183,12.7
$HUM,215168.785,61.7,15.3
$BARO,215168.786,99931.69,14.60
$IMU,215168.818,-1.037,-8.728,5.371,-0.06591,-0.12695,0.88671,15.20
$BARO,215168.826,99927.82,14.60
$BARO,215168.866,99918.99,14.60
