$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,13caa6d7cedd2db27a3d55d0
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,216484.506,-2.075,-3.723,-1.831,-0.27148,-0.36669,0.88867,16.21
$BARO,216483.443,99931.99,14.88
$IMU,216484.583,-1.892,-25.512,0.793,0.07226,-0.20117,0.88916,16.24
$BARO,216484.600,99964.87,15.85
$MAG,216484.606,-0.372,-0.162,-0.138,13.9
$BARO,216484.640,99971.82,15.85
$HUM,216484.644,61.4,16.5
$IMU,216484.659,-10.192,-1.159,18.798,-0.14697,-0.15917,0.86132,16.25
$BARO,216484.681,99979.30,15.85
$MAG,216484.701,-0.357,-0.133,-0.136,14.0
$BARO,216484.721,99964.33,15.85
$HUM,216484.725,61.3,16.6
$IMU,216484.735,-17.150,13.183,12.451,-0.00146,-0.30908,0.80712,16.29
$BARO,216484.761,99973.64,15.86
$MAG,216484.797,-0.327,-0.130,-0.142,14.0
$BARO,216484.802,99973.91,15.86
$HUM,216484.805,61.3,16.5
$IMU,216484.812,-4.760,20.446,8.911,-0.19482,-0.23388,0.93164,16.27
$BARO,216484.842,99977.79,15.86
$BARO,216484.882,99961.89,15.86
$HUM,216484.885,61.1,16.6
$IMU,216484.888,-2.258,13.061,-4.028,-0.18164,-0.17236,0.97949,16.36
$MAG,216484.893,-0.330,-0.129,-0.136,14.0
$BARO,216484.923,99982.47,15.87
$BARO,216484.963,99971.18,15.87
$IMU,216484.965,1.342,-1.037,-6.530,-0.17871,-0.14550,1.03515,16.30
$HUM,216484.966,61.2,16.6
$MAG,216484.988,-0.346,-0.132,-0.132,14.0
$BARO,216485.003,99974.55,15.87
$IMU,216485.041,3.601,-9.948,-11.169,-0.14599,-0.16796,1.13037,16.32
$BARO,216485.043,99969.62,15.87
$HUM,216485.046,61.1,16.6
$BARO,216485.084,99970.47,15.87
$MAG,216485.084,-0.372,-0.145,-0.123,14.2
$IMU,216485.118,-0.427,-10.437,-22.033,-0.07519,-0.27539,1.17871,16.33
$BARO,216485.124,99966.92,15.87
$HUM,216485.126,61.2,16.6
$BARO,216485.164,99974.25,15.88
$MAG,216485.179,-0.385,-0.139,-0.139,14.0
$IMU,216485.194,-0.976,-10.192,-17.089,-0.03027,-0.37890,1.01953,16.33
$BARO,216485.205,99962.19,15.87
$HUM,216485.207,61.2,16.6
$BARO,216485.245,99968.16,15.88
$IMU,216485.270,13.061,-8.972,-8.422,0.00683,-0.31494,0.86816,16.30
$MAG,216485.275,-0.385,-0.159,-0.136,14.2
$BARO,216485.285,99969.74,15.88
$HUM,216485.287,61.2,16.6
$BARO,216485.326,99968.01,15.88
$IMU,216485.347,18.798,-4.516,-8.728,0.03515,-0.20800,1.00195,16.33
$BARO,216485.366,99963.24,15.88
$HUM,216485.368,61.1,16.6
$MAG,216485.371,-0.403,-0.172,-0.139,14.0
$BARO,216485.406,99973.91,15.88
$IMU,216485.423,7.446,0.732,-8.605,0.00634,-0.25341,0.88574,16.36
$VBAT,216485.437,4.048
$BARO,216485.447,99971.35,15.88
$HUM,216485.448,61.1,16.6
$MAG,216485.466,-0.400,-0.181,-0.147,14.3
$BARO,216485.487,99973.57,15.89
$IMU,216485.500,11.108,0.732,-6.225,0.00537,-0.13330,0.91699,16.36
$BARO,216485.527,99965.58,15.89
$HUM,216485.528,61.2,16.6
$MAG,216485.562,-0.384,-0.187,-0.157,14.0
$BARO,216485.567,99968.06,15.89
$IMU,216485.576,7.507,2.258,-4.699,0.03173,-0.06738,0.95458,16.34
$BARO,216485.608,99970.28,15.89
$HUM,216485.609,61.1,16.7
$BARO,216485.648,99967.67,15.89
$IMU,216485.653,1.525,6.347,-0.915,-0.03857,-0.08007,0.96533,16.33
$MAG,216485.657,-0.384,-0.184,-0.145,14.0
$BARO,216485.688,99962.60,15.89
$HUM,216485.689,61.0,16.6
$BARO,216485.729,99968.13,15.89
$IMU,216485.729,3.234,1.159,-1.892,-0.04492,-0.05859,1.03710,16.31
$MAG,216485.753,-0.384,-0.190,-0.144,14.2
$BARO,216485.769,99972.40,15.89
$HUM,216485.769,61.0,16.7
$IMU,216485.805,6.469,-1.770,-2.502,0.07666,-0.06884,1.08496,16.39
$BARO,216485.809,99972.25,15.89
$MAG,216485.849,-0.369,-0.193,-0.156,14.0
$BARO,216485.850,99971.33,15.89
$HUM,216485.850,61.0,16.6
$IMU,216485.882,3.601,17.028,6.591,-0.00390,-0.08154,1.16357,16.37
$BARO,216485.890,99969.35,15.90
