$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,680693f91fb4d98d4ae110ab
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,218432.649,-2.075,4.272,-1.159,0.06054,-0.17382,0.92089,19.30
$IMU,218432.725,-0.671,11.352,-3.051,-0.01416,-0.15380,1.00781,19.27
$BARO,218432.740,100036.19,18.98
$MAG,218432.746,-0.312,-0.493,-0.213,17.4
$BARO,218432.781,100036.24,18.98
$HUM,218432.785,54.1,19.9
$IMU,218432.802,0.549,7.080,0.976,-0.04248,-0.14208,1.03515,19.32
$BARO,218432.821,100029.36,18.99
$MAG,218432.842,-0.306,-0.505,-0.217,17.3
$BARO,218432.861,100032.58,18.99
$HUM,218432.865,53.9,19.9
$IMU,218432.878,0.610,2.746,1.770,-0.05566,-0.17578,1.00390,19.30
$BARO,218432.902,100036.38,19.00
$MAG,218432.938,-0.303,-0.505,-0.216,17.3
$BARO,218432.942,100032.63,19.00
$HUM,218432.946,54.0,19.9
$IMU,218432.955,5.493,1.770,-0.427,-0.03222,-0.13330,0.99902,19.33
$BARO,218432.982,100037.58,19.00
$BARO,218433.023,100043.92,19.00
$HUM,218433.026,54.0,19.9
$IMU,218433.031,8.850,4.638,1.220,-0.04443,-0.12597,0.98828,19.31
$MAG,218433.034,-0.303,-0.507,-0.211,17.4
$BARO,218433.063,100038.04,19.00
$BARO,218433.103,100029.73,19.00
$HUM,218433.106,54.1,20.0
$IMU,218433.108,9.460,7.019,1.281,-0.06542,-0.06298,1.00439,19.35
$MAG,218433.130,-0.301,-0.507,-0.210,17.3
$BARO,218433.144,100029.39,19.01
$BARO,218433.184,100037.12,19.00
$IMU,218433.184,4.638,6.774,0.488,-0.04394,-0.10107,1.01464,19.40
$HUM,218433.187,54.2,20.0
$BARO,218433.224,100034.53,19.01
$MAG,218433.226,-0.295,-0.516,-0.219,17.4
$IMU,218433.260,3.295,8.483,3.295,-0.09179,-0.12744,1.01025,19.31
$BARO,218433.264,100031.80,19.01
$HUM,218433.267,54.1,20.0
$BARO,218433.305,100030.49,19.01
$MAG,218433.321,-0.309,-0.523,-0.204,17.3
$IMU,218433.337,3.540,0.793,6.591,-0.13769,-0.09277,1.00146,19.37
$BARO,218433.345,100022.05,19.01
$HUM,218433.348,54.2,20.0
$BARO,218433.385,100031.80,19.01
$IMU,218433.413,0.427,-7.202,2.746,-0.06591,-0.07128,0.96679,19.36
$MAG,218433.417,-0.310,-0.523,-0.205,17.3
$BARO,218433.425,100028.44,19.01
$HUM,218433.428,54.1,20.0
$BARO,218433.466,100031.46,19.01
$IMU,218433.490,-2.014,-1.953,3.967,-0.11572,-0.09033,1.07031,19.32
$BARO,218433.506,100037.21,19.02
$HUM,218433.508,54.1,20.0
$MAG,218433.513,-0.307,-0.522,-0.210,17.3
$BARO,218433.546,100031.73,19.02
$IMU,218433.566,-7.324,-3.662,-0.427,-0.21289,-0.19189,1.12207,19.39
$VBAT,218433.585,3.993
$BARO,218433.587,100037.60,19.02
$HUM,218433.589,54.1,20.0
$MAG,218433.609,-0.328,-0.514,-0.208,17.4
$BARO,218433.627,100039.07,19.02
$IMU,218433.643,-4.638,-26.000,-14.282,-0.12060,-0.20117,1.06542,19.35
$BARO,218433.667,100027.61,19.03
$HUM,218433.669,54.0,20.0
$MAG,218433.705,-0.358,-0.537,-0.196,17.3
$BARO,218433.707,100026.03,19.02
$IMU,218433.719,7.629,-46.325,-23.315,0.11328,0.01611,1.00048,19.42
$BARO,218433.748,100028.00,19.02
$HUM,218433.749,54.2,20.0
$BARO,218433.788,100027.41,19.03
$IMU,218433.795,18.920,-35.461,-29.113,0.22705,0.12158,0.95605,19.37
$MAG,218433.801,-0.367,-0.564,-0.178,17.3
$BARO,218433.828,100032.44,19.03
$HUM,218433.830,54.1,20.0
$BARO,218433.869,100036.97,19.03
$IMU,218433.872,21.301,-25.085,-20.019,0.21191,0.08691,0.95068,19.42
$MAG,218433.897,-0.391,-0.580,-0.180,17.7
$BARO,218433.909,100039.55,19.03
$HUM,218433.910,54.2,20.1
$IMU,218433.948,7.934,-25.024,-7.812,0.09765,0.00292,0.98144,19.40
$BARO,218433.949,100032.44,19.03
$BARO,218433.989,100027.07,19.03
$HUM,218433.990,54.1,20.1
$MAG,218433.992,-0.406,-0.574,-0.172,17.4
$IMU,218434.025,-7.873,-26.245,-12.451,0.20361,-0.05810,1.00146,19.43
$BARO,218434.030,100044.57,19.03
$BARO,218434.070,100038.63,19.04
