$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,b455ab5ada80eaebc68beef2
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,224892.113,-1.037,6.103,-14.953,0.14892,-0.23486,0.77148,12.10
$IMU,224892.189,12.268,33.630,-52.917,0.01806,-0.16943,0.84521,12.11
$BARO,224892.200,101870.36,11.77
$MAG,224892.206,-0.063,-0.318,-0.171,9.9
$BARO,224892.241,101870.24,11.78
$HUM,224892.244,63.2,12.2
$IMU,224892.265,29.479,30.273,-42.663,-0.13818,0.06982,1.05566,12.16
$BARO,224892.281,101872.26,11.78
$MAG,224892.301,-0.060,-0.325,-0.168,9.8
$BARO,224892.321,101864.63,11.78
$HUM,224892.325,63.2,12.2
$IMU,224892.342,17.517,13.305,-36.560,-0.01074,0.10986,1.14453,12.16
$BARO,224892.362,101872.46,11.78
$MAG,224892.396,-0.043,-0.318,-0.163,9.9
$BARO,224892.402,101871.48,11.78
$HUM,224892.405,63.2,12.3
$IMU,224892.418,-9.399,22.399,-18.676,-0.26562,-0.04541,1.11328,12.17
$BARO,224892.442,101871.16,11.79
$BARO,224892.483,101869.41,11.79
$HUM,224892.486,63.1,12.3
$MAG,224892.492,-0.030,-0.285,-0.147,9.8
$IMU,224892.495,-27.099,13.122,-3.662,-0.39794,-0.21533,1.00244,12.19
$BARO,224892.523,101871.75,11.79
$BARO,224892.563,101871.24,11.79
$HUM,224892.566,63.0,12.3
$IMU,224892.571,-28.320,-7.568,-11.596,-0.27490,-0.30517,0.87109,12.18
$MAG,224892.587,-0.046,-0.253,-0.157,9.9
$BARO,224892.604,101869.95,11.80
$BARO,224892.644,101870.53,11.80
$HUM,224892.646,63.2,12.3
$IMU,224892.648,-23.376,2.136,-4.821,0.14990,-0.33837,0.83496,12.17
$MAG,224892.682,-0.009,-0.256,-0.132,10.0
$BARO,224892.685,101875.80,11.80
$IMU,224892.724,-5.737,42.236,44.677,-0.26806,-0.35595,0.71875,12.17
$BARO,224892.725,101877.16,11.80
$HUM,224892.727,63.2,12.3
$BARO,224892.765,101875.80,11.80
$MAG,224892.777,0.016,-0.291,-0.139,9.9
$IMU,224892.800,33.142,21.606,36.865,-0.45312,0.03710,1.01953,12.20
$BARO,224892.806,101879.52,11.80
$HUM,224892.807,63.1,12.4
$BARO,224892.846,101870.21,11.80
$MAG,224892.872,0.004,-0.294,-0.135,9.9
$IMU,224892.877,7.934,-15.197,3.723,-0.32421,0.05908,1.14746,12.22
$BARO,224892.886,101878.62,11.80
$HUM,224892.887,63.1,12.3
$BARO,224892.927,101869.31,11.81
$IMU,224892.953,-13.183,-22.521,-34.362,-0.04736,-0.44335,0.99804,12.19
$BARO,224892.967,101871.85,11.81
$HUM,224892.968,63.2,12.4
$MAG,224892.968,-0.019,-0.277,-0.139,9.9
$BARO,224893.008,101865.58,11.81
$IMU,224893.030,20.812,-4.028,-48.156,-0.10009,-0.30712,1.27685,12.24
$VBAT,224893.043,4.155
$BARO,224893.048,101869.31,11.81
$HUM,224893.048,63.2,12.3
$MAG,224893.063,-0.018,-0.279,-0.145,9.9
$BARO,224893.088,101872.82,11.81
$IMU,224893.106,18.981,0.305,-32.592,-0.11865,-0.26464,1.04199,12.20
$BARO,224893.129,101882.47,11.81
$HUM,224893.129,63.1,12.4
$MAG,224893.158,-0.036,-0.288,-0.159,9.9
$BARO,224893.169,101870.48,11.81
$IMU,224893.182,16.479,-15.075,-10.742,0.13623,-0.01318,0.84960,12.18
$BARO,224893.209,101872.11,11.81
$HUM,224893.209,63.2,12.4
$BARO,224893.250,101874.92,11.81
$MAG,224893.253,-0.042,-0.280,-0.169,9.9
$IMU,224893.259,4.211,-3.051,-3.784,0.10839,0.00488,0.78125,12.22
$HUM,224893.289,63.2,12.4
$BARO,224893.290,101869.07,11.81
$BARO,224893.330,101869.97,11.81
$IMU,224893.335,2.136,23.559,-16.113,-0.11523,-0.04882,0.85107,12.25
$MAG,224893.349,-0.019,-0.280,-0.157,9.9
$HUM,224893.370,63.1,12.4
$BARO,224893.371,101881.57,11.81
$BARO,224893.411,101873.55,11.82
$IMU,224893.412,14.953,24.353,-30.395,-0.16943,-0.00683,0.94384,12.25
$MAG,224893.444,-0.013,-0.291,-0.150,9.9
$HUM,224893.450,63.0,12.4
$BARO,224893.451,101875.82,11.81
$IMU,224893.488,23.254,18.432,-21.240,-0.24169,0.08496,1.12011,12.24
$BARO,224893.492,101873.87,11.81
$HUM,224893.531,63.2,12.4
