$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,d8eb3f5e95f4efaea989f338
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,227596.764,3.051,10.314,0.732,-0.17138,0.07373,0.85644,16.80
$IMU,227596.841,4.882,10.192,12.268,-0.47363,0.14599,1.00146,16.87
$BARO,227596.854,101968.27,16.49
$MAG,227596.860,-0.364,-0.286,-0.222,14.7
$BARO,227596.895,101974.78,16.49
$HUM,227596.899,47.2,17.2
$IMU,227596.917,-5.554,-55.480,2.441,0.08300,-0.04833,0.83691,16.90
$BARO,227596.935,101969.44,16.49
$MAG,227596.956,-0.400,-0.325,-0.199,14.8
$BARO,227596.975,101976.03,16.50
$HUM,227596.979,47.1,17.2
$IMU,227596.993,35.461,-36.254,-8.239,0.58789,0.17724,1.14746,16.86
$BARO,227597.016,101975.32,16.50
$MAG,227597.052,-0.367,-0.322,-0.202,15.0
$BARO,227597.056,101972.17,16.50
$HUM,227597.059,46.7,17.2
$IMU,227597.070,12.207,38.940,25.939,0.11669,0.20312,0.90087,16.88
$BARO,227597.096,101971.25,16.50
$BARO,227597.137,101977.56,16.50
$HUM,227597.140,46.3,17.2
$IMU,227597.146,0.427,49.621,11.657,-0.41992,0.34228,1.13671,16.95
$MAG,227597.147,-0.327,-0.331,-0.208,15.0
$BARO,227597.177,101973.17,16.51
$BARO,227597.217,101963.64,16.51
$HUM,227597.220,46.7,17.3
$IMU,227597.223,-20.751,2.624,-7.507,-0.29785,0.22509,1.06201,16.92
$MAG,227597.243,-0.357,-0.285,-0.199,15.0
$BARO,227597.258,101964.62,16.51
$BARO,227597.298,101973.17,16.51
$IMU,227597.299,-36.376,-34.118,-15.075,0.19970,-0.19287,0.89160,16.92
$HUM,227597.300,47.3,17.2
$BARO,227597.338,101969.42,16.51
$MAG,227597.339,-0.370,-0.282,-0.199,14.8
$IMU,227597.376,10.864,-8.850,4.150,0.04833,0.00146,1.07812,16.93
$BARO,227597.379,101965.54,16.52
$HUM,227597.381,47.2,17.3
$BARO,227597.419,101971.08,16.52
$MAG,227597.434,-0.363,-0.310,-0.190,14.7
$IMU,227597.452,22.705,6.103,-1.770,0.08203,0.08007,1.06005,16.93
$BARO,227597.459,101962.40,16.52
$HUM,227597.461,46.7,17.2
$BARO,227597.499,101979.56,16.52
$IMU,227597.528,25.329,18.493,6.042,0.03369,0.24169,0.97851,16.96
$MAG,227597.530,-0.343,-0.343,-0.201,15.0
$BARO,227597.540,101980.61,16.52
$HUM,227597.542,46.4,17.3
$BARO,227597.580,101971.61,16.53
$IMU,227597.605,7.019,19.287,-20.629,-0.00195,0.33740,0.86767,16.99
$BARO,227597.620,101965.15,16.52
$HUM,227597.622,45.9,17.3
$MAG,227597.626,-0.333,-0.339,-0.193,14.8
$BARO,227597.661,101976.73,16.53
$IMU,227597.681,-10.009,19.165,-2.014,-0.33642,0.27636,1.00634,16.95
$BARO,227597.701,101970.03,16.53
$HUM,227597.702,46.2,17.3
$VBAT,227597.709,4.142
$MAG,227597.721,-0.337,-0.315,-0.195,14.8
$BARO,227597.741,101970.22,16.53
$IMU,227597.758,-27.709,-8.056,-21.667,-0.14941,-0.14062,0.94531,16.95
$BARO,227597.781,101967.35,16.53
$HUM,227597.783,46.6,17.3
$MAG,227597.817,-0.346,-0.327,-0.175,15.0
$BARO,227597.822,101976.42,16.53
$IMU,227597.834,6.958,-18.798,-23.132,0.06005,-0.00732,1.10693,17.00
$BARO,227597.862,101974.25,16.53
$HUM,227597.863,46.3,17.3
$BARO,227597.902,101966.96,16.53
$IMU,227597.911,27.160,0.427,-12.207,-0.04687,0.18115,1.13867,16.98
$MAG,227597.913,-0.355,-0.358,-0.157,15.0
$BARO,227597.943,101965.45,16.54
$HUM,227597.943,45.7,17.3
$BARO,227597.983,101973.73,16.54
$IMU,227597.987,10.498,5.554,-29.052,-0.07910,0.36816,1.01025,16.98
$MAG,227598.008,-0.364,-0.370,-0.169,15.0
$BARO,227598.023,101970.39,16.54
$HUM,227598.024,45.9,17.3
$IMU,227598.063,-18.737,-10.192,-21.362,-0.12988,0.35449,0.99218,17.01
$BARO,227598.064,101973.20,16.54
$BARO,227598.104,101971.76,16.54
$HUM,227598.104,46.7,17.3
$MAG,227598.104,-0.385,-0.325,-0.171,15.0
$IMU,227598.140,-39.794,-34.912,-0.244,-0.18847,0.15283,0.97460,16.99
$BARO,227598.144,101973.10,16.54
$BARO,227598.185,101974.93,16.54
$HUM,227598.185,47.6,17.3
