$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,3724f13b5038b9f3810f547b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,229256.941,101957.79,15.41
$MAG,229256.947,-0.403,-0.399,-0.249,3.9
$IMU,229256.957,-4.211,3.112,-4.272,-0.02197,0.16796,0.90869,15.80
$BARO,229256.982,101964.84,15.42
$HUM,229256.986,47.6,16.0
$BARO,229257.022,101962.86,15.42
$IMU,229257.033,-9.094,3.417,-9.399,-0.04980,0.18994,1.01464,15.83
$MAG,229257.043,-0.411,-0.408,-0.241,13.7
$BARO,229257.062,101959.13,15.42
$HUM,229257.066,47.7,16.1
$BARO,229257.103,101959.60,15.42
$IMU,229257.109,-4.455,-1.953,-4.455,-0.02148,0.20410,1.00390,15.81
$MAG,229257.138,-0.418,-0.403,-0.243,13.9
$BARO,229257.143,101962.94,15.42
$HUM,229257.146,47.6,16.1
$BARO,229257.183,101968.91,15.43
$IMU,229257.186,-0.854,-1.159,-4.943,-0.02001,0.20117,0.99658,15.78
$BARO,229257.224,101955.60,15.43
$HUM,229257.227,47.7,16.1
$MAG,229257.234,-0.408,-0.397,-0.240,13.7
$IMU,229257.262,-1.037,0.671,-6.835,-0.02539,0.20117,0.99169,15.83
$BARO,229257.264,101961.50,15.43
$BARO,229257.304,101968.52,15.43
$HUM,229257.307,47.8,16.1
$MAG,229257.329,-0.406,-0.406,-0.252,13.5
$IMU,229257.339,-3.295,-0.183,-3.845,-0.03125,0.18603,0.99804,15.87
$BARO,229257.345,101965.13,15.44
$BARO,229257.385,101954.82,15.43
$HUM,229257.388,47.8,16.1
$IMU,229257.415,-1.037,0.793,-1.586,-0.04394,0.17382,1.00146,15.86
$BARO,229257.425,101954.31,15.43
$MAG,229257.425,-0.405,-0.394,-0.240,13.5
$BARO,229257.466,101960.01,15.43
$HUM,229257.468,47.7,16.2
$IMU,229257.492,2.441,1.892,-1.403,-0.05761,0.18896,1.00585,15.85
$BARO,229257.506,101959.69,15.44
$MAG,229257.521,-0.397,-0.400,-0.237,13.7
$BARO,229257.546,101952.14,15.44
$HUM,229257.548,47.6,16.2
$IMU,229257.568,3.967,0.244,-1.098,-0.03173,0.19189,0.98681,15.87
$BARO,229257.587,101960.79,15.44
$MAG,229257.616,-0.400,-0.399,-0.244,13.5
$BARO,229257.627,101964.28,15.44
$HUM,229257.629,47.7,16.2
$IMU,229257.644,4.333,-0.122,1.342,-0.04199,0.20947,0.99658,15.86
$BARO,229257.667,101949.14,15.45
$BARO,229257.708,101964.89,15.45
$HUM,229257.709,47.6,16.1
$MAG,229257.712,-0.411,-0.397,-0.241,13.5
$IMU,229257.721,2.685,-1.892,2.929,-0.03222,0.19775,1.01953,15.90
$BARO,229257.748,101960.21,15.45
$BARO,229257.788,101958.38,15.44
$HUM,229257.789,47.5,16.2
$IMU,229257.797,4.394,-0.793,7.202,0.06591,0.18701,1.06933,15.87
$MAG,229257.807,-0.408,-0.405,-0.249,13.5
$BARO,229257.829,101960.82,15.45
$BARO,229257.869,101964.74,15.45
$HUM,229257.870,47.4,16.2
$IMU,229257.874,10.009,3.540,10.009,-0.03808,0.30468,1.14306,15.95
$VBAT,229257.889,4.092
$MAG,229257.903,-0.423,-0.412,-0.250,13.7
$BARO,229257.909,101952.55,15.45
$BARO,229257.949,101964.15,15.45
$HUM,229257.950,47.3,16.2
$IMU,229257.950,11.596,-17.517,5.310,-0.08007,0.21337,1.00000,15.92
$BARO,229257.990,101964.74,15.45
$MAG,229257.998,-0.453,-0.420,-0.237,13.7
$IMU,229258.027,16.174,-32.592,-6.896,0.13476,0.22998,0.88623,15.92
$BARO,229258.030,101964.89,15.46
$HUM,229258.031,47.2,16.2
$BARO,229258.070,101960.11,15.45
$MAG,229258.094,-0.462,-0.430,-0.232,13.7
$IMU,229258.103,13.488,-6.896,-16.540,0.15722,0.20996,0.84619,15.92
$BARO,229258.111,101956.74,15.45
$HUM,229258.111,46.6,16.2
$BARO,229258.151,101959.72,15.46
$IMU,229258.179,12.878,30.578,-19.775,-0.07177,0.24462,0.84667,15.92
$MAG,229258.190,-0.436,-0.441,-0.255,13.5
$BARO,229258.191,101952.04,15.46
$HUM,229258.191,46.0,16.2
$BARO,229258.232,101961.28,15.45
$IMU,229258.256,20.874,47.607,-26.245,-0.03564,0.22021,0.58789,15.92
$BARO,229258.272,101952.82,15.46
$HUM,229258.272,46.8,16.2
$MAG,229258.285,-0.375,-0.490,-0.279,13.7
