$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1ce311aab343a7d99c0b6659
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,232350.095,-10.742,-3.479,10.375,-0.18554,-0.48486,1.00927,15.90
$IMU,232350.171,-28.442,-38.635,56.457,-0.24707,-0.60644,0.98437,15.92
$BARO,232350.186,101937.44,15.42
$MAG,232350.192,-0.247,-0.435,-0.241,13.5
$BARO,232350.226,101924.25,15.43
$HUM,232350.230,43.9,16.1
$IMU,232350.247,3.479,-62.133,84.106,-0.00585,-0.42041,0.92285,15.97
$BARO,232350.267,101931.22,15.43
$MAG,232350.287,-0.298,-0.433,-0.238,13.7
$BARO,232350.307,101926.30,15.43
$HUM,232350.311,43.9,16.1
$IMU,232350.324,13.488,-33.264,103.820,0.06835,-0.40625,0.83642,15.94
$BARO,232350.347,101922.11,15.44
$MAG,232350.383,-0.318,-0.441,-0.220,13.7
$BARO,232350.388,101930.71,15.44
$HUM,232350.391,43.5,16.2
$IMU,232350.400,17.578,-10.620,117.553,0.06005,-0.23046,0.84179,15.95
$BARO,232350.428,101931.69,15.44
$BARO,232350.468,101933.71,15.44
$HUM,232350.471,43.9,16.1
$IMU,232350.477,5.554,-10.437,95.764,-0.08007,-0.07910,0.93847,15.97
$MAG,232350.479,-0.349,-0.432,-0.205,13.7
$BARO,232350.509,101928.59,15.44
$BARO,232350.549,101931.15,15.44
$HUM,232350.552,43.9,16.2
$IMU,232350.553,-32.409,-30.578,64.880,-0.19921,-0.30517,0.91455,15.97
$MAG,232350.574,-0.378,-0.361,-0.201,13.7
$BARO,232350.589,101925.74,15.45
$BARO,232350.630,101929.47,15.44
$IMU,232350.630,-59.875,-59.265,42.358,-0.14794,-0.47460,1.07861,15.98
$HUM,232350.632,44.0,16.2
$BARO,232350.670,101933.47,15.45
$MAG,232350.670,-0.427,-0.264,-0.175,13.5
$IMU,232350.706,-98.449,-68.603,46.569,-0.06933,-0.59375,0.93261,16.01
$BARO,232350.710,101934.20,15.45
$HUM,232350.713,44.1,16.1
$BARO,232350.751,101936.03,15.45
$MAG,232350.765,-0.462,-0.213,-0.147,13.5
$IMU,232350.782,-53.894,-57.067,43.457,0.09277,-0.54541,0.90966,16.04
$BARO,232350.791,101926.79,15.45
$HUM,232350.793,43.9,16.2
$BARO,232350.831,101932.95,15.45
$IMU,232350.859,2.136,-29.602,55.969,0.13769,-0.42480,0.96289,16.00
$MAG,232350.861,-0.447,-0.190,-0.138,13.5
$BARO,232350.872,101936.61,15.45
$HUM,232350.873,44.0,16.2
$BARO,232350.912,101928.62,15.45
$IMU,232350.935,3.112,-0.183,64.025,0.10937,-0.39306,0.98193,16.00
$BARO,232350.952,101924.11,15.45
$HUM,232350.954,44.1,16.2
$MAG,232350.956,-0.417,-0.174,-0.145,13.7
$BARO,232350.993,101930.47,15.46
$IMU,232351.012,0.122,15.136,34.851,-0.00830,-0.39746,0.96777,16.00
$BARO,232351.033,101925.86,15.45
$HUM,232351.034,44.0,16.2
$VBAT,232351.046,4.037
$MAG,232351.052,-0.406,-0.163,-0.144,13.5
$BARO,232351.073,101935.20,15.46
$IMU,232351.088,-4.211,6.103,3.356,-0.06201,-0.42333,0.88232,15.99
$BARO,232351.113,101930.86,15.46
$HUM,232351.114,44.1,16.2
$MAG,232351.148,-0.421,-0.169,-0.139,13.8
$BARO,232351.154,101927.91,15.46
$IMU,232351.165,-0.427,-4.760,-20.385,-0.01904,-0.43994,0.85839,16.02
$BARO,232351.194,101931.13,15.46
$HUM,232351.195,44.1,16.2
$BARO,232351.234,101937.81,15.46
$IMU,232351.241,3.295,-1.220,-31.738,0.01367,-0.46582,0.94921,16.05
$MAG,232351.243,-0.429,-0.181,-0.139,13.7
$BARO,232351.275,101926.59,15.46
$HUM,232351.275,44.1,16.2
$BARO,232351.315,101933.30,15.46
$IMU,232351.317,3.234,6.408,-38.574,0.02148,-0.56933,0.96630,16.03
$MAG,232351.339,-0.444,-0.217,-0.156,13.5
$BARO,232351.355,101935.47,15.46
$HUM,232351.355,44.0,16.2
$IMU,232351.394,18.371,14.648,-48.767,0.06005,-0.52197,0.95849,16.07
$BARO,232351.396,101936.10,15.47
$MAG,232351.434,-0.442,-0.250,-0.174,13.7
$HUM,232351.436,44.2,16.3
$BARO,232351.436,101936.29,15.47
$IMU,232351.470,25.085,26.977,-55.419,0.11523,-0.37841,0.96533,16.02
$BARO,232351.476,101933.54,15.47
$HUM,232351.516,44.0,16.2
