$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,0b5222dc1dfebbe79b8ee71f
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,257215.488,-0.183,17.883,9.704,-0.49169,0.02929,0.90673,13.01
$IMU,257215.565,-13.305,29.418,30.883,-0.42480,-0.44628,1.00146,13.00
$BARO,257215.580,100360.11,12.69
$MAG,257215.586,-0.084,-0.996,-0.652,10.7
$BARO,257215.621,100355.67,12.69
$HUM,257215.625,63.9,13.2
$IMU,257215.641,-3.479,1.342,57.739,-0.18359,-0.37109,1.00927,13.02
$BARO,257215.661,100349.63,12.69
$MAG,257215.682,-0.085,-1.030,-0.634,11.0
$BARO,257215.702,100351.58,12.69
$HUM,257215.705,64.1,13.3
$IMU,257215.717,6.591,7.019,56.518,-0.10595,-0.09912,0.97558,13.05
$BARO,257215.742,100351.29,12.70
$MAG,257215.777,-0.091,-1.050,-0.639,10.5
$BARO,257215.782,100350.31,12.70
$HUM,257215.785,64.0,13.3
$IMU,257215.794,0.244,8.972,46.630,-0.09667,-0.15966,0.94921,13.09
$BARO,257215.823,100357.43,12.71
$BARO,257215.863,100351.82,12.71
$HUM,257215.866,64.1,13.4
$IMU,257215.870,4.333,12.756,31.066,-0.09863,-0.14062,0.97412,13.03
$MAG,257215.872,-0.075,-1.066,-0.627,10.8
$BARO,257215.903,100352.99,12.71
$BARO,257215.944,100352.72,12.71
$HUM,257215.946,64.0,13.3
$IMU,257215.947,5.249,10.620,23.986,-0.12890,-0.02441,0.97607,13.02
$MAG,257215.968,-0.084,-1.075,-0.628,10.7
$BARO,257215.984,100345.75,12.71
$IMU,257216.023,1.586,1.220,18.737,-0.21679,-0.04980,1.02636,13.06
$BARO,257216.025,100353.04,12.72
$HUM,257216.027,64.1,13.3
$MAG,257216.063,-0.099,-1.068,-0.628,11.0
$BARO,257216.065,100352.02,12.71
$IMU,257216.099,1.281,-13.793,2.685,-0.22705,-0.05126,1.02978,13.10
$BARO,257216.105,100353.63,12.72
$HUM,257216.107,64.1,13.3
$BARO,257216.146,100348.41,12.72
$MAG,257216.159,-0.099,-1.066,-0.640,10.8
$IMU,257216.176,2.807,-16.479,-15.502,-0.19677,-0.10986,0.99121,13.07
$BARO,257216.186,100352.07,12.72
$HUM,257216.187,64.0,13.4
$BARO,257216.226,100347.43,12.72
$IMU,257216.252,7.934,-20.324,-21.118,-0.08544,-0.02294,0.98242,13.08
$MAG,257216.254,-0.118,-1.062,-0.636,10.7
$BARO,257216.267,100357.21,12.72
$HUM,257216.268,64.0,13.3
$BARO,257216.307,100353.11,12.72
$IMU,257216.329,3.356,-13.610,-19.958,-0.06689,-0.02539,0.96484,13.10
$BARO,257216.347,100355.99,12.72
$HUM,257216.348,64.0,13.3
$MAG,257216.349,-0.120,-1.047,-0.639,10.5
$BARO,257216.388,100348.02,12.72
$IMU,257216.405,2.563,-4.455,-16.784,-0.13574,-0.01855,0.98535,13.11
$VBAT,257216.418,4.148
$BARO,257216.428,100350.75,12.72
$HUM,257216.429,64.0,13.4
$MAG,257216.445,-0.123,-1.056,-0.639,10.7
$BARO,257216.468,100354.72,12.72
$IMU,257216.482,2.502,-2.990,-11.291,-0.09423,0.02636,1.03320,13.16
$BARO,257216.509,100350.48,12.73
$HUM,257216.509,64.1,13.3
$MAG,257216.540,-0.108,-1.045,-0.649,10.7
$BARO,257216.549,100358.06,12.73
$IMU,257216.558,-1.647,1.403,-3.601,-0.16357,-0.03466,0.99658,13.10
$BARO,257216.589,100353.02,12.73
$HUM,257216.590,64.0,13.4
$BARO,257216.630,100348.53,12.73
$IMU,257216.634,1.098,-1.586,1.342,-0.09033,-0.00732,1.03564,13.12
$MAG,257216.636,-0.117,-1.054,-0.651,10.9
$HUM,257216.670,64.1,13.4
$BARO,257216.670,100347.17,12.73
$BARO,257216.710,100343.24,12.73
$IMU,257216.711,-1.892,0.122,10.192,-0.11669,-0.03613,1.10400,13.13
$MAG,257216.731,-0.126,-1.056,-0.645,10.8
$HUM,257216.750,64.0,13.3
$BARO,257216.751,100359.09,12.73
$IMU,257216.787,-2.807,7.751,-0.610,-0.05175,-0.09033,1.05517,13.15
$BARO,257216.791,100357.60,12.74
$MAG,257216.827,-0.097,-1.057,-0.642,10.7
$HUM,257216.830,64.1,13.4
$BARO,257216.831,100358.18,12.73
$IMU,257216.864,-0.793,24.414,-7.507,-0.14501,0.02539,1.05175,13.12
$BARO,257216.872,100352.89,12.74
$HUM,257216.911,64.1,13.4
