$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,f39c5c5aef16d1b1829b6246
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,258641.667,2.563,-3.173,4.028,0.10546,-0.01806,0.79931,14.83
$IMU,258641.743,9.704,-0.915,31.433,0.28955,0.02197,0.91064,14.85
$BARO,258641.758,100379.00,14.48
$MAG,258641.764,-0.208,-1.161,-0.670,12.7
$BARO,258641.798,100382.39,14.49
$HUM,258641.802,64.6,15.1
$IMU,258641.820,-0.427,57.556,76.232,0.04687,0.15869,1.20312,14.86
$BARO,258641.839,100374.25,14.50
$MAG,258641.859,-0.171,-1.170,-0.661,12.5
$BARO,258641.879,100376.93,14.49
$HUM,258641.883,64.5,15.2
$IMU,258641.896,-15.258,88.745,109.069,-0.29052,-0.02636,1.14697,14.88
$BARO,258641.919,100387.02,14.50
$MAG,258641.955,-0.163,-1.183,-0.657,12.8
$BARO,258641.960,100378.63,14.50
$HUM,258641.963,64.7,15.2
$IMU,258641.972,-21.301,66.467,98.083,-0.51806,0.00390,1.05810,14.92
$BARO,258642.000,100386.87,14.50
$BARO,258642.040,100387.53,14.50
$HUM,258642.043,64.4,15.2
$IMU,258642.049,-19.958,22.033,84.655,-0.31494,-0.05859,0.82714,14.93
$MAG,258642.050,-0.183,-1.194,-0.660,12.7
$BARO,258642.081,100378.68,14.50
$BARO,258642.121,100365.67,14.50
$HUM,258642.123,64.5,15.2
$IMU,258642.125,1.098,-1.098,72.814,-0.06201,0.01513,0.78564,14.93
$MAG,258642.146,-0.214,-1.224,-0.658,12.5
$BARO,258642.161,100381.29,14.51
$BARO,258642.202,100376.73,14.51
$IMU,258642.202,16.113,-3.601,51.635,-0.04833,0.12890,0.95214,14.91
$HUM,258642.204,64.5,15.2
$MAG,258642.241,-0.246,-1.212,-0.648,12.7
$BARO,258642.242,100377.63,14.51
$IMU,258642.278,11.718,-29.052,-0.549,-0.04101,0.12207,1.30224,14.93
$BARO,258642.282,100380.12,14.51
$HUM,258642.284,64.4,15.2
$BARO,258642.323,100378.22,14.51
$MAG,258642.337,-0.241,-1.194,-0.663,12.5
$IMU,258642.355,-0.793,-36.010,-52.978,0.39990,-0.14697,1.22460,14.98
$BARO,258642.363,100383.46,14.51
$HUM,258642.365,64.5,15.2
$BARO,258642.403,100372.13,14.51
$IMU,258642.431,2.380,23.071,-57.861,-0.12451,-0.03125,1.04443,14.95
$MAG,258642.432,-0.190,-1.197,-0.651,12.7
$BARO,258642.444,100380.44,14.52
$HUM,258642.445,64.6,15.3
$BARO,258642.484,100371.78,14.52
$IMU,258642.507,-1.098,34.118,-52.551,-0.34179,-0.03564,0.59228,14.99
$BARO,258642.524,100380.05,14.52
$HUM,258642.525,64.5,15.3
$MAG,258642.528,-0.154,-1.200,-0.651,12.7
$BARO,258642.565,100382.00,14.52
$IMU,258642.584,17.272,-1.647,-42.297,-0.49218,0.07373,0.64062,14.93
$VBAT,258642.603,4.114
$BARO,258642.605,100379.46,14.52
$HUM,258642.606,64.5,15.3
$MAG,258642.623,-0.178,-1.221,-0.637,12.5
$BARO,258642.645,100380.49,14.52
$IMU,258642.660,20.629,-46.630,-2.929,-0.09326,0.12646,1.10498,15.00
$BARO,258642.686,100376.37,14.53
$HUM,258642.686,64.6,15.3
$MAG,258642.718,-0.237,-1.224,-0.633,12.8
$BARO,258642.726,100377.76,14.53
$IMU,258642.737,-6.958,-35.705,55.480,0.01464,0.14453,1.35058,14.97
$BARO,258642.766,100375.66,14.53
$HUM,258642.767,64.5,15.2
$BARO,258642.807,100375.08,14.53
$IMU,258642.813,-36.132,-3.662,47.302,-0.18408,-0.07568,1.21923,14.95
$MAG,258642.814,-0.243,-1.177,-0.666,12.7
$BARO,258642.847,100377.03,14.53
$HUM,258642.847,64.5,15.3
$BARO,258642.887,100378.61,14.53
$IMU,258642.889,-24.353,14.404,-5.981,-0.08837,-0.11718,0.93554,14.97
$MAG,258642.909,-0.222,-1.177,-0.672,12.9
$HUM,258642.927,64.4,15.3
$BARO,258642.928,100373.22,14.53
$IMU,258642.966,0.183,28.747,-20.751,-0.23437,0.00732,0.77246,14.95
$BARO,258642.968,100381.00,14.53
$MAG,258643.005,-0.205,-1.183,-0.660,12.8
$HUM,258643.007,64.5,15.3
$BARO,258643.008,100378.20,14.53
$IMU,258643.042,9.521,11.291,-22.521,-0.14599,0.08593,0.82812,14.99
$BARO,258643.049,100377.85,14.53
$HUM,258643.088,64.5,15.3
