$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,2d447818f4f4fe57eb05d6ff
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,260331.923,100367.03,16.88
$BARO,260332.885,100393.92,14.53
$MAG,260332.891,-0.073,-0.936,-0.700,12.7
$IMU,260332.900,-0.244,3.845,-0.427,-0.05712,-0.07031,0.99658,14.85
$BARO,260332.925,100396.92,14.53
$HUM,260332.929,70.4,15.2
$BARO,260332.966,100383.24,14.54
$IMU,260332.976,1.708,-0.671,0.427,-0.07324,-0.20068,1.27929,14.91
$MAG,260332.986,-0.082,-0.943,-0.700,12.9
$BARO,260333.006,100390.89,14.54
$HUM,260333.010,70.4,15.2
$BARO,260333.046,100391.33,14.54
$IMU,260333.053,1.647,-15.869,1.342,0.15283,-0.18994,1.35400,14.90
$MAG,260333.082,-0.085,-0.937,-0.714,12.8
$BARO,260333.087,100385.04,14.54
$HUM,260333.090,70.5,15.2
$BARO,260333.127,100388.07,14.54
$IMU,260333.129,-9.338,-8.728,-1.220,0.12451,-0.24804,1.08300,14.91
$BARO,260333.167,100392.77,14.55
$HUM,260333.170,70.5,15.3
$MAG,260333.177,-0.100,-0.918,-0.711,12.7
$IMU,260333.206,-13.488,-7.690,-13.916,0.07421,-0.27148,0.78613,14.89
$BARO,260333.208,100398.87,14.55
$BARO,260333.248,100382.95,14.54
$HUM,260333.251,70.4,15.3
$MAG,260333.273,-0.094,-0.909,-0.715,12.7
$IMU,260333.282,-3.845,-4.699,-31.188,0.14355,-0.20605,0.62353,14.94
$BARO,260333.288,100386.36,14.55
$BARO,260333.329,100384.00,14.55
$HUM,260333.331,70.4,15.3
$IMU,260333.359,14.526,2.929,-27.526,0.16308,-0.03857,0.69091,14.95
$BARO,260333.369,100396.82,14.55
$MAG,260333.369,-0.088,-0.924,-0.717,12.9
$BARO,260333.409,100395.04,14.56
$HUM,260333.411,70.6,15.3
$IMU,260333.435,21.118,17.028,-13.488,0.14697,0.01074,0.83642,14.96
$BARO,260333.450,100384.44,14.56
$MAG,260333.464,-0.072,-0.940,-0.696,12.7
$BARO,260333.490,100389.41,14.56
$HUM,260333.492,70.4,15.3
$IMU,260333.511,10.925,49.438,2.319,-0.06738,0.07177,1.20410,15.01
$BARO,260333.530,100383.46,14.56
$MAG,260333.560,-0.022,-0.960,-0.667,12.8
$BARO,260333.571,100384.44,14.55
$HUM,260333.572,70.3,15.3
$IMU,260333.588,-11.108,64.941,42.236,-0.38378,-0.03320,1.48144,14.96
$BARO,260333.611,100380.78,14.56
$BARO,260333.651,100386.07,14.56
$HUM,260333.652,70.4,15.3
$MAG,260333.655,0.022,-0.964,-0.637,12.5
$IMU,260333.664,-22.827,59.020,58.105,-0.52246,-0.62207,1.02832,14.96
$BARO,260333.692,100386.65,14.56
$BARO,260333.732,100389.80,14.56
$HUM,260333.733,70.5,15.3
$IMU,260333.741,24.475,39.978,37.231,-0.55224,-0.14404,0.73583,15.00
$MAG,260333.751,0.024,-1.021,-0.615,12.7
$BARO,260333.772,100392.63,14.56
$BARO,260333.813,100394.77,14.56
$HUM,260333.813,70.4,15.3
$IMU,260333.817,41.748,1.770,25.024,-0.30224,0.24609,0.58544,14.99
$VBAT,260333.824,4.056
$MAG,260333.846,0.003,-1.051,-0.622,12.7
$BARO,260333.853,100389.48,14.57
$BARO,260333.893,100388.29,14.57
$HUM,260333.893,70.5,15.3
$IMU,260333.893,18.005,-28.076,18.798,-0.16455,0.26513,0.67236,14.97
$BARO,260333.933,100383.58,14.57
$MAG,260333.942,-0.016,-1.057,-0.642,12.7
$IMU,260333.970,2.441,-33.264,-6.103,-0.18457,0.04199,0.90429,15.03
$BARO,260333.974,100392.28,14.57
$HUM,260333.974,70.5,15.3
$BARO,260334.014,100390.50,14.57
$MAG,260334.037,-0.036,-1.044,-0.640,12.5
$IMU,260334.046,14.221,-45.227,-32.287,-0.26220,0.06787,1.42041,14.99
$BARO,260334.054,100393.41,14.57
$HUM,260334.054,70.5,15.3
$BARO,260334.095,100393.06,14.57
$IMU,260334.123,-4.150,-25.939,-49.316,0.07812,-0.02148,1.57519,14.97
$MAG,260334.133,-0.034,-1.018,-0.643,12.9
$HUM,260334.134,70.5,15.3
$BARO,260334.135,100389.72,14.57
$BARO,260334.175,100397.18,14.57
$IMU,260334.199,-18.676,0.671,-5.310,-0.18750,-0.25292,1.04052,14.97
$HUM,260334.215,70.5,15.3
$BARO,260334.216,100390.89,14.57
