$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,7802dc254e67e0f0a2c84ec4
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,262418.707,2.685,1.037,-22.766,0.63720,-0.02587,0.86230,15.25
$BARO,261028.254,100367.84,15.58
$IMU,262418.784,21.179,32.348,-96.252,0.39599,-0.01416,1.13720,15.25
$BARO,262418.798,100525.18,14.91
$MAG,262418.804,-0.261,-0.793,-0.676,13.3
$BARO,262418.839,100522.30,14.91
$HUM,262418.843,63.8,11.2
$IMU,262418.860,27.526,74.584,-128.112,-0.04931,-0.15771,1.48632,15.29
$BARO,262418.879,100528.98,14.91
$MAG,262418.900,-0.249,-0.798,-0.676,13.2
$BARO,262418.919,100519.40,14.91
$HUM,262418.923,64.4,15.6
$IMU,262418.937,31.738,41.870,-95.764,-0.15234,-0.06982,1.33056,15.29
$BARO,262418.960,100528.83,14.92
$MAG,262418.995,-0.234,-0.811,-0.676,13.4
$BARO,262419.000,100521.64,14.92
$HUM,262419.003,64.3,15.7
$IMU,262419.013,14.404,31.555,-58.959,-0.27539,-0.04980,0.66845,15.30
$BARO,262419.040,100523.79,14.92
$BARO,262419.081,100523.67,14.93
$HUM,262419.084,64.2,15.7
$IMU,262419.089,14.282,8.605,-22.766,-0.21240,0.11425,0.56347,15.31
$MAG,262419.091,-0.237,-0.822,-0.678,13.2
$BARO,262419.121,100518.79,14.93
$BARO,262419.161,100521.64,14.92
$HUM,262419.164,64.3,15.7
$IMU,262419.166,10.681,-6.652,-6.652,-0.07226,0.19433,0.71240,15.31
$MAG,262419.186,-0.235,-0.831,-0.684,13.2
$BARO,262419.202,100518.60,14.93
$BARO,262419.242,100519.98,14.93
$IMU,262419.242,8.789,-1.037,3.234,-0.04785,0.33154,1.05029,15.30
$HUM,262419.244,64.3,15.7
$BARO,262419.282,100526.47,14.93
$MAG,262419.282,-0.211,-0.829,-0.669,13.2
$IMU,262419.319,0.061,23.864,9.582,-0.17089,0.31445,1.27636,15.32
$BARO,262419.322,100523.13,14.93
$HUM,262419.325,64.2,15.7
$BARO,262419.363,100522.01,14.93
$MAG,262419.377,-0.184,-0.816,-0.657,13.3
$IMU,262419.395,-15.380,37.170,20.568,-0.46289,0.03857,1.39501,15.31
$BARO,262419.403,100521.15,14.93
$HUM,262419.405,64.1,15.7
$BARO,262419.443,100529.69,14.93
$IMU,262419.472,-18.005,1.220,20.385,-0.22265,-0.10205,1.17919,15.31
$MAG,262419.473,-0.177,-0.804,-0.664,13.3
$BARO,262419.484,100529.42,14.93
$HUM,262419.485,64.1,15.7
$BARO,262419.524,100526.74,14.94
$IMU,262419.548,-10.131,-19.592,22.033,-0.04736,0.03076,0.68701,15.37
$BARO,262419.564,100527.44,14.93
$HUM,262419.566,64.3,15.7
$MAG,262419.569,-0.181,-0.816,-0.658,13.3
$BARO,262419.605,100529.73,14.94
$IMU,262419.624,-1.892,-13.610,19.104,0.05322,0.15185,0.58740,15.34
$VBAT,262419.641,4.092
$BARO,262419.645,100516.96,14.94
$HUM,262419.646,64.4,15.7
$MAG,262419.664,-0.195,-0.813,-0.654,13.3
$BARO,262419.685,100525.03,14.94
$IMU,262419.701,-2.563,-0.244,16.540,-0.02343,0.17236,0.74804,15.38
$BARO,262419.726,100522.13,14.94
$HUM,262419.726,64.4,15.7
$MAG,262419.760,-0.183,-0.817,-0.666,13.2
$BARO,262419.766,100526.64,14.94
$IMU,262419.777,-4.394,2.502,3.173,-0.06884,0.19335,1.10449,15.35
$BARO,262419.806,100526.91,14.95
$HUM,262419.807,64.3,15.7
$BARO,262419.846,100524.54,14.95
$IMU,262419.854,-8.666,-5.432,-6.774,-0.05224,0.18554,1.32080,15.34
$MAG,262419.855,-0.204,-0.804,-0.655,13.3
$BARO,262419.887,100525.93,14.95
$HUM,262419.887,64.4,15.7
$BARO,262419.927,100523.69,14.94
$IMU,262419.930,-17.089,-13.854,-18.615,-0.02294,0.03710,1.42285,15.36
$MAG,262419.951,-0.216,-0.786,-0.654,13.2
$BARO,262419.967,100522.40,14.95
$HUM,262419.968,64.4,15.7
$IMU,262420.006,-21.728,-9.155,-26.672,-0.00976,-0.20507,1.23193,15.36
$BARO,262420.008,100528.15,14.95
$MAG,262420.046,-0.240,-0.778,-0.658,13.2
$BARO,262420.048,100521.98,14.95
$HUM,262420.048,64.4,15.7
$IMU,262420.083,-5.004,-5.249,-27.832,0.01123,-0.09472,0.73095,15.41
$BARO,262420.088,100517.28,14.95
