$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1cbf1d53a005ff931d3417c0
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,263888.262,2.929,13.122,-13.732,0.58398,0.42871,1.27343,18.54
$IMU,263888.338,-3.051,116.577,-34.545,0.30322,0.22851,1.09130,18.55
$BARO,263888.355,100565.13,18.18
$MAG,263888.361,-0.171,-1.213,-0.618,16.7
$BARO,263888.395,100572.51,18.18
$HUM,263888.399,63.6,18.8
$IMU,263888.415,-22.155,187.561,-1.403,-0.66015,0.11181,0.50927,18.54
$BARO,263888.436,100563.47,18.19
$MAG,263888.457,-0.091,-1.189,-0.574,16.5
$BARO,263888.476,100565.25,18.19
$HUM,263888.480,63.7,19.1
$IMU,263888.491,-5.859,138.488,1.220,-0.81835,0.07568,0.44238,18.55
$BARO,263888.516,100566.88,18.19
$MAG,263888.552,-0.057,-1.192,-0.529,16.3
$BARO,263888.556,100564.91,18.19
$HUM,263888.560,63.9,19.1
$IMU,263888.568,10.009,68.054,-7.019,-0.79882,0.17919,0.38623,18.50
$BARO,263888.597,100570.05,18.19
$BARO,263888.637,100576.71,18.20
$HUM,263888.640,63.8,19.1
$IMU,263888.644,-5.432,25.024,22.460,-0.90332,0.10400,0.61425,18.56
$MAG,263888.648,-0.061,-1.195,-0.520,16.3
$BARO,263888.677,100573.54,18.20
$BARO,263888.718,100563.45,18.20
$HUM,263888.720,63.9,19.2
$IMU,263888.721,30.395,-7.751,-5.371,-0.53076,0.32617,0.71093,18.58
$MAG,263888.744,-0.061,-1.221,-0.519,16.4
$BARO,263888.758,100565.61,18.20
$IMU,263888.797,-6.591,21.240,25.512,-0.46533,0.35205,0.78955,18.60
$BARO,263888.798,100569.59,18.20
$HUM,263888.801,63.7,19.1
$BARO,263888.838,100566.13,18.21
$MAG,263888.840,-0.061,-1.212,-0.514,16.4
$IMU,263888.873,-29.541,56.701,31.677,-0.81347,0.12207,0.55126,18.59
$BARO,263888.879,100565.49,18.21
$HUM,263888.881,63.6,19.1
$BARO,263888.919,100555.26,18.21
$MAG,263888.935,-0.064,-1.221,-0.496,16.7
$IMU,263888.950,-9.277,47.546,14.099,-0.88085,0.23486,0.62158,18.59
$BARO,263888.959,100567.27,18.21
$HUM,263888.961,63.7,19.1
$BARO,263889.000,100569.17,18.22
$IMU,263889.026,-0.793,25.756,4.333,-0.88916,0.27099,0.42822,18.63
$MAG,263889.031,-0.058,-1.219,-0.490,16.5
$BARO,263889.040,100569.30,18.21
$HUM,263889.042,63.6,19.1
$BARO,263889.080,100563.96,18.21
$IMU,263889.103,3.662,-18.859,6.530,-0.98779,0.27734,0.46191,18.60
$BARO,263889.120,100561.20,18.21
$HUM,263889.122,63.7,19.2
$MAG,263889.127,-0.078,-1.221,-0.499,16.8
$BARO,263889.161,100555.91,18.22
$IMU,263889.179,14.587,-63.537,-7.873,-0.84863,0.30664,0.44042,18.62
$VBAT,263889.187,4.051
$BARO,263889.201,100564.35,18.21
$HUM,263889.202,63.8,19.2
$MAG,263889.223,-0.100,-1.234,-0.522,16.4
$BARO,263889.241,100575.56,18.22
$IMU,263889.255,15.869,-85.754,-16.540,-0.67382,0.40966,0.66796,18.61
$BARO,263889.281,100564.81,18.22
$HUM,263889.282,63.8,19.2
$MAG,263889.318,-0.112,-1.237,-0.549,16.7
$BARO,263889.322,100566.66,18.22
$IMU,263889.332,17.089,-83.068,-30.273,-0.55224,0.37939,0.68310,18.62
$BARO,263889.362,100565.27,18.22
$HUM,263889.363,63.8,19.2
$BARO,263889.402,100565.47,18.22
$IMU,263889.408,17.089,-92.407,-35.034,-0.56738,0.37451,0.72119,18.63
$MAG,263889.414,-0.148,-1.227,-0.579,16.7
$BARO,263889.442,100571.85,18.23
$HUM,263889.443,63.7,19.2
$BARO,263889.483,100564.54,18.23
$IMU,263889.485,7.751,-109.191,-43.701,-0.24804,0.33007,0.89160,18.62
$MAG,263889.510,-0.159,-1.207,-0.609,16.4
$BARO,263889.523,100569.03,18.22
$HUM,263889.523,63.3,19.2
$IMU,263889.561,-5.493,-87.219,-47.241,0.09619,0.16113,0.99169,18.64
$BARO,263889.563,100568.54,18.23
$BARO,263889.603,100565.13,18.23
$HUM,263889.604,63.1,19.2
$MAG,263889.606,-0.166,-1.192,-0.634,16.9
$IMU,263889.638,-13.916,-35.217,-14.160,0.07177,0.01904,1.03466,18.67
$BARO,263889.644,100567.69,18.23
$BARO,263889.684,100566.32,18.23
$HUM,263889.684,63.0,19.3
