$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,4edff60b9254c6d2d2c834d7
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,266498.141,-2.319,9.582,0.488,0.11230,-0.04248,0.84521,19.41
$IMU,266498.218,-12.451,47.973,14.038,0.16992,0.04199,0.82177,19.42
$BARO,266498.235,100672.30,19.02
$MAG,266498.241,-0.339,-0.718,-0.708,17.4
$BARO,266498.276,100674.35,19.02
$HUM,266498.280,53.5,16.5
$IMU,266498.294,-11.535,87.341,37.597,0.18945,-0.03173,1.19238,19.42
$BARO,266498.316,100678.57,19.02
$MAG,266498.337,-0.198,-0.705,-0.724,17.3
$BARO,266498.356,100681.54,19.02
$HUM,266498.360,54.0,20.1
$IMU,266498.370,10.986,154.235,26.794,-0.45117,-0.13720,1.02148,19.49
$BARO,266498.397,100679.42,19.03
$MAG,266498.433,-0.063,-0.714,-0.673,17.3
$BARO,266498.437,100678.84,19.03
$HUM,266498.441,54.0,20.0
$IMU,266498.447,4.577,161.499,36.010,-0.85839,-0.06250,0.68554,19.44
$BARO,266498.477,100680.23,19.03
$BARO,266498.517,100680.01,19.04
$HUM,266498.521,54.0,20.0
$IMU,266498.523,-7.629,125.488,6.591,-0.83544,-0.09960,0.51220,19.50
$MAG,266498.529,0.009,-0.697,-0.615,17.3
$BARO,266498.558,100681.13,19.04
$BARO,266498.598,100675.64,19.04
$IMU,266498.600,-14.953,95.764,-14.404,-0.81298,-0.14306,0.46142,19.47
$HUM,266498.601,54.1,20.1
$MAG,266498.625,0.052,-0.682,-0.562,17.3
$BARO,266498.638,100678.03,19.05
$IMU,266498.676,-16.296,56.884,-0.732,-0.81591,-0.28320,0.25683,19.54
$BARO,266498.679,100676.23,19.05
$HUM,266498.682,54.1,20.0
$BARO,266498.719,100676.03,19.05
$MAG,266498.721,0.064,-0.675,-0.550,17.4
$IMU,266498.753,16.601,29.602,-9.643,-0.76367,-0.07861,0.25390,19.55
$BARO,266498.759,100675.91,19.05
$HUM,266498.762,54.2,20.1
$BARO,266498.799,100679.13,19.05
$MAG,266498.816,0.069,-0.688,-0.562,17.4
$IMU,266498.829,30.578,2.990,-4.516,-0.72314,0.03662,0.29296,19.58
$BARO,266498.840,100670.70,19.05
$HUM,266498.842,54.1,20.1
$BARO,266498.880,100672.21,19.06
$IMU,266498.905,24.414,-4.089,7.934,-0.84375,0.13134,0.39111,19.52
$MAG,266498.912,0.063,-0.712,-0.576,17.8
$BARO,266498.920,100676.76,19.05
$HUM,266498.923,54.0,20.1
$BARO,266498.960,100673.52,19.06
$IMU,266498.982,-0.122,16.784,17.517,-1.03466,0.20312,0.47558,19.52
$BARO,266499.001,100680.32,19.06
$HUM,266499.003,54.0,20.1
$MAG,266499.008,0.090,-0.718,-0.538,17.4
$BARO,266499.041,100679.67,19.06
$IMU,266499.058,-33.752,47.058,14.587,-1.24707,0.08056,0.37548,19.50
$VBAT,266499.071,3.992
$BARO,266499.081,100680.98,19.06
$HUM,266499.083,54.1,20.1
$MAG,266499.104,0.118,-0.687,-0.486,17.5
$BARO,266499.122,100682.03,19.07
$IMU,266499.135,-50.842,52.673,-8.605,-1.08691,-0.11621,0.14746,19.54
$BARO,266499.162,100675.30,19.07
$HUM,266499.164,54.1,20.2
$MAG,266499.200,0.109,-0.664,-0.436,17.5
$BARO,266499.202,100669.55,19.06
$IMU,266499.211,-34.729,38.146,-17.883,-1.07812,-0.19775,-0.01904,19.56
$BARO,266499.242,100676.13,19.07
$HUM,266499.244,54.3,20.1
$BARO,266499.283,100680.06,19.06
$IMU,266499.288,-12.512,-4.760,-13.916,-0.74804,-0.07958,0.07714,19.54
$MAG,266499.296,0.106,-0.660,-0.447,17.8
$BARO,266499.323,100679.10,19.07
$HUM,266499.324,54.1,20.1
$BARO,266499.363,100677.72,19.07
$IMU,266499.364,-11.962,-16.845,18.493,-0.79101,-0.01367,0.18164,19.60
$MAG,266499.391,0.114,-0.678,-0.442,17.5
$BARO,266499.403,100679.86,19.06
$HUM,266499.405,54.2,20.2
$IMU,266499.440,-15.686,-9.460,24.536,-1.17724,-0.08642,0.27294,19.57
$BARO,266499.444,100683.54,19.07
$BARO,266499.484,100684.13,19.07
$HUM,266499.485,54.2,20.1
$MAG,266499.487,0.106,-0.678,-0.462,17.4
$IMU,266499.517,-7.202,-15.319,-3.662,-1.21582,-0.17773,0.39941,19.59
$BARO,266499.524,100677.67,19.08
$BARO,266499.564,100680.57,19.07
$HUM,266499.566,54.2,20.2
