$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,ec14d5072bf8e33e4f6e406e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,267947.472,100678.76,17.80
$MAG,267947.478,-0.375,-0.780,-0.666,16.2
$IMU,267947.487,0.366,-1.159,-6.958,0.03515,-0.09375,1.26318,18.24
$BARO,267947.513,100685.76,17.80
$HUM,267947.517,55.8,18.1
$BARO,267947.553,100691.07,17.80
$IMU,267947.564,5.554,-9.094,-45.837,0.24365,-0.20263,1.41162,18.24
$MAG,267947.574,-0.390,-0.795,-0.664,15.9
$BARO,267947.593,100685.61,17.81
$HUM,267947.597,55.9,18.7
$BARO,267947.633,100683.69,17.81
$IMU,267947.640,14.770,-3.173,-47.607,0.23437,-0.03710,1.06005,18.23
$MAG,267947.670,-0.399,-0.831,-0.655,16.0
$BARO,267947.674,100681.86,17.81
$HUM,267947.677,56.0,18.7
$BARO,267947.714,100690.41,17.81
$IMU,267947.716,14.892,-2.136,-31.494,0.15185,0.14306,0.68261,18.30
$BARO,267947.754,100679.15,17.81
$HUM,267947.758,56.2,18.8
$MAG,267947.765,-0.427,-0.843,-0.657,16.2
$IMU,267947.793,8.056,-9.582,-15.563,0.06445,0.13378,0.57666,18.31
$BARO,267947.795,100682.71,17.81
$BARO,267947.835,100681.98,17.82
$HUM,267947.838,56.0,18.8
$MAG,267947.861,-0.430,-0.859,-0.670,16.3
$IMU,267947.869,15.502,-16.845,-4.943,0.19482,0.12402,0.87646,18.25
$BARO,267947.875,100690.68,17.82
$BARO,267947.915,100685.34,17.82
$HUM,267947.918,56.0,18.8
$IMU,267947.946,21.484,1.708,14.770,0.12353,0.06982,1.29101,18.25
$BARO,267947.956,100680.64,17.82
$MAG,267947.957,-0.439,-0.873,-0.679,16.2
$BARO,267947.996,100678.42,17.82
$HUM,267947.999,55.9,18.8
$IMU,267948.022,12.451,25.268,30.395,-0.03759,0.13183,1.31445,18.31
$BARO,267948.036,100674.91,17.82
$MAG,267948.052,-0.411,-0.882,-0.667,16.0
$BARO,267948.077,100688.76,17.82
$HUM,267948.079,56.0,18.8
$IMU,267948.099,0.488,37.841,27.038,-0.09960,0.11279,1.16210,18.31
$BARO,267948.117,100687.44,17.83
$MAG,267948.148,-0.370,-0.861,-0.678,16.2
$BARO,267948.157,100683.69,17.83
$HUM,267948.159,55.9,18.8
$IMU,267948.175,-4.638,40.100,26.123,-0.13427,0.05126,0.92724,18.30
$BARO,267948.197,100676.37,17.83
$BARO,267948.238,100677.15,17.83
$HUM,267948.240,55.9,18.8
$MAG,267948.244,-0.336,-0.861,-0.675,16.3
$IMU,267948.251,-0.366,26.245,33.203,-0.14794,0.05029,0.63330,18.34
$BARO,267948.278,100685.91,17.83
$BARO,267948.318,100686.83,17.83
$HUM,267948.320,55.9,18.9
$IMU,267948.328,6.591,0.854,33.752,0.02246,0.18505,0.67041,18.35
$MAG,267948.340,-0.343,-0.874,-0.666,16.0
$BARO,267948.358,100686.90,17.83
$BARO,267948.399,100690.07,17.84
$HUM,267948.400,55.9,18.9
$IMU,267948.404,8.972,1.831,30.456,0.16796,0.29833,0.98388,18.33
$VBAT,267948.412,3.961
$MAG,267948.435,-0.343,-0.889,-0.655,16.3
$BARO,267948.439,100675.45,17.83
$BARO,267948.479,100682.15,17.83
$HUM,267948.481,56.0,18.8
$IMU,267948.481,12.573,12.329,27.099,0.04052,0.35742,1.28710,18.32
$BARO,267948.519,100679.25,17.84
$MAG,267948.531,-0.313,-0.876,-0.667,16.3
$IMU,267948.557,3.479,18.310,-4.638,0.08251,0.25146,1.50634,18.31
$BARO,267948.560,100679.91,17.84
$HUM,267948.561,56.0,18.9
$BARO,267948.600,100678.01,17.84
$MAG,267948.627,-0.277,-0.855,-0.676,16.2
$IMU,267948.634,-6.347,37.414,-6.408,-0.24853,-0.02197,1.19091,18.35
$BARO,267948.640,100690.51,17.84
$HUM,267948.641,55.8,18.9
$BARO,267948.680,100681.62,17.84
$IMU,267948.710,2.807,13.671,-0.305,-0.26855,0.04980,0.74609,18.33
$BARO,267948.721,100676.55,17.84
$HUM,267948.722,55.9,18.9
$MAG,267948.723,-0.285,-0.871,-0.693,16.3
$BARO,267948.761,100680.64,17.84
$IMU,267948.786,0.671,-27.648,-14.404,-0.05078,0.15039,0.61279,18.36
$BARO,267948.801,100687.76,17.84
$HUM,267948.802,55.9,18.9
$MAG,267948.818,-0.307,-0.876,-0.693,16.0
$BARO,267948.841,100680.84,17.84
