$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,9dc844eb3d19a4e1585feb47
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,276080.075,3.295,2.990,-9.582,-0.02148,-0.05517,1.11376,14.62
$IMU,276080.152,11.352,6.286,-42.602,0.05712,-0.17822,1.28759,14.59
$BARO,276080.163,101890.76,14.27
$MAG,276080.169,-0.046,-0.852,-0.708,12.4
$BARO,276080.203,101891.42,14.27
$HUM,276080.207,66.8,11.5
$IMU,276080.228,-3.356,4.394,-38.208,0.05468,-0.22998,1.09326,14.67
$BARO,276080.244,101885.33,14.27
$MAG,276080.264,-0.048,-0.853,-0.714,12.5
$BARO,276080.284,101883.96,14.27
$HUM,276080.288,67.2,14.9
$IMU,276080.304,-1.281,-1.159,-21.423,0.04980,-0.09912,0.95996,14.65
$BARO,276080.324,101891.96,14.28
$MAG,276080.360,-0.048,-0.823,-0.714,12.4
$BARO,276080.365,101884.11,14.28
$HUM,276080.368,67.5,15.0
$IMU,276080.381,-19.714,-0.854,-1.159,-0.00048,-0.13476,0.81835,14.66
$BARO,276080.405,101886.93,14.29
$BARO,276080.445,101884.18,14.29
$HUM,276080.448,67.3,15.0
$MAG,276080.455,-0.051,-0.811,-0.708,12.3
$IMU,276080.457,-17.517,5.554,-10.131,0.09277,-0.12158,0.79443,14.66
$BARO,276080.486,101882.11,14.29
$BARO,276080.526,101882.30,14.29
$HUM,276080.529,67.5,15.0
$IMU,276080.534,-7.324,20.202,21.850,0.03955,-0.11767,0.86328,14.71
$MAG,276080.551,-0.027,-0.837,-0.702,12.5
$BARO,276080.566,101885.23,14.29
$BARO,276080.606,101884.64,14.29
$HUM,276080.609,67.4,15.0
$IMU,276080.610,23.010,62.011,50.048,-0.07958,-0.25488,0.82324,14.70
$MAG,276080.646,0.040,-0.931,-0.658,12.5
$BARO,276080.647,101891.20,14.30
$BARO,276080.687,101891.20,14.30
$IMU,276080.687,60.485,70.068,68.786,-0.88183,0.28857,1.50048,14.71
$HUM,276080.689,67.4,15.1
$BARO,276080.727,101898.46,14.30
$MAG,276080.742,0.039,-0.978,-0.663,12.5
$IMU,276080.763,25.878,2.319,21.911,-0.24853,-0.29589,1.10009,14.73
$BARO,276080.768,101892.76,14.30
$HUM,276080.770,67.4,15.1
$BARO,276080.808,101894.54,14.30
$MAG,276080.838,0.054,-1.002,-0.648,12.4
$IMU,276080.839,46.875,14.404,13.488,-0.40185,0.04833,0.99072,14.68
$BARO,276080.848,101894.54,14.30
$HUM,276080.850,67.3,15.0
$BARO,276080.889,101888.32,14.30
$IMU,276080.916,28.930,9.521,13.671,-0.37255,0.18017,0.79345,14.70
$BARO,276080.929,101899.71,14.30
$HUM,276080.930,67.2,15.0
$MAG,276080.933,0.052,-1.023,-0.646,12.5
$BARO,276080.969,101897.64,14.31
$IMU,276080.992,13.610,-7.324,0.183,-0.21777,0.22412,0.66845,14.72
$VBAT,276081.005,4.163
$BARO,276081.010,101885.76,14.30
$HUM,276081.011,67.3,15.1
$MAG,276081.029,0.060,-1.017,-0.643,12.4
$BARO,276081.050,101894.49,14.31
$IMU,276081.069,9.277,2.502,-3.784,-0.21337,0.19287,0.73144,14.76
$BARO,276081.090,101890.03,14.31
$HUM,276081.091,67.0,15.1
$MAG,276081.124,0.069,-1.036,-0.615,12.5
$BARO,276081.130,101891.93,14.31
$IMU,276081.145,4.211,13.061,9.887,-0.28710,0.19287,0.84326,14.75
$BARO,276081.171,101883.89,14.30
$HUM,276081.171,66.8,15.1
$BARO,276081.211,101878.57,14.30
$MAG,276081.220,0.070,-1.017,-0.598,12.4
$IMU,276081.221,-1.647,17.456,11.596,-0.33300,0.29345,1.10937,14.74
$BARO,276081.251,101894.15,14.31
$HUM,276081.252,67.3,15.1
$BARO,276081.292,101886.11,14.31
$IMU,276081.298,-28.381,23.193,-5.920,-0.36572,0.08837,1.10449,14.75
$MAG,276081.315,0.093,-0.985,-0.591,12.5
$BARO,276081.332,101898.68,14.31
$HUM,276081.332,67.4,15.1
$BARO,276081.372,101891.15,14.31
$IMU,276081.374,-27.587,12.634,-31.860,-0.30957,-0.04785,1.02539,14.74
$MAG,276081.411,0.082,-0.955,-0.597,12.5
$BARO,276081.413,101889.64,14.31
$HUM,276081.413,67.5,15.1
$IMU,276081.451,-16.052,-16.174,-26.306,-0.24707,0.02685,0.96289,14.71
$BARO,276081.453,101897.88,14.31
$BARO,276081.493,101885.72,14.31
$HUM,276081.493,67.4,15.1
