$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,798fb61f1c69299bec8b86ff
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,277581.212,0.854,1.525,-1.342,0.04394,0.09277,0.94189,17.80
$IMU,277581.288,8.300,3.540,0.366,0.02490,0.08740,0.97509,17.81
$BARO,277581.303,101867.75,17.45
$MAG,277581.308,-0.315,-0.826,-0.696,15.5
$BARO,277581.343,101863.88,17.45
$HUM,277581.347,58.8,18.4
$IMU,277581.364,12.451,10.437,3.417,-0.00146,0.12939,0.98437,17.83
$BARO,277581.383,101869.29,17.46
$MAG,277581.404,-0.285,-0.840,-0.703,15.5
$BARO,277581.424,101871.65,17.46
$HUM,277581.427,58.4,18.4
$IMU,277581.441,10.009,15.563,-1.220,-0.06298,0.13818,1.00000,17.83
$BARO,277581.464,101863.63,17.46
$MAG,277581.500,-0.291,-0.853,-0.699,15.7
$BARO,277581.504,101864.49,17.47
$HUM,277581.508,59.3,18.4
$IMU,277581.517,8.911,11.413,-1.342,-0.10205,0.15869,1.02001,17.84
$BARO,277581.544,101869.43,17.47
$BARO,277581.585,101867.46,17.47
$HUM,277581.588,61.2,18.4
$IMU,277581.594,8.178,4.638,-0.854,-0.06542,0.17236,1.01269,17.84
$MAG,277581.596,-0.288,-0.850,-0.705,15.9
$BARO,277581.625,101862.97,17.47
$BARO,277581.665,101871.21,17.47
$HUM,277581.668,61.3,18.4
$IMU,277581.670,8.361,3.723,-0.305,-0.06835,0.19042,0.98925,17.89
$MAG,277581.692,-0.276,-0.847,-0.717,15.9
$BARO,277581.706,101867.58,17.48
$BARO,277581.746,101866.80,17.48
$IMU,277581.747,8.850,5.371,-0.061,-0.05859,0.18652,0.97705,17.90
$HUM,277581.749,61.4,18.4
$BARO,277581.786,101864.44,17.48
$MAG,277581.787,-0.279,-0.874,-0.694,15.7
$IMU,277581.823,8.972,8.239,-0.183,-0.08496,0.19921,0.98193,17.88
$BARO,277581.826,101863.92,17.48
$HUM,277581.829,61.7,18.5
$BARO,277581.867,101861.41,17.49
$MAG,277581.883,-0.277,-0.873,-0.700,15.9
$IMU,277581.899,7.141,8.422,-0.732,-0.10400,0.21679,0.98095,17.90
$BARO,277581.907,101868.39,17.48
$HUM,277581.909,61.9,18.5
$BARO,277581.947,101868.85,17.48
$IMU,277581.976,4.638,7.324,-1.892,-0.10742,0.19921,0.96826,17.91
$MAG,277581.979,-0.256,-0.874,-0.693,15.7
$BARO,277581.987,101861.15,17.48
$HUM,277581.990,62.0,18.5
$BARO,277582.028,101854.88,17.49
$IMU,277582.052,4.577,7.690,-5.249,-0.07617,0.22119,0.95996,17.90
$BARO,277582.068,101860.22,17.49
$HUM,277582.070,61.0,18.5
$MAG,277582.075,-0.261,-0.883,-0.700,15.9
$BARO,277582.108,101868.00,17.49
$IMU,277582.129,-1.586,8.605,-6.713,-0.19628,0.34179,0.99853,17.92
$VBAT,277582.136,4.121
$BARO,277582.149,101859.76,17.48
$HUM,277582.150,58.8,18.5
$MAG,277582.171,-0.256,-0.865,-0.697,15.9
$BARO,277582.189,101872.16,17.49
$IMU,277582.205,-15.625,-0.549,0.610,-0.14599,0.19238,0.99511,17.91
$BARO,277582.229,101869.07,17.50
$HUM,277582.231,57.1,18.5
$MAG,277582.266,-0.271,-0.846,-0.696,15.8
$BARO,277582.269,101872.04,17.50
$IMU,277582.282,-13.366,-4.821,5.004,-0.17089,0.16943,1.01660,17.92
$BARO,277582.310,101862.95,17.50
$HUM,277582.311,57.4,18.5
$BARO,277582.350,101861.02,17.50
$IMU,277582.358,-8.239,-11.230,6.408,-0.09765,0.17724,1.05957,17.94
$MAG,277582.362,-0.271,-0.843,-0.705,15.8
$BARO,277582.390,101873.28,17.50
$HUM,277582.391,57.7,18.5
$BARO,277582.430,101868.53,17.51
$IMU,277582.434,-1.525,-13.549,6.225,-0.08154,0.09472,1.03076,17.94
$MAG,277582.458,-0.294,-0.853,-0.700,15.9
$BARO,277582.471,101866.17,17.50
$HUM,277582.472,57.8,18.6
$BARO,277582.511,101867.17,17.51
$IMU,277582.511,13.305,-13.977,-0.549,-0.07226,0.14062,1.02197,17.92
$BARO,277582.551,101869.60,17.51
$HUM,277582.552,57.7,18.5
$MAG,277582.554,-0.306,-0.889,-0.712,15.9
$IMU,277582.587,21.240,-13.977,-6.835,-0.03857,0.20458,0.98144,17.97
$BARO,277582.592,101865.73,17.51
$BARO,277582.632,101870.26,17.51
$HUM,277582.633,57.4,18.5
