$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,7523866e27228bc875743dd6
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,280390.468,1.708,3.784,-3.845,0.10595,0.03710,0.89746,19.63
$IMU,280390.545,4.760,17.883,-5.676,0.12402,0.11035,1.18164,19.61
$BARO,280390.559,101794.53,19.24
$MAG,280390.565,-0.087,-0.981,-0.679,17.7
$BARO,280390.599,101797.50,19.24
$HUM,280390.603,49.5,19.7
$IMU,280390.621,-10.986,31.127,10.070,-0.08837,-0.10009,1.30224,19.65
$BARO,280390.639,101798.04,19.25
$MAG,280390.661,-0.067,-0.969,-0.676,17.7
$BARO,280390.680,101789.26,19.25
$HUM,280390.684,49.6,20.2
$IMU,280390.698,-11.352,11.901,9.521,-0.12939,-0.27539,1.17578,19.66
$BARO,280390.720,101798.31,19.26
$MAG,280390.756,-0.087,-0.982,-0.684,17.8
$BARO,280390.760,101792.87,19.26
$HUM,280390.764,49.5,20.2
$IMU,280390.774,5.615,-8.666,5.798,-0.16601,-0.15429,1.00048,19.72
$BARO,280390.801,101798.11,19.26
$BARO,280390.841,101797.19,19.26
$HUM,280390.844,49.4,20.2
$IMU,280390.851,4.089,-10.375,8.361,-0.11865,-0.12939,0.92285,19.68
$MAG,280390.852,-0.100,-0.976,-0.697,17.8
$BARO,280390.881,101797.19,19.26
$BARO,280390.921,101800.96,19.26
$HUM,280390.924,49.5,20.3
$IMU,280390.927,1.159,-13.549,4.577,0.01660,-0.00097,0.80859,19.71
$MAG,280390.948,-0.096,-0.976,-0.687,17.8
$BARO,280390.962,101800.43,19.27
$BARO,280391.002,101791.90,19.27
$IMU,280391.003,3.112,-5.249,2.868,0.07617,-0.01123,0.86621,19.70
$HUM,280391.005,49.6,20.3
$BARO,280391.042,101786.95,19.27
$MAG,280391.044,-0.100,-0.984,-0.693,17.7
$IMU,280391.080,10.620,2.075,-10.375,-0.08544,-0.02441,0.96533,19.70
$BARO,280391.082,101795.55,19.27
$HUM,280391.085,49.6,20.3
$BARO,280391.123,101785.63,19.27
$MAG,280391.140,-0.114,-1.014,-0.699,17.8
$IMU,280391.156,21.545,-15.991,-24.963,0.03759,0.04296,1.04199,19.74
$BARO,280391.163,101798.72,19.27
$HUM,280391.166,49.5,20.3
$BARO,280391.203,101791.58,19.27
$IMU,280391.233,20.568,-21.423,-27.404,0.14501,0.12890,1.15625,19.74
$MAG,280391.236,-0.117,-1.017,-0.694,17.7
$BARO,280391.243,101803.01,19.28
$HUM,280391.246,49.7,20.3
$BARO,280391.284,101788.07,19.28
$IMU,280391.309,3.601,-6.896,-33.996,0.14160,-0.07763,1.10351,19.74
$BARO,280391.324,101795.41,19.28
$HUM,280391.326,49.6,20.3
$MAG,280391.332,-0.118,-0.999,-0.691,17.8
$BARO,280391.364,101799.06,19.28
$IMU,280391.386,8.300,18.371,-36.132,0.06347,-0.12158,1.11181,19.76
$VBAT,280391.392,4.037
$BARO,280391.404,101789.56,19.28
$HUM,280391.407,49.7,20.3
$MAG,280391.428,-0.091,-1.009,-0.679,17.8
$BARO,280391.445,101795.09,19.28
$IMU,280391.462,9.338,19.165,-22.460,0.00585,0.05468,0.95507,19.72
$BARO,280391.485,101782.49,19.29
$HUM,280391.487,49.7,20.4
$MAG,280391.524,-0.082,-0.997,-0.687,17.8
$BARO,280391.525,101791.26,19.29
$IMU,280391.538,-2.258,6.408,-18.554,-0.02050,0.09228,0.76123,19.73
$BARO,280391.565,101792.51,19.28
$HUM,280391.567,49.7,20.3
$BARO,280391.606,101782.29,19.29
$IMU,280391.615,-1.586,1.342,-12.390,0.01025,0.10742,0.84375,19.76
$MAG,280391.620,-0.088,-0.996,-0.688,17.7
$BARO,280391.646,101781.49,19.29
$HUM,280391.648,49.7,20.4
$BARO,280391.686,101795.16,19.29
$IMU,280391.691,-2.136,-1.281,-0.610,0.07617,0.12304,0.91845,19.74
$MAG,280391.715,-0.087,-0.985,-0.681,17.7
$BARO,280391.726,101792.99,19.29
$HUM,280391.728,49.8,20.4
$BARO,280391.767,101798.60,19.29
$IMU,280391.768,0.610,8.850,9.399,0.09033,0.13378,1.11718,19.76
$BARO,280391.807,101802.16,19.29
$HUM,280391.808,49.8,20.3
$MAG,280391.811,-0.064,-0.999,-0.669,17.8
$IMU,280391.844,-0.488,24.108,15.258,-0.06005,0.11279,1.23388,19.77
$BARO,280391.847,101798.60,19.29
$BARO,280391.887,101792.14,19.29
$HUM,280391.889,49.6,20.4
