$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,c161dda6e02b509ce753629d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,281827.583,-2.685,2.319,-3.601,0.24853,0.14990,0.93847,21.21
$IMU,281827.660,-8.361,22.705,-16.662,0.22119,0.14746,1.14746,21.24
$BARO,281827.674,101771.28,20.86
$MAG,281827.680,-0.505,-0.948,-0.721,19.4
$BARO,281827.714,101769.89,20.86
$HUM,281827.718,49.6,21.9
$IMU,281827.736,-14.282,57.250,-4.455,0.18603,0.07568,1.19628,21.27
$BARO,281827.754,101777.32,20.87
$MAG,281827.776,-0.441,-0.918,-0.769,19.5
$BARO,281827.795,101770.18,20.87
$HUM,281827.798,49.5,21.9
$IMU,281827.813,-18.066,93.200,8.117,-0.13378,0.01074,1.02490,21.27
$BARO,281827.835,101769.52,20.87
$MAG,281827.872,-0.327,-0.894,-0.795,19.3
$BARO,281827.875,101774.81,20.87
$HUM,281827.879,49.3,21.9
$IMU,281827.889,-4.760,113.525,0.732,-0.46630,0.03173,0.87841,21.28
$BARO,281827.915,101770.91,20.88
$BARO,281827.956,101771.69,20.88
$HUM,281827.959,49.1,21.9
$IMU,281827.966,1.953,85.327,1.464,-0.60742,0.04345,0.68554,21.30
$MAG,281827.968,-0.264,-0.909,-0.798,19.3
$BARO,281827.996,101767.72,20.88
$BARO,281828.036,101770.30,20.88
$HUM,281828.039,49.0,22.0
$IMU,281828.042,10.925,44.128,-3.234,-0.55224,0.03906,0.69970,21.33
$MAG,281828.064,-0.232,-0.907,-0.793,19.3
$BARO,281828.076,101758.65,20.88
$BARO,281828.117,101771.49,20.89
$IMU,281828.118,12.329,31.005,-10.864,-0.51660,0.07177,0.67089,21.32
$HUM,281828.120,49.0,21.9
$BARO,281828.157,101766.79,20.88
$MAG,281828.160,-0.211,-0.925,-0.792,19.4
$IMU,281828.195,2.319,22.399,-4.028,-0.53613,0.07373,0.69970,21.31
$BARO,281828.197,101765.67,20.89
$HUM,281828.200,49.1,22.0
$BARO,281828.237,101770.30,20.89
$MAG,281828.256,-0.187,-0.910,-0.795,19.5
$IMU,281828.271,-3.967,19.165,-4.394,-0.49902,0.10693,0.81689,21.31
$BARO,281828.277,101765.47,20.89
$HUM,281828.280,49.1,22.0
$BARO,281828.318,101760.70,20.89
$IMU,281828.348,-13.000,28.686,-0.366,-0.58203,0.02636,0.74658,21.36
$MAG,281828.352,-0.160,-0.895,-0.789,19.4
$BARO,281828.358,101769.25,20.89
$HUM,281828.361,49.2,22.0
$BARO,281828.398,101760.96,20.89
$IMU,281828.424,-24.719,43.090,24.963,-0.61230,0.04052,0.87890,21.34
$BARO,281828.438,101768.52,20.89
$HUM,281828.441,49.0,22.0
$MAG,281828.448,-0.120,-0.877,-0.783,19.3
$BARO,281828.479,101768.59,20.90
$IMU,281828.501,-34.118,63.720,51.818,-0.75390,0.04052,0.71435,21.38
$VBAT,281828.511,4.008
$BARO,281828.519,101769.64,20.89
$HUM,281828.521,49.0,22.0
$MAG,281828.544,-0.064,-0.877,-0.771,19.4
$BARO,281828.559,101769.20,20.90
$IMU,281828.577,-21.606,54.992,56.091,-1.20068,-0.08007,0.23535,21.35
$BARO,281828.599,101769.64,20.90
$HUM,281828.602,49.1,22.0
$BARO,281828.640,101761.70,20.90
$MAG,281828.640,-0.112,-0.924,-0.772,19.4
$IMU,281828.653,26.855,-37.658,37.353,-1.03271,0.22412,0.51367,21.36
$BARO,281828.680,101769.45,20.90
$HUM,281828.682,49.1,22.0
$BARO,281828.720,101757.92,20.90
$IMU,281828.730,26.489,-60.913,11.169,-0.36425,0.48291,0.84716,21.33
$MAG,281828.736,-0.145,-0.943,-0.777,19.3
$BARO,281828.760,101767.74,20.90
$HUM,281828.762,49.1,22.1
$BARO,281828.801,101764.16,20.91
$IMU,281828.806,-0.183,-1.159,5.737,-0.43457,0.20898,0.72412,21.38
$MAG,281828.832,-0.127,-0.958,-0.766,19.5
$BARO,281828.841,101769.74,20.90
$HUM,281828.842,49.2,22.0
$BARO,281828.881,101768.01,20.91
$IMU,281828.883,21.850,15.380,-21.728,-0.41064,0.51806,0.77392,21.36
$BARO,281828.921,101770.98,20.91
$HUM,281828.923,49.0,22.0
$MAG,281828.928,-0.094,-0.940,-0.765,19.3
$IMU,281828.959,-32.714,55.603,0.061,-0.70263,0.17871,0.56152,21.37
$BARO,281828.961,101758.48,20.91
$BARO,281829.002,101758.21,20.91
$HUM,281829.003,49.2,22.0
