$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,24e439722dfda1fd5040f30a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,288850.933,-1.220,-0.732,-0.366,-0.16210,0.08789,0.95996,22.77
$IMU,288851.009,-3.234,-11.901,5.920,-0.08203,0.00585,0.99609,22.75
$BARO,288851.022,102214.34,22.36
$MAG,288851.028,-0.426,-0.843,-0.717,20.8
$BARO,288851.063,102216.19,22.37
$HUM,288851.067,42.9,23.0
$IMU,288851.085,-3.723,-18.676,5.798,0.03564,-0.03417,0.97509,22.81
$BARO,288851.103,102218.07,22.37
$MAG,288851.124,-0.427,-0.852,-0.714,20.9
$BARO,288851.143,102219.73,22.37
$HUM,288851.147,43.3,23.5
$IMU,288851.162,4.333,-12.023,5.798,0.04541,0.01123,1.02246,22.82
$BARO,288851.183,102221.34,22.38
$MAG,288851.220,-0.441,-0.843,-0.721,20.8
$BARO,288851.224,102222.33,22.37
$HUM,288851.227,43.4,23.5
$IMU,288851.238,6.713,-7.385,3.906,0.04541,0.05566,1.01904,22.83
$BARO,288851.264,102221.19,22.38
$BARO,288851.304,102213.02,22.38
$HUM,288851.308,43.6,23.5
$IMU,288851.315,4.089,-4.516,1.098,0.05029,0.05664,1.00097,22.83
$MAG,288851.317,-0.441,-0.847,-0.705,20.9
$BARO,288851.344,102216.48,22.39
$BARO,288851.385,102214.10,22.39
$HUM,288851.388,43.5,23.5
$IMU,288851.391,1.586,-1.342,0.976,0.05517,0.04541,1.00292,22.83
$MAG,288851.413,-0.454,-0.853,-0.714,21.0
$BARO,288851.425,102207.98,22.39
$BARO,288851.465,102219.09,22.39
$HUM,288851.468,43.7,23.5
$IMU,288851.468,0.305,0.610,1.892,0.02978,0.03710,1.01220,22.85
$BARO,288851.505,102212.56,22.39
$MAG,288851.509,-0.454,-0.849,-0.711,20.8
$IMU,288851.544,0.305,0.061,1.159,0.02685,0.03466,1.01074,22.87
$BARO,288851.545,102215.05,22.40
$HUM,288851.549,43.7,23.5
$BARO,288851.586,102221.21,22.40
$MAG,288851.605,-0.435,-0.843,-0.706,21.0
$IMU,288851.620,0.305,0.366,-0.305,0.04931,0.05371,1.02050,22.84
$BARO,288851.626,102226.72,22.39
$HUM,288851.629,43.6,23.5
$BARO,288851.666,102224.02,22.40
$IMU,288851.697,-1.037,2.624,-1.525,0.02246,0.02783,1.00439,22.83
$MAG,288851.701,-0.448,-0.849,-0.714,21.0
$BARO,288851.706,102214.44,22.39
$HUM,288851.709,43.6,23.6
$BARO,288851.747,102212.73,22.40
$IMU,288851.773,2.136,1.037,-1.953,0.02099,0.03710,1.02294,22.92
$BARO,288851.787,102223.29,22.40
$HUM,288851.790,43.6,23.6
$MAG,288851.797,-0.445,-0.858,-0.708,21.0
$BARO,288851.827,102219.31,22.40
$IMU,288851.850,3.234,-0.854,-1.037,0.02685,0.04980,1.00781,22.88
$BARO,288851.867,102213.93,22.40
$HUM,288851.870,43.6,23.6
$VBAT,288851.882,3.829
$MAG,288851.893,-0.442,-0.864,-0.717,21.0
$BARO,288851.907,102225.75,22.41
$IMU,288851.926,2.502,-0.366,-1.647,0.03613,0.06152,1.00292,22.87
$BARO,288851.948,102221.16,22.40
$HUM,288851.950,43.6,23.6
$BARO,288851.988,102218.97,22.40
$MAG,288851.989,-0.441,-0.852,-0.714,21.0
$IMU,288852.003,0.732,1.525,-2.014,0.02636,0.05273,1.01025,22.92
$BARO,288852.028,102217.17,22.40
$HUM,288852.031,43.4,23.6
$BARO,288852.068,102213.00,22.41
$IMU,288852.079,-0.488,1.586,-1.708,0.02148,0.04882,1.00976,22.90
$MAG,288852.085,-0.435,-0.846,-0.714,21.0
$BARO,288852.109,102212.46,22.41
$HUM,288852.111,43.4,23.6
$BARO,288852.149,102212.58,22.41
$IMU,288852.156,-0.549,1.403,-1.159,0.01806,0.04687,1.00537,22.88
$MAG,288852.181,-0.439,-0.858,-0.720,20.9
$BARO,288852.189,102229.60,22.41
$HUM,288852.191,43.4,23.6
$BARO,288852.229,102215.46,22.41
$IMU,288852.232,0.488,0.549,-0.732,0.02441,0.05273,1.01806,22.93
$BARO,288852.270,102219.04,22.41
$HUM,288852.272,43.4,23.7
$MAG,288852.277,-0.447,-0.858,-0.709,21.0
$IMU,288852.308,0.793,0.183,-0.488,0.02783,0.04882,1.01269,22.89
$BARO,288852.310,102215.85,22.41
$BARO,288852.350,102225.89,22.41
$HUM,288852.352,43.4,23.6
