$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1201d7f5e6859956421c8ab8
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,290070.792,4.882,4.150,2.014,-0.01074,0.00000,0.91845,27.44
$IMU,290070.869,32.409,11.413,6.225,-0.14697,0.13867,1.01611,27.42
$BARO,290070.886,102207.49,27.20
$MAG,290070.892,-0.402,-0.868,-0.793,25.7
$BARO,290070.926,102202.71,27.21
$HUM,290070.930,40.1,28.5
$IMU,290070.945,31.921,-0.061,-2.563,-0.16943,0.24707,1.01513,27.45
$BARO,290070.966,102202.32,27.21
$MAG,290070.988,-0.426,-0.897,-0.789,25.7
$BARO,290071.006,102192.67,27.21
$HUM,290071.010,39.8,28.6
$IMU,290071.022,17.517,-18.493,-14.160,-0.06201,0.23486,0.96875,27.50
$BARO,290071.047,102201.66,27.22
$MAG,290071.085,-0.441,-0.925,-0.772,25.8
$BARO,290071.087,102191.21,27.22
$HUM,290071.091,39.7,28.6
$IMU,290071.098,13.122,-22.949,-18.920,0.04052,0.21533,0.91210,27.51
$BARO,290071.127,102200.52,27.23
$BARO,290071.167,102207.03,27.23
$HUM,290071.171,39.0,28.6
$IMU,290071.175,17.883,-7.812,-17.028,0.06884,0.26708,0.90527,27.51
$MAG,290071.181,-0.439,-0.952,-0.777,25.8
$BARO,290071.208,102205.10,27.23
$BARO,290071.248,102199.08,27.23
$HUM,290071.251,38.1,28.6
$IMU,290071.251,22.399,9.643,-6.774,-0.07861,0.32812,0.97216,27.54
$MAG,290071.278,-0.433,-0.981,-0.762,25.6
$BARO,290071.288,102200.47,27.24
$IMU,290071.328,23.010,0.793,1.159,-0.12548,0.37158,0.94580,27.52
$BARO,290071.328,102207.78,27.24
$HUM,290071.332,37.7,28.6
$BARO,290071.368,102196.72,27.24
$MAG,290071.374,-0.448,-0.994,-0.754,25.6
$IMU,290071.404,15.441,-13.977,-4.455,-0.06494,0.34960,0.86962,27.53
$BARO,290071.409,102204.83,27.24
$HUM,290071.412,37.9,28.7
$BARO,290071.449,102204.25,27.25
$MAG,290071.471,-0.462,-1.012,-0.736,26.1
$IMU,290071.480,13.061,-18.371,-9.277,-0.02001,0.33642,0.84570,27.50
$BARO,290071.489,102197.08,27.25
$HUM,290071.492,38.3,28.7
$BARO,290071.529,102201.91,27.25
$IMU,290071.557,16.235,-23.498,-11.596,0.01464,0.28222,0.83251,27.53
$MAG,290071.567,-0.474,-1.033,-0.706,25.6
$BARO,290071.569,102207.34,27.25
$HUM,290071.573,39.3,28.7
$BARO,290071.610,102197.28,27.25
$IMU,290071.633,29.113,-24.658,-3.295,0.16601,0.43847,1.00048,27.60
$BARO,290071.650,102200.15,27.26
$HUM,290071.653,40.2,28.7
$MAG,290071.664,-0.490,-1.038,-0.681,26.0
$BARO,290071.690,102194.72,27.26
$IMU,290071.710,14.892,-9.826,15.319,0.15234,0.55957,1.02294,27.54
$BARO,290071.730,102195.01,27.26
$HUM,290071.733,40.2,28.7
$VBAT,290071.738,3.824
$MAG,290071.760,-0.487,-1.023,-0.670,26.0
$BARO,290071.770,102194.47,27.26
$IMU,290071.786,-8.605,2.197,15.808,0.10302,0.54443,0.97265,27.55
$BARO,290071.811,102191.26,27.27
$HUM,290071.814,40.2,28.7
$BARO,290071.851,102197.50,27.27
$MAG,290071.857,-0.490,-1.015,-0.679,25.7
$IMU,290071.863,-19.348,3.173,9.033,0.10253,0.41943,0.92529,27.57
$BARO,290071.891,102192.52,27.27
$HUM,290071.894,40.4,28.7
$BARO,290071.931,102204.39,27.27
$IMU,290071.939,-13.488,2.136,2.014,0.11962,0.37695,0.94726,27.57
$MAG,290071.953,-0.484,-1.006,-0.682,25.7
$BARO,290071.971,102194.74,27.27
$HUM,290071.974,40.3,28.7
$BARO,290072.012,102198.57,27.27
$IMU,290072.016,-8.483,5.493,-2.502,0.08447,0.38037,0.95361,27.62
$MAG,290072.050,-0.484,-0.987,-0.684,26.1
$BARO,290072.052,102195.96,27.27
$HUM,290072.055,40.2,28.8
$BARO,290072.092,102204.08,27.28
$IMU,290072.092,-8.056,4.028,-2.136,0.08007,0.35351,0.94482,27.62
$BARO,290072.132,102198.23,27.28
$HUM,290072.135,40.1,28.7
$MAG,290072.146,-0.481,-0.988,-0.687,26.1
$IMU,290072.168,-6.286,2.868,-2.075,0.08251,0.34960,0.94726,27.61
$BARO,290072.172,102204.08,27.28
$BARO,290072.213,102192.40,27.28
$HUM,290072.215,40.1,28.8
