$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,a414101b9fc916b8b4b6fd74
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,291211.323,15.380,-21.728,-47.302,0.40527,0.29687,0.85498,16.80
$IMU,291211.400,51.818,-83.679,-176.391,0.59326,0.56298,0.83740,16.79
$BARO,291211.415,102171.24,16.51
$MAG,291211.421,-0.369,-1.188,-0.553,15.0
$BARO,291211.455,102175.07,16.52
$HUM,291211.459,50.4,17.4
$IMU,291211.476,17.395,-46.997,-133.239,0.38964,0.47998,0.78808,16.81
$BARO,291211.496,102175.88,16.52
$MAG,291211.516,-0.331,-1.173,-0.552,14.9
$BARO,291211.536,102171.81,16.52
$HUM,291211.540,50.4,17.4
$IMU,291211.553,-0.549,-21.545,-68.603,0.34716,0.49853,0.79345,16.83
$BARO,291211.576,102167.66,16.52
$MAG,291211.612,-0.295,-1.183,-0.553,14.9
$BARO,291211.616,102173.54,16.53
$HUM,291211.620,50.5,17.4
$IMU,291211.629,-4.455,-6.164,-36.499,0.45458,0.50732,0.75488,16.83
$BARO,291211.657,102169.71,16.53
$BARO,291211.697,102168.81,16.53
$HUM,291211.700,50.3,17.4
$IMU,291211.706,-1.892,12.512,-27.099,0.28564,0.53710,0.72802,16.86
$MAG,291211.708,-0.271,-1.171,-0.555,14.7
$BARO,291211.737,102172.34,16.53
$BARO,291211.778,102171.17,16.53
$HUM,291211.780,50.4,17.4
$IMU,291211.782,-3.967,10.375,-21.179,0.24169,0.52197,0.76513,16.85
$MAG,291211.803,-0.249,-1.155,-0.555,14.9
$BARO,291211.818,102170.85,16.54
$BARO,291211.858,102168.10,16.54
$IMU,291211.858,-7.141,7.080,-11.474,0.19238,0.54833,0.79833,16.89
$HUM,291211.861,50.5,17.4
$BARO,291211.898,102171.24,16.54
$MAG,291211.899,-0.211,-1.158,-0.562,15.0
$IMU,291211.935,-3.784,4.699,-10.864,0.06835,0.65625,0.89355,16.90
$BARO,291211.939,102166.13,16.54
$HUM,291211.941,50.3,17.4
$BARO,291211.979,102174.34,16.55
$MAG,291211.994,-0.196,-1.143,-0.568,15.0
$IMU,291212.011,-13.732,6.164,-19.104,-0.03271,0.48730,0.87451,16.92
$BARO,291212.019,102169.93,16.54
$HUM,291212.021,50.4,17.4
$BARO,291212.060,102169.81,16.55
$IMU,291212.088,-2.197,-0.061,-19.531,0.02197,0.53173,0.87158,16.92
$MAG,291212.090,-0.187,-1.143,-0.576,14.9
$BARO,291212.100,102166.08,16.55
$HUM,291212.102,50.5,17.5
$BARO,291212.140,102164.76,16.55
$IMU,291212.164,4.211,1.525,-8.300,0.01806,0.54589,0.84130,16.91
$BARO,291212.180,102169.61,16.55
$HUM,291212.182,50.4,17.5
$MAG,291212.186,-0.171,-1.153,-0.558,14.8
$BARO,291212.221,102176.58,16.55
$IMU,291212.240,5.126,2.624,-2.563,-0.03076,0.56250,0.80566,16.87
$VBAT,291212.247,3.795
$BARO,291212.261,102171.85,16.55
$HUM,291212.262,50.4,17.5
$MAG,291212.281,-0.153,-1.158,-0.555,14.9
$BARO,291212.301,102175.68,16.55
$IMU,291212.317,-0.305,-4.028,-6.774,-0.04150,0.58496,0.79687,16.93
$BARO,291212.342,102175.36,16.56
$HUM,291212.343,50.4,17.5
$MAG,291212.377,-0.169,-1.152,-0.565,14.7
$BARO,291212.382,102173.00,16.56
$IMU,291212.393,-1.647,-5.187,-11.535,-0.03955,0.62792,0.84082,16.93
$BARO,291212.422,102187.50,16.56
$HUM,291212.423,50.5,17.5
$BARO,291212.462,102168.39,16.56
$IMU,291212.470,-6.347,-7.629,-14.465,-0.02148,0.55078,0.85595,16.93
$MAG,291212.473,-0.166,-1.141,-0.583,14.9
$BARO,291212.503,102170.64,16.56
$HUM,291212.503,50.5,17.5
$BARO,291212.543,102168.73,16.57
$IMU,291212.546,-7.324,-14.587,-6.591,0.06933,0.53369,0.85400,16.94
$MAG,291212.568,-0.180,-1.135,-0.588,15.2
$BARO,291212.583,102172.80,16.56
$HUM,291212.584,50.5,17.5
$BARO,291212.623,102182.14,16.57
$IMU,291212.623,-7.385,-11.901,0.000,0.05175,0.53808,0.87548,16.96
$BARO,291212.664,102191.72,16.56
$HUM,291212.664,50.5,17.5
$MAG,291212.664,-0.178,-1.141,-0.594,15.0
$IMU,291212.699,-8.789,-7.019,-3.784,0.04345,0.49169,0.86816,16.95
$BARO,291212.704,102184.31,16.57
$BARO,291212.744,102176.49,16.57
