$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1dd94d0dbba677d90e8b0f1e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,292503.940,-4.943,16.723,-0.671,0.14453,0.23242,0.88769,29.43
$IMU,292504.016,-31.738,102.172,4.760,-0.08935,0.16113,1.09960,29.46
$BARO,292504.037,102177.07,29.00
$MAG,292504.043,-0.175,-0.751,-0.733,27.5
$BARO,292504.078,102179.70,29.00
$HUM,292504.082,35.6,30.3
$IMU,292504.093,-68.237,166.809,34.362,-0.50488,0.05322,0.75195,29.39
$BARO,292504.118,102198.52,29.01
$MAG,292504.140,-0.012,-0.693,-0.639,27.7
$BARO,292504.158,102186.43,29.01
$HUM,292504.162,35.5,30.3
$IMU,292504.169,-89.111,186.889,62.133,-1.06445,0.10009,0.22119,29.48
$BARO,292504.198,102177.29,29.02
$MAG,292504.236,0.060,-0.672,-0.567,27.8
$BARO,292504.238,102189.11,29.01
$HUM,292504.242,35.3,30.3
$IMU,292504.246,-49.865,117.736,32.592,-1.11962,-0.00292,0.21533,29.47
$BARO,292504.279,102185.36,29.02
$BARO,292504.319,102175.07,29.02
$IMU,292504.322,-14.770,59.265,-22.705,-0.99853,-0.03955,0.16308,29.46
$HUM,292504.323,35.3,30.4
$MAG,292504.333,0.060,-0.639,-0.531,27.6
$BARO,292504.359,102177.90,29.02
$BARO,292504.399,102175.68,29.02
$IMU,292504.399,-22.216,24.475,-32.226,-0.85986,-0.12548,0.18945,29.52
$HUM,292504.403,35.2,30.4
$MAG,292504.430,0.061,-0.613,-0.489,27.5
$BARO,292504.439,102184.82,29.02
$IMU,292504.475,-38.085,23.376,-18.554,-0.95849,-0.32128,0.17675,29.50
$BARO,292504.480,102190.26,29.02
$HUM,292504.483,35.3,30.4
$BARO,292504.520,102192.89,29.02
$MAG,292504.526,0.063,-0.607,-0.462,27.6
$IMU,292504.551,-22.949,20.324,-19.775,-1.00976,-0.38818,0.19189,29.55
$BARO,292504.560,102176.83,29.02
$HUM,292504.564,35.2,30.4
$BARO,292504.600,102180.65,29.03
$MAG,292504.623,0.049,-0.597,-0.460,27.7
$IMU,292504.628,-1.159,4.516,-18.310,-0.97802,-0.32666,0.22021,29.53
$BARO,292504.640,102177.02,29.02
$HUM,292504.644,35.0,30.5
$BARO,292504.681,102180.65,29.03
$IMU,292504.704,16.357,-1.342,-26.062,-0.94238,-0.25634,0.24414,29.48
$MAG,292504.720,0.030,-0.595,-0.474,27.5
$BARO,292504.721,102188.11,29.03
$HUM,292504.724,35.1,30.4
$BARO,292504.761,102187.19,29.03
$IMU,292504.781,15.808,-2.563,-35.217,-0.91894,-0.28027,0.23486,29.56
$BARO,292504.801,102183.36,29.03
$HUM,292504.804,35.2,30.5
$MAG,292504.816,0.010,-0.586,-0.478,27.7
$BARO,292504.841,102180.73,29.03
$IMU,292504.857,8.544,-5.187,-27.832,-0.88769,-0.31591,0.23486,29.55
$VBAT,292504.863,3.797
$BARO,292504.882,102184.29,29.03
$HUM,292504.885,35.3,30.4
$MAG,292504.913,-0.013,-0.579,-0.481,27.6
$BARO,292504.922,102173.73,29.04
$IMU,292504.934,3.967,-4.882,-13.000,-0.94189,-0.30078,0.26367,29.57
$BARO,292504.962,102186.11,29.04
$HUM,292504.965,35.3,30.5
$BARO,292505.002,102177.36,29.04
$MAG,292505.010,-0.010,-0.597,-0.474,27.7
$IMU,292505.010,-7.446,-2.929,-6.958,-0.96142,-0.37304,0.26953,29.55
$BARO,292505.042,102181.21,29.04
$HUM,292505.045,35.2,30.5
$BARO,292505.083,102178.39,29.04
$IMU,292505.087,-18.798,-0.488,-0.305,-0.90039,-0.52490,0.29833,29.56
$MAG,292505.106,-0.015,-0.604,-0.472,27.6
$BARO,292505.123,102183.77,29.05
$HUM,292505.126,35.2,30.5
$BARO,292505.163,102180.19,29.04
$IMU,292505.163,-17.089,2.258,10.192,-0.71875,-0.56347,0.40087,29.55
$BARO,292505.203,102186.50,29.04
$MAG,292505.203,0.006,-0.624,-0.460,28.1
$HUM,292505.206,35.2,30.5
$IMU,292505.240,-2.685,11.047,23.498,-0.84863,-0.60009,0.26611,29.57
$BARO,292505.243,102179.92,29.05
$BARO,292505.284,102181.48,29.04
$HUM,292505.286,35.2,30.5
$MAG,292505.300,0.001,-0.639,-0.477,27.7
$IMU,292505.316,24.902,4.699,14.160,-0.99853,-0.37744,0.19677,29.53
$BARO,292505.324,102187.92,29.04
$BARO,292505.364,102196.47,29.05
