$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,047959c44abd02d930a2e933
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,309819.491,-1.892,0.732,-2.319,-0.11132,-0.07177,0.88281,19.93
$IMU,309819.567,-2.502,-2.502,-1.770,-0.23583,-0.07177,1.02587,19.96
$BARO,309819.581,100976.11,19.52
$MAG,309819.587,-0.246,-0.688,-0.667,17.8
$BARO,309819.621,100977.55,19.52
$HUM,309819.625,42.5,20.5
$IMU,309819.644,-4.638,-13.183,-1.037,-0.12548,-0.09863,1.01416,20.00
$BARO,309819.662,100974.19,19.52
$MAG,309819.683,-0.267,-0.697,-0.657,18.0
$BARO,309819.702,100972.48,19.53
$HUM,309819.706,42.6,20.5
$IMU,309819.720,-7.812,-16.662,-4.516,-0.04541,-0.14990,0.95947,19.96
$BARO,309819.742,100967.78,19.53
$MAG,309819.779,-0.270,-0.694,-0.661,18.0
$BARO,309819.783,100972.73,19.53
$HUM,309819.786,42.8,20.5
$IMU,309819.797,-0.488,-7.568,0.915,-0.04345,-0.09375,0.99365,19.97
$BARO,309819.823,100974.19,19.54
$BARO,309819.863,100971.60,19.54
$HUM,309819.866,42.7,20.5
$IMU,309819.873,-2.807,-0.610,-2.929,-0.07128,-0.11767,1.01269,20.04
$MAG,309819.875,-0.271,-0.688,-0.654,18.0
$BARO,309819.903,100977.16,19.54
$BARO,309819.944,100976.16,19.54
$HUM,309819.947,42.7,20.5
$IMU,309819.949,-2.624,2.380,-6.225,-0.08740,-0.16552,0.99707,20.00
$MAG,309819.971,-0.271,-0.688,-0.661,18.0
$BARO,309819.984,100974.58,19.54
$BARO,309820.024,100982.50,19.54
$IMU,309820.026,2.563,1.586,-3.967,-0.10644,-0.10009,1.01025,19.98
$HUM,309820.027,42.6,20.6
$BARO,309820.065,100976.43,19.54
$MAG,309820.067,-0.268,-0.688,-0.661,18.2
$IMU,309820.102,0.671,-0.854,-3.417,-0.08740,-0.10742,1.00146,20.05
$BARO,309820.105,100975.09,19.55
$HUM,309820.107,42.7,20.5
$BARO,309820.145,100979.06,19.55
$MAG,309820.163,-0.271,-0.685,-0.651,18.0
$IMU,309820.179,-0.061,-0.915,-2.319,-0.08593,-0.11474,0.99658,20.06
$BARO,309820.185,100974.31,19.55
$HUM,309820.188,42.7,20.6
$BARO,309820.226,100969.14,19.55
$IMU,309820.255,0.305,-0.183,-2.319,-0.09033,-0.11474,1.00781,20.05
$MAG,309820.258,-0.277,-0.691,-0.645,18.0
$BARO,309820.266,100975.29,19.55
$HUM,309820.268,42.8,20.5
$BARO,309820.306,100971.60,19.55
$IMU,309820.332,0.000,-0.732,-2.380,-0.08251,-0.12304,0.99707,20.07
$BARO,309820.346,100971.53,19.55
$HUM,309820.348,42.7,20.6
$MAG,309820.354,-0.285,-0.682,-0.661,18.0
$BARO,309820.387,100975.24,19.55
$IMU,309820.408,0.915,-1.037,-1.525,-0.07373,-0.10888,0.99902,20.10
$VBAT,309820.418,3.679
$BARO,309820.427,100974.16,19.55
$HUM,309820.429,42.8,20.6
$MAG,309820.450,-0.267,-0.694,-0.654,17.9
$BARO,309820.467,100971.46,19.56
$IMU,309820.485,-0.366,-0.305,-0.915,-0.07275,-0.10742,1.00292,20.05
$BARO,309820.507,100970.73,19.56
$HUM,309820.509,42.7,20.6
$MAG,309820.546,-0.271,-0.688,-0.654,17.9
$BARO,309820.548,100970.07,19.55
$IMU,309820.561,-2.014,-0.549,0.183,-0.08105,-0.12988,1.00000,20.06
$BARO,309820.588,100969.73,19.56
$HUM,309820.589,42.8,20.6
$BARO,309820.628,100973.70,19.56
$IMU,309820.637,-0.427,-1.098,-0.244,-0.06298,-0.11474,1.00585,20.07
$MAG,309820.642,-0.274,-0.684,-0.658,17.9
$BARO,309820.668,100969.53,19.56
$HUM,309820.670,42.8,20.6
$BARO,309820.709,100974.48,19.56
$IMU,309820.714,-0.061,0.244,-0.793,-0.06201,-0.11816,1.00195,20.08
$MAG,309820.738,-0.274,-0.687,-0.654,18.0
$BARO,309820.749,100969.34,19.56
$HUM,309820.750,42.7,20.6
$BARO,309820.789,100978.84,19.56
$IMU,309820.790,0.122,1.708,-1.770,-0.07031,-0.11816,1.00244,20.07
$BARO,309820.830,100982.43,19.56
$HUM,309820.830,42.8,20.6
$MAG,309820.834,-0.276,-0.693,-0.661,17.8
$IMU,309820.867,0.854,1.220,-1.098,-0.07910,-0.11621,1.00244,20.07
$BARO,309820.870,100967.95,19.56
