$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,f611617fbde30dfdd673b4c6
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,310965.728,-2.258,0.915,0.732,-0.06933,0.06298,0.98876,25.56
$IMU,310965.804,-3.295,-10.009,7.324,-0.01904,0.07275,1.04492,25.60
$BARO,310965.816,100952.54,25.28
$MAG,310965.822,-0.268,-0.606,-0.568,-77.1
$BARO,310965.857,100951.74,25.28
$HUM,310965.861,35.6,26.5
$IMU,310965.880,1.098,-13.122,0.305,0.04052,0.04394,1.02490,25.60
$BARO,310965.897,100947.01,25.29
$MAG,310965.919,-0.352,-0.784,-0.712,23.8
$BARO,310965.937,100950.01,25.29
$HUM,310965.941,35.8,26.5
$IMU,310965.957,9.643,-8.605,-6.530,0.05517,0.06494,0.99023,25.64
$BARO,310965.977,100947.06,25.29
$MAG,310966.015,-0.364,-0.796,-0.720,23.8
$BARO,310966.018,100952.47,25.29
$HUM,310966.021,35.8,26.5
$IMU,310966.033,15.380,-3.417,-9.765,0.07177,0.08300,0.97753,25.65
$BARO,310966.058,100956.15,25.30
$BARO,310966.098,100946.99,25.30
$HUM,310966.102,35.8,26.5
$IMU,310966.110,14.953,3.234,-15.625,0.09863,0.12939,0.94531,25.64
$MAG,310966.111,-0.352,-0.808,-0.723,24.0
$BARO,310966.138,100951.79,25.31
$BARO,310966.179,100953.20,25.30
$HUM,310966.182,35.6,26.6
$IMU,310966.186,9.643,14.404,-15.258,0.04980,0.15576,0.89208,25.62
$MAG,310966.208,-0.333,-0.820,-0.727,23.8
$BARO,310966.219,100951.01,25.30
$BARO,310966.259,100950.64,25.31
$HUM,310966.262,35.0,26.6
$IMU,310966.263,1.159,30.639,-17.761,-0.10449,0.10644,0.96289,25.69
$BARO,310966.299,100944.84,25.31
$MAG,310966.304,-0.322,-0.819,-0.736,24.0
$IMU,310966.339,1.892,22.644,-3.479,-0.18017,0.18115,1.05322,25.68
$BARO,310966.340,100945.23,25.31
$HUM,310966.343,34.7,26.6
$BARO,310966.380,100942.70,25.31
$MAG,310966.401,-0.310,-0.820,-0.726,23.8
$IMU,310966.416,-0.854,10.620,-3.479,-0.18554,0.19580,1.03759,25.68
$BARO,310966.420,100947.50,25.31
$HUM,310966.423,34.6,26.6
$BARO,310966.460,100943.50,25.31
$IMU,310966.492,-3.967,2.136,-5.065,-0.16943,0.14257,1.00830,25.69
$MAG,310966.497,-0.318,-0.811,-0.724,23.8
$BARO,310966.500,100948.11,25.31
$HUM,310966.503,34.6,26.5
$BARO,310966.541,100938.97,25.32
$IMU,310966.568,-2.563,-3.051,-4.699,-0.10205,0.14160,0.98632,25.68
$BARO,310966.581,100947.91,25.31
$HUM,310966.584,34.6,26.6
$MAG,310966.593,-0.316,-0.813,-0.732,23.8
$BARO,310966.621,100950.23,25.32
$IMU,310966.645,-1.281,1.098,-2.868,-0.12060,0.14013,0.98681,25.71
$VBAT,310966.651,3.661
$BARO,310966.661,100949.84,25.32
$HUM,310966.664,34.5,26.6
$MAG,310966.690,-0.321,-0.813,-0.732,23.8
$BARO,310966.702,100943.70,25.33
$IMU,310966.721,-2.807,0.915,-0.183,-0.12304,0.14746,0.99951,25.75
$BARO,310966.742,100949.96,25.33
$HUM,310966.744,34.6,26.6
$BARO,310966.782,100945.89,25.33
$MAG,310966.786,-0.318,-0.805,-0.730,23.9
$IMU,310966.798,-5.065,-0.427,0.915,-0.10449,0.11279,1.00097,25.72
$BARO,310966.822,100956.98,25.33
$HUM,310966.825,34.6,26.6
$BARO,310966.862,100935.68,25.33
$IMU,310966.874,-3.356,0.488,2.014,-0.11328,0.11376,1.00390,25.72
$MAG,310966.883,-0.313,-0.811,-0.726,23.9
$BARO,310966.903,100946.16,25.33
$HUM,310966.905,34.5,26.6
$BARO,310966.943,100948.69,25.33
$IMU,310966.951,-1.281,0.671,1.464,-0.10986,0.11425,1.00000,25.69
$MAG,310966.979,-0.306,-0.799,-0.726,23.9
$BARO,310966.983,100953.57,25.33
$HUM,310966.985,34.7,26.6
$BARO,310967.023,100949.16,25.33
$IMU,310967.027,-0.244,0.793,0.305,-0.10839,0.11181,1.00146,25.74
$BARO,310967.063,100954.71,25.33
$HUM,310967.066,34.4,26.6
$MAG,310967.075,-0.304,-0.798,-0.727,23.8
$IMU,310967.103,0.122,0.122,-0.488,-0.10644,0.10644,1.00048,25.69
$BARO,310967.104,100943.55,25.34
$BARO,310967.144,100952.01,25.34
$HUM,310967.146,34.5,26.6
