$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,92a9578eb099b885a6929a9e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,311851.159,4.882,2.014,0.732,-0.20556,-0.03271,0.91162,24.18
$IMU,311851.236,25.329,-6.591,5.981,-0.29980,-0.07763,0.97949,24.23
$BARO,311851.253,100926.78,23.83
$MAG,311851.259,-0.310,-0.732,-0.697,22.4
$BARO,311851.293,100927.29,23.82
$HUM,311851.297,35.0,24.9
$IMU,311851.312,30.090,-24.108,-8.605,-0.17431,-0.05957,0.99658,24.20
$BARO,311851.333,100919.98,23.83
$MAG,311851.355,-0.324,-0.772,-0.706,22.5
$BARO,311851.374,100912.84,23.83
$HUM,311851.378,36.2,24.9
$IMU,311851.389,30.517,-23.681,-7.934,-0.08349,0.06591,1.02685,24.22
$BARO,311851.414,100923.63,23.83
$MAG,311851.451,-0.328,-0.786,-0.709,22.5
$BARO,311851.454,100932.63,23.83
$HUM,311851.458,36.4,24.9
$IMU,311851.465,18.188,-11.169,-5.065,-0.08544,0.12353,1.01367,24.26
$BARO,311851.494,100930.87,23.84
$BARO,311851.535,100932.48,23.84
$HUM,311851.538,36.6,24.9
$IMU,311851.542,7.019,-4.272,-6.652,-0.05468,0.09667,0.98632,24.25
$MAG,311851.547,-0.346,-0.790,-0.706,22.5
$BARO,311851.575,100938.55,23.84
$BARO,311851.615,100924.88,23.84
$HUM,311851.618,36.7,24.9
$IMU,311851.618,4.272,-0.061,-5.615,-0.07275,0.09863,1.01025,24.27
$MAG,311851.644,-0.348,-0.799,-0.709,22.5
$BARO,311851.655,100936.33,23.84
$IMU,311851.694,1.586,0.305,-4.333,-0.07812,0.09521,1.00634,24.25
$BARO,311851.696,100934.14,23.84
$HUM,311851.699,36.7,25.0
$BARO,311851.736,100931.56,23.84
$MAG,311851.740,-0.342,-0.793,-0.702,22.5
$IMU,311851.771,-0.366,-0.671,-2.868,-0.08105,0.08496,0.99902,24.28
$BARO,311851.776,100933.02,23.85
$HUM,311851.779,36.8,25.0
$BARO,311851.816,100929.80,23.85
$MAG,311851.836,-0.352,-0.796,-0.714,22.5
$IMU,311851.847,-0.610,-1.281,-1.708,-0.06445,0.07080,1.00390,24.25
$BARO,311851.857,100928.02,23.85
$HUM,311851.859,36.8,25.0
$BARO,311851.897,100931.22,23.85
$IMU,311851.924,-0.549,-0.061,-1.708,-0.08544,0.07080,1.00048,24.31
$MAG,311851.932,-0.351,-0.787,-0.706,22.5
$BARO,311851.937,100931.41,23.85
$HUM,311851.940,36.7,25.0
$BARO,311851.977,100926.83,23.85
$IMU,311852.000,-0.915,-0.427,-2.990,-0.08349,0.06884,1.00000,24.32
$BARO,311852.017,100926.61,23.85
$HUM,311852.020,36.9,25.0
$MAG,311852.029,-0.355,-0.792,-0.711,22.5
$BARO,311852.058,100931.73,23.85
$IMU,311852.077,-1.464,-2.258,-2.014,-0.07421,0.06835,1.00878,24.32
$VBAT,311852.085,3.634
$BARO,311852.098,100918.47,23.85
$HUM,311852.100,36.9,25.0
$MAG,311852.125,-0.360,-0.787,-0.699,22.7
$BARO,311852.138,100927.07,23.85
$IMU,311852.153,-2.441,-2.624,0.183,-0.05664,0.05859,1.01513,24.30
$BARO,311852.178,100918.15,23.85
$HUM,311852.181,36.9,25.0
$BARO,311852.219,100926.27,23.85
$MAG,311852.221,-0.357,-0.781,-0.709,22.5
$IMU,311852.229,-0.915,0.305,-0.488,-0.07861,0.06787,1.00927,24.33
$BARO,311852.259,100928.53,23.86
$HUM,311852.261,36.9,25.0
$BARO,311852.299,100927.73,23.86
$IMU,311852.306,0.244,-0.366,-2.380,-0.06542,0.07275,1.00976,24.33
$MAG,311852.317,-0.361,-0.787,-0.705,22.5
$BARO,311852.339,100928.53,23.86
$HUM,311852.341,37.0,25.0
$BARO,311852.379,100927.92,23.86
$IMU,311852.382,-0.366,-0.305,-1.220,-0.05517,0.06494,1.01025,24.36
$MAG,311852.414,-0.360,-0.774,-0.712,22.5
$BARO,311852.420,100926.34,23.86
$HUM,311852.422,36.8,25.1
$IMU,311852.459,-0.305,1.037,-0.183,-0.07080,0.05517,1.00537,24.34
$BARO,311852.460,100928.19,23.86
$BARO,311852.500,100934.12,23.86
$HUM,311852.502,36.8,25.0
$MAG,311852.510,-0.355,-0.783,-0.712,22.5
$IMU,311852.535,0.610,-0.122,-0.305,-0.07177,0.07031,1.00976,24.33
$BARO,311852.540,100929.14,23.86
$BARO,311852.581,100931.73,23.86
