$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,9238ccf8570c6c2edaeacc59
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,312632.889,2.136,2.868,-1.708,0.22460,0.30566,0.84472,26.39
$IMU,312632.965,10.375,9.826,-4.882,0.09326,0.33251,0.91699,26.44
$BARO,312632.980,100866.69,25.91
$MAG,312632.986,-0.490,-0.928,-0.676,24.5
$BARO,312633.020,100860.75,25.91
$HUM,312633.024,32.0,27.1
$IMU,312633.042,9.643,7.080,-0.488,0.13525,0.32910,0.91845,26.42
$BARO,312633.060,100856.26,25.92
$MAG,312633.082,-0.490,-0.916,-0.676,24.7
$BARO,312633.100,100856.85,25.92
$HUM,312633.104,31.6,27.2
$IMU,312633.118,9.338,9.277,0.671,0.12158,0.36328,0.94482,26.44
$BARO,312633.141,100860.14,25.92
$MAG,312633.178,-0.480,-0.928,-0.676,24.5
$BARO,312633.181,100869.89,25.92
$HUM,312633.185,31.3,27.2
$IMU,312633.194,5.493,10.559,-2.258,0.11669,0.37304,0.94775,26.41
$BARO,312633.221,100868.55,25.93
$BARO,312633.261,100861.99,25.93
$HUM,312633.265,31.1,27.2
$IMU,312633.271,2.929,7.995,-0.488,0.12060,0.36132,0.93310,26.46
$MAG,312633.275,-0.468,-0.936,-0.679,24.7
$BARO,312633.302,100869.40,25.93
$BARO,312633.342,100863.18,25.93
$HUM,312633.345,37.3,27.2
$IMU,312633.347,3.967,7.568,-0.732,0.10449,0.37744,0.93505,26.47
$MAG,312633.371,-0.457,-0.937,-0.684,24.7
$BARO,312633.382,100867.60,25.93
$BARO,312633.422,100860.77,25.93
$IMU,312633.424,2.197,5.798,-0.427,0.06298,0.40966,0.95556,26.49
$HUM,312633.426,37.3,27.2
$BARO,312633.462,100861.38,25.93
$MAG,312633.468,-0.468,-0.931,-0.678,24.5
$IMU,312633.500,-1.586,1.525,-0.610,0.07031,0.38085,0.94824,26.45
$BARO,312633.503,100863.45,25.93
$HUM,312633.506,30.7,27.2
$BARO,312633.543,100863.92,25.94
$MAG,312633.564,-0.466,-0.922,-0.685,24.5
$IMU,312633.577,-2.197,-0.610,-1.037,0.09814,0.36132,0.93310,26.51
$BARO,312633.583,100856.16,25.93
$HUM,312633.586,32.9,27.2
$BARO,312633.623,100861.92,25.94
$IMU,312633.653,-0.610,1.464,-1.220,0.08447,0.36474,0.92675,26.50
$MAG,312633.661,-0.460,-0.936,-0.685,24.5
$BARO,312633.664,100867.94,25.94
$HUM,312633.667,33.5,27.3
$BARO,312633.704,100859.70,25.94
$IMU,312633.730,1.403,3.601,-3.112,0.09130,0.38037,0.93408,26.54
$BARO,312633.744,100866.52,25.94
$HUM,312633.747,30.3,27.2
$MAG,312633.757,-0.456,-0.940,-0.690,24.7
$BARO,312633.784,100856.41,25.95
$IMU,312633.806,0.854,4.699,-1.708,0.08251,0.38720,0.94873,26.51
$VBAT,312633.812,3.613
$BARO,312633.824,100860.97,25.94
$HUM,312633.827,33.8,27.3
$MAG,312633.854,-0.453,-0.933,-0.681,24.7
$BARO,312633.865,100866.45,25.95
$IMU,312633.882,-1.281,3.906,-1.708,0.04589,0.35742,0.93945,26.55
$BARO,312633.905,100868.79,25.95
$HUM,312633.908,35.7,27.3
$BARO,312633.945,100856.41,25.95
$MAG,312633.950,-0.447,-0.934,-0.679,24.7
$IMU,312633.959,0.488,-0.366,-1.342,0.06298,0.38964,0.95458,26.53
$BARO,312633.985,100859.36,25.95
$HUM,312633.988,34.5,27.3
$BARO,312634.026,100866.04,25.95
$IMU,312634.035,-0.976,-1.586,-0.366,0.07617,0.36181,0.93554,26.53
$MAG,312634.046,-0.457,-0.931,-0.691,24.5
$BARO,312634.066,100866.72,25.95
$HUM,312634.069,33.4,27.2
$BARO,312634.106,100860.02,25.95
$IMU,312634.112,0.610,-0.244,-1.159,0.06640,0.38476,0.93603,26.55
$MAG,312634.143,-0.459,-0.931,-0.681,24.7
$BARO,312634.146,100874.32,25.95
$HUM,312634.149,31.1,27.3
$BARO,312634.186,100864.35,25.96
$IMU,312634.188,0.427,0.610,-1.647,0.08300,0.37011,0.93945,26.55
$BARO,312634.227,100862.89,25.96
$HUM,312634.229,30.3,27.3
$MAG,312634.239,-0.459,-0.937,-0.678,24.5
$IMU,312634.265,1.098,1.525,-1.953,0.06152,0.34277,0.91845,26.52
$BARO,312634.267,100867.52,25.95
$BARO,312634.307,100859.89,25.96
$HUM,312634.310,30.3,27.3
