$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,fa7470fbcf5fc1122f2c7e7a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,22925.706,-1.464,3.234,-3.112,0.08447,0.14746,0.91308,18.15
$IMU,22925.782,0.915,12.451,-7.873,0.00292,0.09716,0.93847,18.18
$BARO,22925.797,101914.41,17.81
$MAG,22925.802,-0.117,-0.874,-0.595,16.3
$BARO,22925.837,101922.18,17.81
$HUM,22925.841,71.2,18.7
$IMU,22925.859,6.958,7.629,-7.934,0.03759,0.20458,1.05078,18.19
$BARO,22925.877,101913.70,17.81
$MAG,22925.898,-0.129,-0.883,-0.585,16.0
$BARO,22925.918,101907.36,17.81
$HUM,22925.921,71.1,18.8
$IMU,22925.935,4.516,3.417,-1.953,0.05322,0.08105,0.92773,18.22
$BARO,22925.958,101909.48,17.82
$MAG,22925.994,-0.115,-0.903,-0.586,16.3
$BARO,22925.998,101915.94,17.82
$HUM,22926.002,71.0,18.7
$IMU,22926.011,17.028,6.591,0.549,0.03515,0.20068,0.98095,18.21
$BARO,22926.038,101916.28,17.83
$BARO,22926.079,101918.45,17.83
$HUM,22926.082,71.1,18.8
$IMU,22926.088,10.437,9.338,-0.244,-0.04296,0.22119,1.03906,18.22
$MAG,22926.090,-0.109,-0.891,-0.586,16.3
$BARO,22926.119,101915.77,17.83
$BARO,22926.159,101917.33,17.83
$HUM,22926.162,71.2,18.8
$IMU,22926.164,4.394,7.507,-6.225,-0.04785,0.15625,0.98583,18.26
$MAG,22926.185,-0.109,-0.901,-0.583,16.2
$BARO,22926.200,101921.30,17.84
$BARO,22926.240,101916.82,17.84
$IMU,22926.241,7.202,8.300,-8.239,-0.05322,0.28173,1.12304,18.27
$HUM,22926.243,71.1,18.8
$BARO,22926.280,101921.55,17.84
$MAG,22926.281,-0.091,-0.892,-0.577,16.2
$IMU,22926.317,-5.615,7.629,-8.911,-0.11816,0.14257,0.97558,18.25
$BARO,22926.320,101922.16,17.84
$HUM,22926.323,71.2,18.8
$BARO,22926.361,101910.09,17.84
$MAG,22926.377,-0.099,-0.894,-0.577,16.2
$IMU,22926.394,6.225,1.159,-7.629,-0.09082,0.19140,0.96289,18.27
$BARO,22926.401,101917.21,17.84
$HUM,22926.403,71.1,18.8
$BARO,22926.441,101922.81,17.84
$IMU,22926.470,13.671,-1.953,-4.943,-0.03808,0.22363,0.92333,18.25
$MAG,22926.473,-0.100,-0.919,-0.576,16.3
$BARO,22926.481,101915.82,17.84
$HUM,22926.484,71.1,18.8
$BARO,22926.522,101914.99,17.85
$IMU,22926.546,9.826,1.525,0.183,-0.06005,0.25341,0.96435,18.26
$BARO,22926.562,101916.89,17.84
$HUM,22926.564,71.1,18.8
$MAG,22926.568,-0.102,-0.915,-0.564,16.3
$BARO,22926.602,101915.45,17.85
$IMU,22926.623,0.732,5.737,0.183,-0.02001,0.20312,0.93457,18.29
$VBAT,22926.630,4.114
$BARO,22926.642,101916.38,17.85
$HUM,22926.644,71.1,18.9
$MAG,22926.664,-0.097,-0.916,-0.576,16.3
$BARO,22926.683,101917.62,17.85
$IMU,22926.699,1.831,14.953,1.098,-0.00195,0.29833,0.95068,18.29
$BARO,22926.723,101908.14,17.85
$HUM,22926.725,71.0,18.9
$MAG,22926.760,-0.072,-0.915,-0.558,16.3
$BARO,22926.763,101916.70,17.86
$IMU,22926.776,-6.347,34.301,14.953,-0.08593,0.35107,0.95263,18.29
$BARO,22926.804,101921.18,17.85
$HUM,22926.805,71.0,18.9
$BARO,22926.844,101913.75,17.86
$IMU,22926.852,-15.380,44.311,34.484,-0.29589,0.30761,0.96289,18.27
$MAG,22926.855,-0.066,-0.918,-0.540,16.3
$BARO,22926.884,101915.72,17.86
$HUM,22926.885,71.0,18.9
$BARO,22926.924,101914.53,17.86
$IMU,22926.929,-12.207,16.967,46.081,-0.35498,0.25390,0.93554,18.31
$MAG,22926.951,-0.070,-0.913,-0.546,16.2
$BARO,22926.965,101915.14,17.86
$HUM,22926.966,70.9,18.9
$BARO,22927.005,101916.50,17.86
$IMU,22927.005,-13.061,-7.080,29.663,-0.20166,0.19189,0.98974,18.29
$BARO,22927.045,101920.60,17.85
$HUM,22927.046,70.9,18.9
$MAG,22927.047,-0.075,-0.906,-0.553,16.3
$IMU,22927.081,-18.798,-10.192,5.432,-0.18798,0.05615,1.00000,18.30
$BARO,22927.085,101920.06,17.86
$BARO,22927.126,101919.09,17.86
$HUM,22927.126,70.8,18.9
