time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2022-06-23T19:39:17.00Z,56.1832970,9.0420040,-69.026,4.34,-0.29,1.02,626.760,345.689,164.45,0.00000,180.00000,3,4
2022-06-23T19:39:18.00Z,56.1830554,9.0420187,-30.891,-0.02,-1.05,-3.99,309.477,184.010,49.72,0.00000,180.00000,3,4
2022-06-23T19:39:18.20Z,56.1829805,9.0420982,-9.861,-0.10,-1.75,-0.92,87.018,99.951,3.55,0.00000,64.92862,3,6
2022-06-23T19:39:18.40Z,56.1829808,9.0421507,2.066,0.37,-1.55,-0.51,54.674,79.097,1.67,307.21800,43.68492,3,7
2022-06-23T19:39:18.60Z,56.1829878,9.0421834,9.294,-0.14,-1.34,0.33,38.608,63.235,1.31,285.42872,43.32618,3,8
2022-06-23T19:39:18.80Z,56.1829952,9.0421816,14.105,0.80,-1.55,-0.20,29.434,52.835,1.10,293.35400,30.91631,3,8
2022-06-23T19:39:19.00Z,56.1829904,9.0422051,18.209,-0.41,-0.91,-0.75,23.226,44.910,1.33,293.35400,30.92018,3,8
2022-06-23T19:39:19.20Z,56.1829948,9.0422102,21.219,-0.67,-1.23,-0.97,19.029,39.034,1.06,270.85146,35.31202,3,8
2022-06-23T19:39:19.40Z,56.1829977,9.0422527,27.603,-0.21,-0.79,-0.86,15.734,33.594,1.11,270.85146,35.31505,3,10
2022-06-23T19:39:19.60Z,56.1830222,9.0422389,30.138,0.08,-0.55,-0.31,13.766,29.131,0.72,270.85146,35.31688,3,10
2022-06-23T19:39:19.80Z,56.1830373,9.0422332,31.512,-0.43,-0.73,0.00,12.289,25.231,0.63,270.85146,35.31905,3,11
2022-06-23T19:39:20.00Z,56.1830435,9.0422476,33.157,0.21,-0.67,-0.60,10.064,22.224,0.72,270.85146,35.32141,3,12
2022-06-23T19:39:20.20Z,56.1830482,9.0422509,34.789,0.51,-0.72,-0.05,8.564,18.597,0.49,291.45850,28.86633,3,12
2022-06-23T19:39:20.40Z,56.1830602,9.0422617,36.135,0.40,-0.84,0.71,7.497,16.041,0.55,293.60528,25.67023,3,10
2022-06-23T19:39:20.60Z,56.1830679,9.0422654,36.792,-0.06,-0.50,-0.11,6.636,14.080,0.34,293.60528,25.67203,3,10
2022-06-23T19:39:20.80Z,56.1830689,9.0422540,43.226,0.14,-0.89,0.38,5.916,11.735,0.39,285.84982,24.68194,3,13
2022-06-23T19:39:21.00Z,56.1830704,9.0422409,49.123,0.44,-0.73,-0.02,5.649,10.818,0.39,296.07676,17.32419,3,13
2022-06-23T19:39:21.20Z,56.1830732,9.0422311,53.784,0.61,-1.00,-0.15,6.240,11.794,0.35,299.86384,10.38353,3,16
2022-06-23T19:39:21.40Z,56.1830789,9.0422204,55.044,0.37,-0.76,-0.23,6.613,11.827,0.34,298.53916,14.54062,3,15
2022-06-23T19:39:21.60Z,56.1830841,9.0422090,58.186,0.01,-1.04,-0.33,7.008,12.439,0.27,285.11950,15.10466,3,16
