$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,82f9fcedd1116727c622acef
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,116531.448,-7.507,15.136,2.807,-0.01953,-0.16064,1.02246,14.93
$IMU,116531.524,-30.090,39.550,1.464,-0.30957,-0.30029,1.10400,14.95
$BARO,116531.538,101014.55,14.65
$MAG,116531.544,-0.474,-0.301,-0.148,12.7
$BARO,116531.579,101016.55,14.66
$HUM,116531.582,79.3,15.4
$IMU,116531.601,-23.315,19.531,8.972,-0.11865,-0.38427,0.92333,14.99
$BARO,116531.619,101018.40,14.66
$MAG,116531.640,-0.445,-0.291,-0.157,12.8
$BARO,116531.659,101011.14,14.66
$HUM,116531.663,79.3,15.4
$IMU,116531.677,-1.647,21.728,21.362,-0.32763,-0.33935,0.68554,14.92
$BARO,116531.699,101020.04,14.66
$MAG,116531.735,-0.448,-0.328,-0.154,12.7
$BARO,116531.740,101014.72,14.66
$HUM,116531.743,79.2,15.4
$IMU,116531.754,31.311,9.033,-6.469,0.00341,-0.13427,0.69531,14.97
$BARO,116531.780,101028.35,14.67
$BARO,116531.820,101025.28,14.67
$HUM,116531.823,79.2,15.4
$IMU,116531.830,50.292,34.606,-14.465,-0.05078,0.26562,0.92578,15.00
$MAG,116531.831,-0.409,-0.376,-0.165,12.8
$BARO,116531.861,101016.97,14.67
$BARO,116531.901,101018.92,14.67
$HUM,116531.904,79.0,15.4
$IMU,116531.906,27.587,20.751,-14.343,-0.65039,0.21240,1.32177,14.97
$MAG,116531.926,-0.459,-0.379,-0.159,12.7
$BARO,116531.941,101021.74,14.68
$BARO,116531.982,101015.46,14.67
$IMU,116531.983,-16.601,-34.729,-47.485,0.09472,-0.17187,1.22363,14.98
$HUM,116531.984,79.2,15.4
$BARO,116532.022,101018.48,14.68
$MAG,116532.022,-0.474,-0.361,-0.153,13.0
$IMU,116532.059,-14.953,-5.676,-33.447,-0.03955,-0.34521,1.20996,15.04
$BARO,116532.062,101026.38,14.68
$HUM,116532.064,79.2,15.4
$BARO,116532.102,101021.09,14.68
$MAG,116532.118,-0.477,-0.352,-0.165,12.7
$IMU,116532.136,-2.685,7.751,-22.888,-0.13232,-0.25927,1.01367,15.02
$BARO,116532.143,101017.60,14.68
$HUM,116532.145,79.2,15.4
$BARO,116532.183,101019.18,14.69
$IMU,116532.212,1.220,-5.859,-12.145,-0.03710,-0.14453,0.73681,15.04
$MAG,116532.213,-0.487,-0.366,-0.142,12.9
$BARO,116532.223,101016.75,14.68
$HUM,116532.225,79.1,15.4
$BARO,116532.264,101012.70,14.69
$IMU,116532.289,8.117,-3.540,-9.033,-0.05908,0.01269,0.67773,15.05
$BARO,116532.304,101015.38,14.69
$HUM,116532.305,79.1,15.5
$MAG,116532.309,-0.477,-0.390,-0.156,12.9
$BARO,116532.344,101016.43,14.69
$IMU,116532.365,14.282,-0.061,-11.596,-0.11230,0.11181,0.87304,15.04
$VBAT,116532.372,4.159
$BARO,116532.384,101008.31,14.69
$HUM,116532.386,79.2,15.4
$MAG,116532.404,-0.477,-0.409,-0.163,12.9
$BARO,116532.425,101015.31,14.69
$IMU,116532.441,15.197,2.563,-9.948,-0.14453,0.01660,1.09472,15.03
$BARO,116532.465,101014.14,14.70
$HUM,116532.466,79.1,15.4
$MAG,116532.500,-0.478,-0.432,-0.159,12.9
$BARO,116532.505,101009.02,14.69
$IMU,116532.518,15.197,6.835,-12.023,-0.34277,0.02832,1.18261,15.08
$BARO,116532.546,101012.55,14.69
$HUM,116532.546,79.2,15.4
$BARO,116532.586,101011.19,14.69
$IMU,116532.594,-5.371,-21.423,-10.253,-0.18994,-0.13476,1.14697,15.04
$MAG,116532.596,-0.493,-0.406,-0.145,12.9
$BARO,116532.626,101018.92,14.70
$HUM,116532.627,79.3,15.4
$BARO,116532.667,101021.21,14.69
$IMU,116532.671,-8.117,-46.020,-2.197,0.11669,-0.25292,1.00878,15.05
$MAG,116532.691,-0.523,-0.379,-0.148,13.0
$BARO,116532.707,101016.28,14.69
$HUM,116532.707,79.2,15.4
$BARO,116532.747,101023.55,14.70
$IMU,116532.747,-2.258,-24.536,7.202,0.07666,-0.13867,0.93750,15.04
$BARO,116532.787,101017.28,14.69
$HUM,116532.787,79.3,15.5
$MAG,116532.787,-0.526,-0.375,-0.154,12.9
$IMU,116532.823,-2.624,-9.216,19.714,-0.02490,-0.10595,0.78369,15.08
$BARO,116532.828,101019.62,14.70
$BARO,116532.868,101019.31,14.70
