$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,d33730e5b23c664da4db9afb
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,118550.429,-7.202,3.540,-9.826,0.18066,0.24218,1.04638,12.38
$IMU,118550.505,-34.790,3.479,-28.747,0.28173,0.16552,1.00244,12.44
$BARO,118550.518,101373.57,12.19
$MAG,118550.524,-0.171,-0.520,-0.133,10.2
$BARO,118550.559,101384.88,12.19
$HUM,118550.563,88.4,11.4
$IMU,118550.581,-36.499,11.047,-20.874,0.23974,0.00000,0.81054,12.47
$BARO,118550.599,101376.67,12.19
$MAG,118550.619,-0.150,-0.496,-0.127,10.2
$BARO,118550.639,101376.13,12.20
$HUM,118550.643,88.6,12.7
$IMU,118550.658,-13.427,31.372,-11.596,0.08154,-0.03662,0.89892,12.45
$BARO,118550.680,101385.66,12.20
$MAG,118550.715,-0.136,-0.502,-0.102,10.3
$BARO,118550.720,101382.08,12.20
$HUM,118550.723,88.5,12.8
$IMU,118550.734,14.526,29.846,10.742,-0.20556,-0.19189,0.81396,12.46
$BARO,118550.760,101381.10,12.20
$BARO,118550.801,101382.93,12.21
$HUM,118550.803,88.5,12.8
$MAG,118550.810,-0.156,-0.475,-0.106,10.2
$IMU,118550.811,10.009,-9.277,-26.123,-0.02734,-0.20507,0.79736,12.50
$BARO,118550.841,101377.77,12.21
$BARO,118550.881,101379.74,12.20
$HUM,118550.884,88.6,12.8
$IMU,118550.887,-3.051,-26.550,-21.789,-0.02294,-0.06347,1.04980,12.47
$MAG,118550.906,-0.183,-0.460,-0.124,10.2
$BARO,118550.922,101377.91,12.21
$BARO,118550.962,101379.59,12.21
$HUM,118550.964,88.5,12.8
$IMU,118550.964,-10.009,-41.381,10.070,0.60742,-0.04785,1.05761,12.53
$MAG,118551.001,-0.174,-0.471,-0.121,10.3
$BARO,118551.003,101375.77,12.21
$IMU,118551.040,-12.756,30.456,43.395,0.41601,-0.11962,1.26220,12.49
$BARO,118551.043,101376.16,12.21
$HUM,118551.044,88.6,12.9
$BARO,118551.083,101372.43,12.22
$MAG,118551.097,-0.126,-0.456,-0.085,10.0
$IMU,118551.116,-33.691,56.945,31.860,-0.28808,-0.24853,1.17968,12.52
$BARO,118551.124,101368.65,12.21
$HUM,118551.125,88.5,12.8
$BARO,118551.164,101386.39,12.22
$MAG,118551.192,-0.133,-0.430,-0.084,9.9
$IMU,118551.193,-31.494,24.841,-15.075,0.03222,-0.45507,1.05664,12.53
$BARO,118551.204,101381.10,12.22
$HUM,118551.205,88.5,12.8
$BARO,118551.245,101366.14,12.22
$IMU,118551.269,5.187,9.033,-15.747,-0.03564,-0.27832,0.95996,12.56
$BARO,118551.285,101370.94,12.22
$HUM,118551.285,88.6,12.8
$MAG,118551.288,-0.121,-0.444,-0.079,10.3
$BARO,118551.325,101367.11,12.22
$IMU,118551.346,22.216,-2.990,-2.136,0.02783,-0.14453,0.84472,12.56
$VBAT,118551.359,4.137
$BARO,118551.366,101366.14,12.22
$HUM,118551.366,88.6,12.8
$MAG,118551.383,-0.123,-0.454,-0.064,10.3
$BARO,118551.406,101377.67,12.22
$IMU,118551.422,18.188,10.009,-2.197,0.09179,-0.28710,0.83886,12.53
$BARO,118551.446,101377.13,12.23
$HUM,118551.446,88.6,12.9
$MAG,118551.478,-0.100,-0.468,-0.061,10.4
$BARO,118551.487,101370.09,12.23
$IMU,118551.498,34.423,33.691,-24.169,-0.01025,0.01855,1.04394,12.54
$HUM,118551.526,88.6,12.9
$BARO,118551.527,101380.86,12.23
$BARO,118551.567,101362.80,12.22
$MAG,118551.574,-0.073,-0.478,-0.036,10.0
$IMU,118551.575,19.653,35.583,-15.930,-0.25390,0.20605,1.12646,12.56
$HUM,118551.607,88.6,12.8
$BARO,118551.608,101372.52,12.23
$BARO,118551.648,101368.33,12.23
$IMU,118551.651,-26.916,6.591,-13.916,-0.19824,0.11669,1.05468,12.54
$MAG,118551.669,-0.088,-0.424,-0.048,10.4
$HUM,118551.687,88.7,12.9
$BARO,118551.688,101375.77,12.23
$IMU,118551.728,-72.143,-8.728,-7.507,-0.07568,-0.26269,1.07861,12.54
$BARO,118551.729,101381.91,12.23
$MAG,118551.765,-0.084,-0.375,-0.039,10.3
$HUM,118551.767,88.5,12.8
$BARO,118551.769,101384.44,12.23
$IMU,118551.804,-77.087,-2.014,-11.169,-0.18115,-0.67968,0.98974,12.55
$BARO,118551.809,101375.64,12.23
$HUM,118551.848,88.7,12.9
