$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,a0695beb3295982e60592f10
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,119806.859,-0.549,15.441,-8.483,0.20849,0.11816,0.86279,17.01
$IMU,119806.935,-9.094,28.320,-17.395,-0.23876,0.32958,1.18457,17.04
$BARO,119806.948,101329.19,16.67
$MAG,119806.953,-0.174,-0.441,-0.225,14.9
$BARO,119806.988,101324.92,16.67
$HUM,119806.992,82.4,17.4
$IMU,119807.012,-22.644,-8.483,5.371,0.21630,-0.22412,0.99462,17.11
$BARO,119807.028,101328.75,16.68
$MAG,119807.049,-0.159,-0.444,-0.231,14.9
$BARO,119807.069,101327.16,16.67
$HUM,119807.072,82.4,17.4
$IMU,119807.088,13.549,5.798,16.540,-0.16552,-0.08007,0.92578,17.05
$BARO,119807.109,101331.16,16.68
$MAG,119807.145,-0.181,-0.486,-0.240,14.9
$BARO,119807.149,101326.70,16.68
$HUM,119807.153,82.3,17.4
$IMU,119807.164,46.997,-14.160,-10.681,0.16308,0.27929,0.84423,17.11
$BARO,119807.189,101327.70,16.69
$BARO,119807.230,101327.97,16.69
$HUM,119807.233,82.4,17.5
$MAG,119807.241,-0.154,-0.489,-0.222,15.0
$IMU,119807.241,20.751,4.211,-11.657,0.20507,0.50000,0.99951,17.10
$BARO,119807.270,101324.60,16.69
$BARO,119807.310,101330.14,16.69
$HUM,119807.313,82.3,17.5
$IMU,119807.317,-16.113,14.343,8.972,-0.13476,0.21240,1.12744,17.06
$MAG,119807.336,-0.163,-0.462,-0.219,15.0
$BARO,119807.351,101318.02,16.70
$BARO,119807.391,101328.55,16.69
$HUM,119807.393,82.3,17.5
$IMU,119807.394,-20.324,-4.943,-13.061,0.12158,0.01123,0.99169,17.10
$BARO,119807.431,101334.72,16.69
$MAG,119807.432,-0.163,-0.468,-0.226,14.9
$IMU,119807.470,8.544,-1.647,-5.615,0.07519,0.13671,0.99316,17.10
$BARO,119807.472,101330.97,16.70
$HUM,119807.474,82.3,17.5
$BARO,119807.512,101323.36,16.70
$MAG,119807.528,-0.168,-0.468,-0.216,14.8
$IMU,119807.547,11.718,2.136,-2.258,0.06640,0.22265,1.00488,17.13
$BARO,119807.552,101330.19,16.70
$HUM,119807.554,82.2,17.5
$BARO,119807.592,101328.48,16.70
$IMU,119807.623,0.915,6.164,1.525,0.08496,0.16943,0.94824,17.12
$MAG,119807.624,-0.160,-0.471,-0.216,15.0
$BARO,119807.633,101331.72,16.70
$HUM,119807.634,82.3,17.5
$BARO,119807.673,101323.24,16.70
$IMU,119807.699,-5.981,8.850,4.028,-0.00781,0.19189,0.99902,17.15
$BARO,119807.713,101330.33,16.70
$HUM,119807.715,82.3,17.5
$MAG,119807.719,-0.147,-0.468,-0.207,15.0
$BARO,119807.753,101326.38,16.71
$IMU,119807.776,-11.413,4.943,2.014,0.01953,0.15478,1.02050,17.15
$VBAT,119807.786,4.105
$BARO,119807.794,101328.75,16.70
$HUM,119807.795,82.3,17.5
$MAG,119807.815,-0.148,-0.453,-0.205,15.0
$BARO,119807.834,101331.18,16.71
$IMU,119807.852,-10.070,1.586,2.075,0.03808,0.03222,1.01611,17.16
$BARO,119807.874,101322.39,16.71
$HUM,119807.875,82.2,17.5
$MAG,119807.911,-0.147,-0.460,-0.217,15.2
$BARO,119807.915,101329.48,16.71
$IMU,119807.929,6.958,0.915,2.258,0.03417,0.11279,0.99023,17.13
$BARO,119807.955,101327.43,16.71
$HUM,119807.955,82.3,17.5
$BARO,119807.995,101326.11,16.71
$IMU,119808.005,12.939,-0.061,0.854,0.01855,0.20556,1.01025,17.15
$MAG,119808.007,-0.139,-0.468,-0.210,15.0
$BARO,119808.035,101320.02,16.71
$HUM,119808.036,82.4,17.6
$BARO,119808.076,101327.19,16.72
$IMU,119808.082,4.272,3.845,0.915,0.02441,0.15283,0.98828,17.17
$MAG,119808.102,-0.139,-0.481,-0.199,15.0
$BARO,119808.116,101317.63,16.71
$HUM,119808.116,82.3,17.6
$BARO,119808.156,101338.74,16.72
$IMU,119808.158,5.798,4.943,-4.394,-0.01464,0.20312,1.02832,17.14
$HUM,119808.196,82.3,17.6
$BARO,119808.197,101331.45,16.72
$MAG,119808.198,-0.139,-0.483,-0.205,15.0
$IMU,119808.234,5.004,-0.366,-1.403,0.05468,0.21240,0.99462,17.19
$BARO,119808.237,101327.58,16.72
$BARO,119808.277,101334.09,16.72
$HUM,119808.277,82.3,17.6
