$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,99b69b6f984fe5f5a7f33a4a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,120824.326,-1.342,2.014,-2.075,-0.05126,0.19433,0.92919,24.18
$IMU,120824.403,-1.037,2.014,-4.150,-0.06054,0.20166,0.98583,24.20
$BARO,120824.418,101260.98,24.25
$MAG,120824.424,-0.541,-0.678,-0.172,22.5
$BARO,120824.459,101264.98,24.25
$HUM,120824.463,65.3,25.3
$IMU,120824.479,0.488,0.366,-0.793,-0.05419,0.20654,0.98681,24.24
$BARO,120824.499,101254.04,24.26
$MAG,120824.521,-0.535,-0.673,-0.165,22.7
$BARO,120824.539,101257.11,24.26
$HUM,120824.543,65.3,25.3
$IMU,120824.556,0.732,0.244,-0.915,-0.06542,0.21533,0.98925,24.22
$BARO,120824.579,101257.79,24.27
$MAG,120824.617,-0.547,-0.670,-0.168,22.7
$BARO,120824.620,101249.58,24.27
$HUM,120824.623,65.1,25.3
$IMU,120824.632,0.061,0.915,-0.671,-0.03906,0.21630,0.99023,24.27
$BARO,120824.660,101263.64,24.27
$BARO,120824.700,101261.30,24.28
$HUM,120824.704,65.3,25.4
$IMU,120824.709,-0.427,1.098,-1.342,-0.05224,0.20751,0.98486,24.29
$MAG,120824.713,-0.543,-0.678,-0.168,22.7
$BARO,120824.740,101250.84,24.27
$BARO,120824.781,101259.52,24.28
$HUM,120824.784,65.4,25.3
$IMU,120824.785,-0.122,1.342,-2.136,-0.06250,0.24267,0.98046,24.28
$MAG,120824.810,-0.549,-0.667,-0.168,22.5
$BARO,120824.821,101258.91,24.28
$BARO,120824.861,101252.77,24.28
$IMU,120824.862,-1.342,2.563,-0.183,-0.05126,0.21435,0.98730,24.27
$HUM,120824.864,65.3,25.4
$BARO,120824.901,101253.92,24.28
$MAG,120824.906,-0.549,-0.660,-0.177,22.7
$IMU,120824.938,-0.244,7.507,9.582,-0.12304,0.18896,0.99316,24.28
$BARO,120824.942,101248.70,24.28
$HUM,120824.944,65.3,25.4
$BARO,120824.982,101262.64,24.29
$MAG,120825.002,-0.534,-0.667,-0.168,22.7
$IMU,120825.014,5.249,12.878,20.446,-0.06494,0.15039,0.97070,24.30
$BARO,120825.022,101258.16,24.28
$HUM,120825.025,65.3,25.3
$BARO,120825.062,101266.44,24.29
$IMU,120825.091,8.056,14.831,23.681,-0.11181,0.26904,0.98925,24.32
$MAG,120825.099,-0.535,-0.657,-0.174,22.5
$BARO,120825.102,101256.43,24.29
$HUM,120825.105,65.4,25.5
$BARO,120825.143,101254.70,24.29
$IMU,120825.167,-0.732,14.770,20.446,-0.07080,0.24755,0.99072,24.31
$BARO,120825.183,101257.23,24.29
$HUM,120825.185,65.2,25.5
$MAG,120825.195,-0.532,-0.649,-0.178,22.7
$BARO,120825.223,101259.11,24.29
$IMU,120825.244,-2.197,13.366,11.718,-0.14208,0.15576,0.98193,24.28
$VBAT,120825.250,4.059
$BARO,120825.263,101256.69,24.29
$HUM,120825.266,65.2,25.4
$MAG,120825.292,-0.522,-0.643,-0.165,22.8
$BARO,120825.304,101254.96,24.30
$IMU,120825.320,8.056,0.061,0.000,-0.10449,0.25878,0.97509,24.27
$BARO,120825.344,101255.43,24.30
$HUM,120825.346,65.3,25.5
$BARO,120825.384,101255.77,24.30
$MAG,120825.388,-0.531,-0.649,-0.163,22.7
$IMU,120825.397,6.774,-6.469,-6.103,-0.11425,0.31640,0.96533,24.32
$BARO,120825.424,101249.97,24.29
$HUM,120825.426,65.3,25.5
$BARO,120825.464,101252.16,24.30
$IMU,120825.473,-1.770,-5.004,-6.530,-0.14990,0.24853,0.97021,24.31
$MAG,120825.484,-0.528,-0.643,-0.174,22.7
$BARO,120825.505,101246.63,24.30
$HUM,120825.507,65.3,25.5
$BARO,120825.545,101254.23,24.30
$IMU,120825.549,-1.953,-2.746,-0.854,-0.07421,0.21093,0.99511,24.34
$MAG,120825.581,-0.517,-0.642,-0.169,22.5
$BARO,120825.585,101261.84,24.30
$HUM,120825.587,65.4,25.5
$BARO,120825.625,101248.63,24.30
$IMU,120825.626,2.441,-0.915,0.854,-0.11083,0.26904,0.96728,24.36
$BARO,120825.665,101254.70,24.31
$HUM,120825.667,65.2,25.5
$MAG,120825.677,-0.525,-0.637,-0.165,22.7
$IMU,120825.702,0.549,-2.197,-1.037,-0.08740,0.25830,0.97314,24.38
$BARO,120825.706,101246.70,24.31
$BARO,120825.746,101253.89,24.31
