$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,424ecd26150e70ab2605f39a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,123465.297,-1.281,2.990,-19.287,0.16992,-0.11767,0.82568,15.58
$IMU,123465.373,7.080,15.930,-68.725,-0.03320,-0.04541,0.93603,15.63
$BARO,123465.387,101769.84,15.36
$MAG,123465.393,-0.502,-0.328,-0.169,13.4
$BARO,123465.427,101776.78,15.36
$HUM,123465.431,89.4,16.1
$IMU,123465.450,6.896,18.737,-56.945,0.08691,-0.02929,0.98876,15.62
$BARO,123465.468,101770.81,15.36
$MAG,123465.488,-0.501,-0.343,-0.165,13.4
$BARO,123465.508,101779.03,15.37
$HUM,123465.511,89.3,16.2
$IMU,123465.526,-7.507,15.258,-46.569,-0.08935,-0.07568,1.00000,15.65
$BARO,123465.548,101771.54,15.37
$MAG,123465.584,-0.510,-0.328,-0.151,13.5
$BARO,123465.588,101778.71,15.37
$HUM,123465.592,89.4,16.2
$IMU,123465.603,-16.235,1.464,-52.673,0.00683,-0.09179,1.04345,15.70
$BARO,123465.629,101782.44,15.37
$BARO,123465.669,101777.20,15.38
$HUM,123465.672,89.3,16.2
$IMU,123465.679,-17.822,-6.286,-43.884,0.06445,-0.12451,1.02978,15.72
$MAG,123465.680,-0.535,-0.319,-0.156,13.5
$BARO,123465.709,101777.91,15.37
$BARO,123465.750,101769.98,15.38
$HUM,123465.752,89.4,16.2
$IMU,123465.755,-10.437,-7.202,-31.555,0.04443,-0.10644,1.02832,15.68
$MAG,123465.775,-0.540,-0.321,-0.151,13.5
$BARO,123465.790,101777.27,15.39
$BARO,123465.830,101782.78,15.39
$IMU,123465.832,-6.591,-4.760,-25.451,0.02197,-0.11474,1.04150,15.71
$HUM,123465.833,89.3,16.2
$BARO,123465.871,101775.69,15.39
$MAG,123465.871,-0.549,-0.321,-0.145,13.5
$IMU,123465.908,-7.629,-2.319,-17.761,0.05957,-0.17187,1.02197,15.70
$BARO,123465.911,101782.85,15.39
$HUM,123465.913,89.3,16.2
$BARO,123465.951,101773.59,15.39
$MAG,123465.966,-0.543,-0.321,-0.163,13.5
$IMU,123465.985,-4.577,8.239,-7.446,0.07812,-0.16406,1.06396,15.71
$BARO,123465.992,101773.08,15.38
$HUM,123465.993,89.5,16.2
$BARO,123466.032,101776.03,15.39
$IMU,123466.061,1.831,17.272,-0.854,-0.11474,-0.13574,0.97363,15.74
$MAG,123466.062,-0.528,-0.321,-0.159,13.4
$BARO,123466.072,101779.51,15.39
$HUM,123466.074,89.4,16.2
$BARO,123466.112,101776.25,15.39
$IMU,123466.138,12.390,3.540,-19.958,-0.01757,0.06640,1.01367,15.75
$BARO,123466.153,101767.79,15.40
$HUM,123466.154,89.1,16.2
$MAG,123466.158,-0.520,-0.328,-0.171,13.5
$BARO,123466.193,101772.23,15.39
$IMU,123466.214,10.742,1.770,-26.062,-0.10058,0.02392,0.96728,15.72
$VBAT,123466.221,3.980
$BARO,123466.233,101774.66,15.39
$HUM,123466.234,89.2,16.3
$MAG,123466.253,-0.528,-0.339,-0.174,13.5
$BARO,123466.274,101770.32,15.40
$IMU,123466.290,10.070,-3.784,-14.465,-0.12792,0.03662,1.02294,15.74
$BARO,123466.314,101777.95,15.40
$HUM,123466.315,89.0,16.3
$MAG,123466.349,-0.543,-0.339,-0.168,13.7
$BARO,123466.354,101782.00,15.40
$IMU,123466.367,1.159,-16.113,1.831,-0.02197,-0.07275,0.99072,15.74
$BARO,123466.395,101773.15,15.40
$HUM,123466.395,89.0,16.3
$BARO,123466.435,101774.13,15.40
$IMU,123466.443,3.356,-17.211,17.883,-0.01416,-0.10546,0.94531,15.75
$MAG,123466.445,-0.552,-0.336,-0.168,13.5
$BARO,123466.475,101777.27,15.40
$HUM,123466.475,89.1,16.3
$BARO,123466.515,101777.95,15.40
$IMU,123466.520,12.634,-16.418,13.916,0.04443,-0.01074,1.00537,15.74
$MAG,123466.540,-0.565,-0.331,-0.175,13.5
$BARO,123466.556,101784.83,15.40
$HUM,123466.556,89.0,16.3
$BARO,123466.596,101777.76,15.40
$IMU,123466.596,9.277,-21.728,10.070,0.14208,0.00292,1.05322,15.72
$BARO,123466.636,101784.63,15.40
$HUM,123466.636,88.9,16.3
$MAG,123466.636,-0.583,-0.334,-0.168,13.5
$IMU,123466.673,5.126,-21.240,5.249,0.30761,-0.01220,0.97705,15.71
$BARO,123466.677,101781.29,15.40
$HUM,123466.716,88.9,16.2
