$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,5be9b75e55b29413eb464f8d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,124827.542,-2.075,1.281,-2.441,-0.16259,0.18457,0.98339,18.01
$IMU,124827.619,-6.164,-2.868,-4.760,0.05566,0.10791,0.91210,18.01
$BARO,124827.634,101867.61,17.87
$MAG,124827.640,-0.271,-0.702,-0.088,16.0
$BARO,124827.674,101872.80,17.88
$HUM,124827.678,82.6,16.4
$IMU,124827.695,-2.746,6.896,-0.610,-0.19287,0.15039,1.02392,18.07
$BARO,124827.715,101876.94,17.88
$MAG,124827.736,-0.262,-0.712,-0.102,15.9
$BARO,124827.755,101867.14,17.88
$HUM,124827.759,82.9,18.9
$IMU,124827.772,-0.305,0.366,1.586,-0.11376,0.15185,1.00537,18.06
$BARO,124827.795,101865.17,17.89
$MAG,124827.832,-0.268,-0.711,-0.090,16.0
$BARO,124827.835,101874.53,17.89
$HUM,124827.839,82.8,18.9
$IMU,124827.848,0.305,0.427,0.610,-0.09472,0.16406,0.97753,18.06
$BARO,124827.876,101867.00,17.89
$BARO,124827.916,101867.87,17.90
$HUM,124827.919,82.9,19.0
$IMU,124827.924,-0.671,0.793,-1.159,-0.09765,0.13916,0.99609,18.08
$MAG,124827.927,-0.253,-0.708,-0.088,16.0
$BARO,124827.956,101872.63,17.90
$BARO,124827.997,101865.97,17.90
$HUM,124827.999,82.8,18.9
$IMU,124828.001,0.488,0.244,-1.220,-0.09423,0.14990,0.99365,18.09
$MAG,124828.023,-0.271,-0.715,-0.093,16.0
$BARO,124828.037,101868.99,17.90
$BARO,124828.077,101864.07,17.90
$IMU,124828.077,0.000,0.244,-1.220,-0.11669,0.16552,0.98339,18.13
$HUM,124828.080,82.9,19.0
$BARO,124828.117,101868.41,17.91
$MAG,124828.119,-0.261,-0.705,-0.099,16.0
$IMU,124828.154,-0.976,0.488,-0.610,-0.10839,0.13818,1.00683,18.11
$BARO,124828.158,101869.48,17.91
$HUM,124828.160,82.9,19.0
$BARO,124828.198,101866.97,17.91
$MAG,124828.215,-0.258,-0.703,-0.099,16.0
$IMU,124828.230,0.061,0.488,-0.732,-0.08984,0.15136,0.97851,18.14
$BARO,124828.238,101864.07,17.91
$HUM,124828.240,82.8,19.0
$BARO,124828.278,101868.56,17.91
$IMU,124828.307,-0.610,0.305,-1.403,-0.10498,0.15039,1.00830,18.14
$MAG,124828.311,-0.262,-0.702,-0.099,16.0
$BARO,124828.319,101873.50,17.91
$HUM,124828.320,82.9,19.0
$BARO,124828.359,101865.85,17.92
$IMU,124828.383,-0.183,0.305,-1.342,-0.12011,0.13867,1.01416,18.14
$BARO,124828.399,101871.53,17.91
$HUM,124828.401,82.9,19.0
$MAG,124828.407,-0.256,-0.711,-0.091,16.0
$BARO,124828.439,101869.41,17.92
$IMU,124828.459,0.610,0.244,-1.037,-0.10595,0.14306,0.99267,18.13
$BARO,124828.480,101869.41,17.92
$HUM,124828.481,82.8,19.0
$VBAT,124828.497,3.953
$MAG,124828.503,-0.261,-0.705,-0.088,16.2
$BARO,124828.520,101866.85,17.92
$IMU,124828.536,0.488,0.305,-0.854,-0.09619,0.14746,0.95703,18.20
$BARO,124828.560,101870.68,17.92
$HUM,124828.561,82.9,19.0
$MAG,124828.599,-0.261,-0.714,-0.088,16.3
$BARO,124828.600,101860.80,17.92
$IMU,124828.612,0.122,1.037,-0.976,-0.12109,0.15478,1.00830,18.20
$BARO,124828.641,101870.68,17.92
$HUM,124828.641,82.9,19.0
$BARO,124828.681,101870.55,17.93
$IMU,124828.689,1.525,2.380,0.915,-0.11523,0.11279,1.01757,18.19
$MAG,124828.695,-0.262,-0.712,-0.090,16.0
$BARO,124828.721,101873.92,17.93
$HUM,124828.722,82.8,19.0
$BARO,124828.762,101866.53,17.93
$IMU,124828.765,6.591,2.929,2.441,-0.08447,0.21972,0.97558,18.19
$MAG,124828.790,-0.259,-0.712,-0.081,16.2
$BARO,124828.802,101872.53,17.93
$HUM,124828.802,82.8,19.0
$BARO,124828.842,101871.41,17.93
$IMU,124828.842,-2.563,0.244,-3.662,-0.09521,0.17236,1.01757,18.19
$BARO,124828.882,101874.11,17.93
$HUM,124828.882,82.9,19.0
$MAG,124828.886,-0.258,-0.705,-0.090,16.2
$IMU,124828.918,-6.164,0.122,-3.295,-0.16308,0.08398,0.98291,18.20
$BARO,124828.923,101866.02,17.93
$HUM,124828.962,82.9,19.0
$BARO,124828.963,101863.83,17.93
