$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,d9727a4d1488bf521720d65d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,127923.088,0.122,14.770,-3.479,0.22705,0.00000,0.87011,19.34
$IMU,127923.164,4.272,66.650,-21.423,0.17041,0.05761,0.86767,19.36
$BARO,127923.177,101962.01,19.02
$MAG,127923.183,-0.516,-0.582,-0.169,17.4
$BARO,127923.218,101970.25,19.03
$HUM,127923.222,69.3,20.0
$IMU,127923.241,13.061,88.256,-5.676,-0.16943,0.21386,1.00634,19.35
$BARO,127923.258,101966.37,19.04
$MAG,127923.279,-0.466,-0.589,-0.177,17.3
$BARO,127923.298,101968.96,19.04
$HUM,127923.302,69.1,20.0
$IMU,127923.317,29.479,64.392,12.268,-0.52587,0.29492,0.96289,19.37
$BARO,127923.339,101965.06,19.04
$MAG,127923.375,-0.444,-0.618,-0.180,17.3
$BARO,127923.379,101973.37,19.04
$HUM,127923.382,69.1,20.0
$IMU,127923.394,30.761,23.681,-10.314,-0.30615,0.41357,0.89843,19.40
$BARO,127923.419,101966.25,19.04
$BARO,127923.459,101968.18,19.05
$HUM,127923.463,69.0,20.1
$IMU,127923.470,14.831,6.286,-0.549,-0.11328,0.43798,0.95556,19.40
$MAG,127923.471,-0.439,-0.616,-0.187,17.3
$BARO,127923.500,101965.01,19.05
$BARO,127923.540,101961.50,19.05
$HUM,127923.543,69.1,20.1
$IMU,127923.546,-9.521,22.521,-0.305,-0.21337,0.35839,0.96142,19.40
$MAG,127923.567,-0.432,-0.615,-0.190,17.4
$BARO,127923.580,101974.64,19.05
$BARO,127923.620,101963.62,19.05
$HUM,127923.623,69.0,20.1
$IMU,127923.623,-17.150,26.855,-3.906,-0.29199,0.24707,0.91113,19.39
$BARO,127923.660,101966.06,19.05
$MAG,127923.663,-0.402,-0.595,-0.199,17.3
$IMU,127923.699,-8.483,19.775,-5.432,-0.38281,0.22070,0.88574,19.41
$BARO,127923.701,101960.72,19.06
$HUM,127923.704,69.0,20.1
$BARO,127923.741,101965.93,19.06
$MAG,127923.759,-0.391,-0.616,-0.205,17.3
$IMU,127923.776,2.075,11.352,-10.437,-0.39794,0.25683,0.90966,19.43
$BARO,127923.781,101960.45,19.05
$HUM,127923.784,68.9,20.1
$BARO,127923.821,101964.35,19.06
$IMU,127923.852,3.662,7.751,-11.352,-0.39892,0.23828,0.93310,19.43
$MAG,127923.855,-0.385,-0.627,-0.201,17.3
$BARO,127923.862,101967.91,19.06
$HUM,127923.864,68.8,20.1
$BARO,127923.902,101953.33,19.06
$IMU,127923.929,6.042,9.582,-12.756,-0.33642,0.19335,0.91113,19.45
$BARO,127923.942,101970.30,19.06
$HUM,127923.944,68.8,20.1
$MAG,127923.951,-0.373,-0.634,-0.193,17.3
$BARO,127923.982,101964.84,19.06
$IMU,127924.005,9.887,15.075,-8.972,-0.42626,0.24755,0.87548,19.47
$VBAT,127924.015,3.950
$BARO,127924.023,101962.06,19.06
$HUM,127924.025,68.8,20.2
$MAG,127924.047,-0.370,-0.640,-0.199,17.4
$BARO,127924.063,101970.18,19.06
$IMU,127924.081,9.277,5.615,-6.042,-0.45556,0.25341,0.85400,19.49
$BARO,127924.103,101967.47,19.07
$HUM,127924.105,68.7,20.1
$BARO,127924.143,101965.42,19.06
$MAG,127924.144,-0.370,-0.654,-0.186,17.3
$IMU,127924.158,11.047,-6.469,-4.394,-0.38964,0.27050,0.85595,19.48
$BARO,127924.184,101962.11,19.07
$HUM,127924.185,68.7,20.2
$BARO,127924.224,101967.86,19.07
$IMU,127924.234,12.634,-3.601,0.488,-0.34814,0.31884,0.86425,19.44
$MAG,127924.239,-0.366,-0.655,-0.186,17.4
$BARO,127924.264,101965.69,19.07
$HUM,127924.266,68.7,20.2
$BARO,127924.304,101963.50,19.07
$IMU,127924.311,10.192,11.962,1.708,-0.41259,0.36718,0.88330,19.47
$MAG,127924.335,-0.352,-0.661,-0.174,17.4
$BARO,127924.345,101969.25,19.07
$HUM,127924.346,68.8,20.1
$BARO,127924.385,101967.06,19.07
$IMU,127924.387,3.662,19.775,-3.356,-0.46386,0.33837,0.88037,19.49
$BARO,127924.425,101966.86,19.07
$HUM,127924.426,68.6,20.2
$MAG,127924.431,-0.343,-0.669,-0.181,17.3
$IMU,127924.464,2.868,17.944,-9.033,-0.43408,0.31738,0.82324,19.49
$BARO,127924.465,101962.91,19.07
$BARO,127924.505,101958.94,19.07
$HUM,127924.507,68.6,20.2
