$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,2f8fc5d04e4a9669fd42b074
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,106486.348,6.713,3.540,2.319,-0.02929,-0.17724,0.90185,30.47
$IMU,106486.424,33.752,18.554,15.258,0.10351,-0.06689,0.89501,30.46
$BARO,106486.437,101014.82,30.45
$MAG,106486.443,-0.172,-0.172,-0.198,29.3
$BARO,106486.477,101017.11,30.45
$HUM,106486.481,57.2,31.6
$IMU,106486.501,38.085,53.894,24.658,-0.02490,-0.03564,0.80615,30.53
$BARO,106486.518,101009.48,30.46
$MAG,106486.540,-0.106,-0.214,-0.177,29.2
$BARO,106486.558,101012.31,30.46
$HUM,106486.562,57.3,31.6
$IMU,106486.577,45.654,85.754,34.240,-0.23828,0.01855,0.78759,30.53
$BARO,106486.598,101010.75,30.46
$MAG,106486.637,-0.034,-0.271,-0.139,29.2
$BARO,106486.638,101022.69,30.46
$HUM,106486.642,57.5,31.6
$IMU,106486.654,53.649,98.937,33.752,-0.43701,0.13427,0.81347,30.55
$BARO,106486.678,101016.09,30.47
$BARO,106486.719,101018.16,30.47
$HUM,106486.722,57.4,31.6
$IMU,106486.730,51.269,95.642,26.550,-0.63134,0.27978,0.79589,30.53
$MAG,106486.733,0.021,-0.294,-0.090,29.3
$BARO,106486.759,101016.94,30.47
$BARO,106486.799,101013.51,30.47
$HUM,106486.803,57.0,31.6
$IMU,106486.807,27.160,75.012,18.005,-0.80322,0.52685,0.75341,30.54
$MAG,106486.830,0.058,-0.306,-0.055,29.2
$BARO,106486.839,101017.55,30.47
$BARO,106486.879,101004.61,30.47
$HUM,106486.883,56.8,31.6
$IMU,106486.883,-5.126,44.921,15.747,-0.72998,0.19238,0.68554,30.56
$BARO,106486.919,101013.36,30.48
$MAG,106486.927,0.069,-0.307,-0.027,29.1
$BARO,106486.960,101014.85,30.48
$IMU,106486.960,7.629,35.888,3.173,-0.73730,0.31396,0.66015,30.55
$HUM,106486.963,56.7,31.7
$BARO,106487.000,101011.60,30.48
$MAG,106487.024,0.088,-0.310,-0.003,29.2
$IMU,106487.036,17.333,33.630,-6.225,-0.80761,0.25439,0.62353,30.55
$BARO,106487.040,101017.60,30.48
$HUM,106487.043,56.8,31.7
$BARO,106487.080,101010.85,30.49
$IMU,106487.112,26.916,23.803,-7.690,-0.81591,0.42578,0.63916,30.58
$BARO,106487.120,101022.74,30.49
$MAG,106487.121,0.100,-0.321,0.012,29.2
$HUM,106487.124,56.6,31.7
$BARO,106487.160,101019.21,30.49
$IMU,106487.189,8.728,7.019,0.610,-0.90917,0.38281,0.62402,30.58
$BARO,106487.201,101007.41,30.49
$HUM,106487.204,56.6,31.7
$MAG,106487.217,0.091,-0.306,0.001,29.2
$BARO,106487.241,101013.33,30.49
$IMU,106487.265,-1.647,-16.113,-1.037,-0.71972,0.37548,0.60742,30.60
$VBAT,106487.276,3.943
$BARO,106487.281,101023.67,30.49
$HUM,106487.284,56.6,31.7
$MAG,106487.314,0.081,-0.324,-0.012,29.2
$BARO,106487.321,101017.60,30.49
$IMU,106487.342,-3.173,-12.939,8.361,-0.63476,0.32861,0.54541,30.64
$BARO,106487.361,101018.92,30.50
$HUM,106487.365,56.7,31.7
$BARO,106487.401,101012.38,30.50
$MAG,106487.411,0.078,-0.337,-0.010,29.3
$IMU,106487.418,7.263,1.831,9.277,-0.71533,0.30859,0.55468,30.60
$BARO,106487.442,101016.58,30.49
$HUM,106487.445,56.6,31.8
$BARO,106487.482,101011.58,30.50
$IMU,106487.495,17.578,7.568,1.953,-0.73388,0.39501,0.58935,30.63
$MAG,106487.508,0.094,-0.343,-0.010,29.2
$BARO,106487.522,101020.14,30.50
$HUM,106487.525,56.6,31.7
$BARO,106487.562,101020.14,30.50
$IMU,106487.571,10.681,4.150,-2.929,-0.76464,0.43310,0.61181,30.60
$BARO,106487.602,101012.65,30.50
$MAG,106487.604,0.094,-0.334,0.006,29.3
$HUM,106487.605,56.5,31.7
$BARO,106487.643,101014.14,30.51
$IMU,106487.648,-2.441,-3.112,-9.399,-0.83935,0.45898,0.60693,30.60
$BARO,106487.683,101018.53,30.50
$HUM,106487.686,56.6,31.8
$MAG,106487.701,0.079,-0.319,-0.018,29.2
$BARO,106487.723,101021.01,30.51
$IMU,106487.724,-7.629,-21.118,-20.263,-0.92431,0.38720,0.65527,30.65
$BARO,106487.763,101013.92,30.51
$HUM,106487.766,57.0,31.7
