$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,94205c1e13e6ce5dc5b3c92e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,113293.085,9.643,-14.038,-3.417,-0.12939,-0.20898,0.84960,27.95
$IMU,113293.162,45.959,-55.969,-3.112,0.02929,-0.15234,0.87841,28.00
$BARO,113293.176,101252.92,27.83
$MAG,113293.182,-0.129,-0.363,-0.229,26.5
$BARO,113293.216,101256.74,27.84
$HUM,113293.220,58.6,29.1
$IMU,113293.238,49.438,-31.372,0.732,0.00048,-0.07031,0.92529,28.00
$BARO,113293.256,101251.02,27.84
$MAG,113293.278,-0.141,-0.412,-0.225,26.3
$BARO,113293.296,101254.26,27.84
$HUM,113293.300,58.7,29.1
$IMU,113293.314,43.090,-5.310,-1.586,0.02441,-0.02734,0.89062,28.07
$BARO,113293.337,101264.71,27.84
$MAG,113293.375,-0.133,-0.441,-0.199,26.3
$BARO,113293.377,101262.57,27.85
$HUM,113293.380,58.8,29.0
$IMU,113293.391,40.344,16.723,-8.300,-0.04980,0.01904,0.91210,28.05
$BARO,113293.417,101254.72,27.85
$BARO,113293.457,101258.79,27.85
$HUM,113293.461,59.1,29.1
$IMU,113293.467,36.621,26.672,-14.648,-0.16699,0.13916,1.00048,28.04
$MAG,113293.472,-0.100,-0.454,-0.183,26.5
$BARO,113293.497,101251.36,27.85
$BARO,113293.538,101251.41,27.86
$HUM,113293.541,59.2,29.1
$IMU,113293.544,24.108,16.418,-9.277,-0.17382,0.17187,0.99755,28.06
$MAG,113293.568,-0.099,-0.472,-0.178,26.5
$BARO,113293.578,101255.84,27.86
$BARO,113293.618,101252.16,27.85
$IMU,113293.620,10.742,3.967,-7.385,-0.15722,0.18310,0.93701,28.08
$HUM,113293.621,59.1,29.1
$BARO,113293.658,101251.21,27.85
$MAG,113293.665,-0.102,-0.471,-0.183,26.6
$IMU,113293.697,3.479,-0.488,-5.371,-0.12646,0.19140,0.97021,28.05
$BARO,113293.698,101264.18,27.86
$HUM,113293.702,59.0,29.1
$BARO,113293.738,101258.18,27.87
$MAG,113293.761,-0.103,-0.465,-0.178,26.2
$IMU,113293.773,-4.943,-0.427,-2.624,-0.09228,0.14990,0.99267,28.07
$BARO,113293.779,101252.89,27.86
$HUM,113293.782,59.0,29.1
$BARO,113293.819,101252.70,27.86
$IMU,113293.850,-7.446,2.441,2.136,-0.12158,0.12255,0.99218,28.12
$MAG,113293.858,-0.102,-0.457,-0.175,26.5
$BARO,113293.859,101259.74,27.86
$HUM,113293.862,58.9,29.1
$BARO,113293.899,101258.38,27.87
$IMU,113293.926,-6.347,3.234,2.258,-0.12695,0.14160,1.00585,28.12
$BARO,113293.939,101267.44,27.87
$HUM,113293.942,59.1,29.1
$MAG,113293.955,-0.102,-0.454,-0.183,26.2
$BARO,113293.979,101255.96,27.87
$IMU,113294.002,-7.568,3.356,0.793,-0.12890,0.11523,0.98779,28.12
$VBAT,113294.008,3.806
$BARO,113294.020,101261.86,27.87
$HUM,113294.023,59.0,29.1
$MAG,113294.051,-0.096,-0.456,-0.184,26.5
$BARO,113294.060,101260.86,27.87
$IMU,113294.079,-5.981,4.028,-0.793,-0.13867,0.10498,0.98974,28.10
$BARO,113294.100,101255.01,27.87
$HUM,113294.103,59.0,29.1
$BARO,113294.140,101255.82,27.87
$MAG,113294.148,-0.096,-0.439,-0.187,26.6
$IMU,113294.155,-5.310,3.662,-2.136,-0.14257,0.10156,0.99169,28.12
$BARO,113294.180,101257.04,27.87
$HUM,113294.183,58.9,29.2
$BARO,113294.220,101256.01,27.87
$IMU,113294.232,-6.469,2.197,-1.586,-0.14160,0.09326,0.99609,28.14
$MAG,113294.245,-0.090,-0.445,-0.183,26.3
$BARO,113294.261,101250.84,27.88
$HUM,113294.264,59.0,29.1
$BARO,113294.301,101256.62,27.87
$IMU,113294.308,-6.469,1.647,-2.197,-0.14501,0.07812,0.99951,28.15
$BARO,113294.341,101262.33,27.88
$MAG,113294.341,-0.094,-0.439,-0.184,26.6
$HUM,113294.344,59.0,29.1
$BARO,113294.381,101258.35,27.88
$IMU,113294.385,-4.699,1.586,-0.915,-0.11230,0.08593,0.99365,28.14
$BARO,113294.421,101256.09,27.88
$HUM,113294.424,58.9,29.2
$MAG,113294.438,-0.088,-0.438,-0.172,26.6
$BARO,113294.461,101254.67,27.88
$IMU,113294.461,1.098,12.390,7.934,0.02490,0.05810,0.90771,28.18
$BARO,113294.502,101257.50,27.88
