$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,d5dc1ece7edbaa0ecded515c
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,114146.345,-7.995,0.122,-5.798,-0.09082,-0.25927,0.80419,25.68
$IMU,114146.421,-17.028,16.296,-16.662,-0.42089,-0.40917,0.84570,25.69
$BARO,114146.434,101238.00,25.44
$MAG,114146.440,-0.001,-0.270,-0.127,24.3
$BARO,114146.474,101240.29,25.44
$HUM,114146.478,63.3,28.8
$IMU,114146.497,18.493,24.414,22.766,0.12207,-0.43945,0.70800,25.75
$BARO,114146.514,101234.34,25.45
$MAG,114146.536,0.049,-0.361,-0.060,24.0
$BARO,114146.555,101235.81,25.45
$HUM,114146.559,63.0,26.6
$IMU,114146.574,57.312,103.027,104.675,-0.27978,-0.12011,0.77587,25.72
$BARO,114146.595,101241.41,25.45
$MAG,114146.633,0.088,-0.444,0.055,24.3
$BARO,114146.635,101243.87,25.45
$HUM,114146.639,63.1,26.6
$IMU,114146.650,35.400,141.845,98.022,-0.78417,0.17626,0.64062,25.71
$BARO,114146.675,101234.46,25.46
$BARO,114146.715,101235.54,25.46
$HUM,114146.719,63.2,26.7
$IMU,114146.727,0.976,118.225,82.275,-1.15527,0.12500,0.36328,25.73
$MAG,114146.729,0.094,-0.511,0.139,24.0
$BARO,114146.756,101245.36,25.46
$BARO,114146.796,101241.56,25.46
$HUM,114146.799,63.1,26.7
$IMU,114146.803,7.141,62.133,53.771,-1.13525,0.12597,0.28710,25.77
$MAG,114146.825,0.088,-0.555,0.166,23.9
$BARO,114146.836,101245.02,25.47
$BARO,114146.876,101236.59,25.46
$HUM,114146.880,63.2,26.7
$IMU,114146.880,26.611,4.760,35.705,-0.87988,0.31445,0.48095,25.78
$BARO,114146.916,101243.22,25.47
$MAG,114146.922,0.063,-0.573,0.166,23.8
$BARO,114146.956,101239.85,25.47
$IMU,114146.956,21.728,-12.817,30.212,-0.82910,0.39697,0.47900,25.76
$HUM,114146.960,63.1,26.6
$BARO,114146.997,101241.14,25.48
$MAG,114147.018,0.054,-0.592,0.160,23.8
$IMU,114147.033,14.038,-12.329,15.808,-0.79541,0.42431,0.47851,25.78
$BARO,114147.037,101245.75,25.48
$HUM,114147.040,63.1,26.7
$BARO,114147.077,101240.34,25.48
$IMU,114147.109,7.690,2.441,4.455,-0.75146,0.43164,0.52343,25.78
$MAG,114147.115,0.061,-0.585,0.159,24.0
$BARO,114147.117,101243.34,25.48
$HUM,114147.121,63.0,26.7
$BARO,114147.157,101241.95,25.48
$IMU,114147.185,5.920,17.333,-4.760,-0.85400,0.42773,0.48730,25.77
$BARO,114147.198,101239.53,25.48
$HUM,114147.201,63.2,26.7
$MAG,114147.211,0.070,-0.579,0.181,24.0
$BARO,114147.238,101230.17,25.48
$IMU,114147.262,13.061,16.479,-32.287,-0.87158,0.35693,0.35595,25.80
$BARO,114147.278,101239.73,25.48
$HUM,114147.281,63.1,26.7
$VBAT,114147.298,3.787
$MAG,114147.307,0.090,-0.547,0.195,23.9
$BARO,114147.318,101235.12,25.48
$IMU,114147.338,10.559,1.281,-47.729,-0.76904,0.38476,0.41015,25.82
$BARO,114147.358,101239.05,25.49
$HUM,114147.361,62.9,26.7
$BARO,114147.398,101234.05,25.49
$MAG,114147.404,0.096,-0.522,0.207,24.0
$IMU,114147.415,-10.620,13.427,-33.813,-0.75292,0.29638,0.44580,25.78
$BARO,114147.439,101238.19,25.48
$HUM,114147.442,63.1,26.7
$BARO,114147.479,101234.78,25.48
$IMU,114147.491,-28.930,31.311,-14.526,-1.04199,0.04638,0.26708,25.76
$MAG,114147.500,0.091,-0.511,0.213,24.2
$BARO,114147.519,101230.44,25.49
$HUM,114147.522,63.0,26.7
$BARO,114147.559,101230.25,25.49
$IMU,114147.568,-18.066,2.197,-10.437,-1.01660,0.01806,0.32324,25.81
$MAG,114147.597,0.099,-0.510,0.196,24.0
$BARO,114147.599,101244.26,25.49
$HUM,114147.602,63.1,26.7
$BARO,114147.640,101240.53,25.49
$IMU,114147.644,-0.488,-6.652,-8.422,-0.76318,0.18212,0.48339,25.79
$BARO,114147.680,101241.92,25.49
$HUM,114147.682,62.9,26.7
$MAG,114147.693,0.108,-0.504,0.211,24.0
$BARO,114147.720,101244.58,25.49
$IMU,114147.721,-7.446,13.916,2.014,-0.78613,0.21093,0.39404,25.82
$BARO,114147.760,101243.53,25.49
$HUM,114147.763,63.0,26.7
$MAG,114147.789,0.099,-0.522,0.217,24.4
