$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,0cd2e5f29f22db13c1acef9e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,131060.672,0.122,-3.051,-1.037,-0.43994,0.03369,0.87109,23.56
$IMU,131060.749,7.751,-22.888,-2.380,-0.28710,0.03027,0.89746,23.62
$BARO,131060.767,101794.41,23.26
$MAG,131060.772,-0.418,-0.247,-0.271,21.7
$BARO,131060.807,101807.18,23.26
$HUM,131060.811,55.0,24.3
$IMU,131060.825,-2.563,-30.456,6.103,-0.20703,0.02636,0.94580,23.61
$BARO,131060.847,101799.26,23.26
$MAG,131060.869,-0.430,-0.223,-0.271,21.9
$BARO,131060.887,101800.92,23.27
$HUM,131060.891,54.8,24.3
$IMU,131060.902,-15.747,-22.277,10.375,-0.24609,0.04101,0.96337,23.59
$BARO,131060.928,101805.52,23.27
$MAG,131060.965,-0.447,-0.210,-0.261,21.7
$BARO,131060.968,101799.33,23.27
$HUM,131060.971,54.6,24.3
$IMU,131060.978,-14.160,-18.493,19.775,-0.15673,0.02001,0.94726,23.64
$BARO,131061.008,101808.37,23.27
$BARO,131061.048,101805.84,23.28
$HUM,131061.052,54.1,24.4
$IMU,131061.055,-29.968,-18.432,43.090,-0.02099,-0.13427,0.99755,23.65
$MAG,131061.061,-0.448,-0.178,-0.250,21.8
$BARO,131061.088,101806.72,23.28
$BARO,131061.129,101799.67,23.28
$IMU,131061.131,-27.099,-2.624,45.349,-0.05175,-0.22607,1.01806,23.64
$HUM,131061.132,53.4,24.3
$MAG,131061.157,-0.435,-0.150,-0.240,21.8
$BARO,131061.169,101812.03,23.28
$IMU,131061.207,-12.390,8.117,33.081,-0.14062,-0.20947,1.03955,23.65
$BARO,131061.209,101803.86,23.28
$HUM,131061.212,52.9,24.4
$BARO,131061.249,101802.72,23.28
$MAG,131061.253,-0.414,-0.139,-0.250,21.7
$IMU,131061.284,-2.258,8.789,25.512,-0.15869,-0.22363,0.99902,23.68
$BARO,131061.290,101804.94,23.29
$HUM,131061.293,52.7,24.3
$BARO,131061.330,101804.01,23.29
$MAG,131061.349,-0.396,-0.145,-0.247,21.7
$IMU,131061.360,5.249,11.108,16.662,-0.25927,-0.15283,0.99707,23.69
$BARO,131061.370,101800.53,23.29
$HUM,131061.373,52.7,24.4
$BARO,131061.410,101799.21,23.29
$IMU,131061.437,10.253,7.934,14.709,-0.29199,-0.09814,0.97119,23.69
$MAG,131061.446,-0.384,-0.144,-0.255,21.7
$BARO,131061.450,101812.05,23.30
$HUM,131061.453,52.6,24.4
$BARO,131061.491,101808.01,23.29
$IMU,131061.513,10.864,2.197,20.446,-0.26513,-0.05664,0.97851,23.66
$BARO,131061.531,101804.79,23.29
$HUM,131061.533,52.7,24.3
$MAG,131061.542,-0.394,-0.147,-0.253,21.7
$BARO,131061.571,101802.06,23.30
$IMU,131061.590,6.530,-3.112,20.141,-0.21728,-0.06640,0.98876,23.71
$VBAT,131061.597,4.047
$BARO,131061.611,101810.64,23.29
$HUM,131061.614,52.8,24.4
$MAG,131061.638,-0.390,-0.156,-0.249,21.7
$BARO,131061.651,101803.55,23.30
$IMU,131061.666,7.873,-7.019,18.920,-0.17578,-0.04101,0.98730,23.71
$BARO,131061.692,101802.33,23.30
$HUM,131061.694,53.0,24.4
$BARO,131061.732,101801.35,23.30
$MAG,131061.734,-0.390,-0.163,-0.252,21.9
$IMU,131061.742,7.934,-5.554,13.366,-0.16406,-0.02734,0.98144,23.71
$BARO,131061.772,101810.86,23.30
$HUM,131061.774,53.1,24.4
$BARO,131061.812,101802.74,23.30
$IMU,131061.819,9.460,-1.892,4.394,-0.17968,-0.00976,0.99462,23.70
$MAG,131061.830,-0.390,-0.181,-0.246,21.8
$BARO,131061.853,101798.36,23.30
$HUM,131061.854,53.3,24.4
$BARO,131061.893,101803.21,23.30
$IMU,131061.895,10.559,-0.427,3.234,-0.18750,0.02001,0.99121,23.73
$MAG,131061.926,-0.388,-0.186,-0.250,21.9
$BARO,131061.933,101804.82,23.30
$HUM,131061.935,53.4,24.4
$IMU,131061.972,12.268,-1.098,6.530,-0.16992,0.01416,0.99511,23.72
$BARO,131061.973,101805.01,23.30
$BARO,131062.013,101802.48,23.31
$HUM,131062.015,53.5,24.4
$MAG,131062.023,-0.379,-0.204,-0.259,21.7
$IMU,131062.048,14.648,1.159,8.056,-0.18164,-0.14648,1.05468,23.74
$BARO,131062.054,101797.62,23.31
$BARO,131062.094,101803.28,23.31
