$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,e8d015e3f21cc381a13a4b34
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,132275.627,11.596,0.549,0.488,-0.22900,-0.97412,0.65478,28.85
$IMU,132275.704,83.740,-9.155,7.629,-0.20019,-0.82568,0.80761,28.86
$BARO,132275.718,101815.15,28.84
$MAG,132275.724,-0.460,-0.024,-0.142,27.5
$BARO,132275.758,101822.56,28.85
$HUM,132275.762,50.5,30.0
$IMU,132275.780,126.342,-8.728,12.512,-0.17871,-0.38378,0.88574,28.87
$BARO,132275.798,101827.46,28.85
$MAG,132275.820,-0.468,-0.135,-0.190,27.3
$BARO,132275.838,101818.20,28.85
$HUM,132275.842,50.9,30.0
$IMU,132275.857,118.408,-4.333,-0.183,-0.11962,-0.07958,0.89306,28.83
$BARO,132275.879,101818.88,28.85
$MAG,132275.917,-0.462,-0.214,-0.222,27.3
$BARO,132275.919,101817.32,28.86
$HUM,132275.923,52.0,30.1
$IMU,132275.933,90.515,1.892,-6.225,-0.11621,0.04003,0.90478,28.89
$BARO,132275.959,101814.10,28.86
$BARO,132275.999,101813.57,28.87
$HUM,132276.003,52.7,30.1
$IMU,132276.010,66.833,5.615,-6.896,-0.14306,0.05126,0.93115,28.88
$MAG,132276.013,-0.463,-0.258,-0.240,27.2
$BARO,132276.039,101819.46,28.87
$BARO,132276.080,101823.44,28.87
$HUM,132276.083,52.7,30.1
$IMU,132276.086,52.185,3.906,-5.249,-0.15771,0.07470,0.95117,28.90
$MAG,132276.110,-0.466,-0.306,-0.231,27.5
$BARO,132276.120,101819.95,28.88
$BARO,132276.160,101818.08,28.87
$IMU,132276.163,42.297,-2.197,-2.563,-0.17089,0.13232,0.96191,28.91
$HUM,132276.164,52.8,30.1
$BARO,132276.200,101818.27,28.87
$MAG,132276.207,-0.478,-0.340,-0.228,27.5
$IMU,132276.239,30.944,-8.544,-1.342,-0.13378,0.20312,0.97119,28.92
$BARO,132276.240,101814.71,28.87
$HUM,132276.244,52.7,30.1
$BARO,132276.280,101818.81,28.88
$MAG,132276.303,-0.481,-0.357,-0.229,27.5
$IMU,132276.316,14.099,-10.253,-2.807,-0.16650,0.23632,0.95996,28.94
$BARO,132276.321,101813.49,28.88
$HUM,132276.324,52.7,30.1
$BARO,132276.361,101822.83,28.88
$IMU,132276.392,-0.793,-13.671,-6.103,-0.03613,0.14501,0.97851,28.92
$MAG,132276.400,-0.487,-0.342,-0.226,27.3
$BARO,132276.401,101812.76,28.88
$HUM,132276.404,52.5,30.1
$BARO,132276.441,101807.45,28.88
$IMU,132276.468,8.056,0.732,0.427,-0.11914,0.17285,0.97656,28.94
$BARO,132276.481,101818.39,28.88
$HUM,132276.485,47.3,30.1
$MAG,132276.496,-0.483,-0.366,-0.222,27.5
$BARO,132276.522,101816.25,28.89
$IMU,132276.545,17.578,0.549,4.760,-0.13671,0.26367,1.01708,28.94
$BARO,132276.562,101825.00,28.89
$VBAT,132276.565,4.014
$HUM,132276.565,47.7,30.1
$MAG,132276.593,-0.493,-0.378,-0.219,27.3
$BARO,132276.602,101826.46,28.90
$IMU,132276.621,7.568,-8.056,-1.037,-0.07275,0.26953,0.97363,28.97
$BARO,132276.642,101821.63,28.90
$HUM,132276.645,48.0,30.1
$BARO,132276.682,101817.00,28.90
$MAG,132276.690,-0.496,-0.382,-0.217,27.3
$IMU,132276.698,-0.366,-12.695,0.732,-0.04541,0.22412,0.96093,28.94
$BARO,132276.722,101815.78,28.90
$HUM,132276.726,48.3,30.1
$BARO,132276.763,101805.30,28.90
$IMU,132276.774,-0.244,-9.460,1.403,-0.03955,0.20361,0.94873,29.00
$MAG,132276.786,-0.505,-0.378,-0.217,27.3
$BARO,132276.803,101815.44,28.90
$HUM,132276.806,48.4,30.1
$BARO,132276.843,101820.68,28.90
$IMU,132276.851,-0.793,-1.647,-2.380,-0.10498,0.25976,1.00781,29.00
$BARO,132276.883,101821.29,28.90
$MAG,132276.883,-0.510,-0.369,-0.211,27.3
$HUM,132276.886,48.2,30.1
$BARO,132276.923,101819.34,28.90
$IMU,132276.927,-4.455,-2.807,2.014,-0.06103,0.19433,0.97656,29.02
$BARO,132276.964,101818.20,28.91
$HUM,132276.967,48.4,30.2
$MAG,132276.979,-0.510,-0.370,-0.217,27.5
$BARO,132277.004,101819.42,28.91
$IMU,132277.004,-0.366,-2.075,1.525,-0.04199,0.18359,0.98486,29.00
$BARO,132277.044,101818.95,28.91
