$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,573b87207fff3ad05fd5329d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,135425.887,-4.455,-10.192,-3.112,-0.04638,-0.21630,0.84082,28.63
$BARO,135424.933,101772.49,25.19
$IMU,135425.963,-8.666,-38.635,-12.878,0.10156,-0.23437,0.73876,28.63
$BARO,135425.977,101794.85,28.23
$MAG,135425.983,-0.561,-0.111,-0.166,26.7
$BARO,135426.017,101795.46,28.23
$HUM,135426.021,45.6,31.7
$IMU,135426.040,10.925,-26.733,-1.159,0.13769,-0.09472,0.81689,28.63
$BARO,135426.057,101790.09,28.23
$MAG,135426.079,-0.558,-0.123,-0.166,26.8
$BARO,135426.098,101794.97,28.23
$HUM,135426.102,45.3,29.4
$IMU,135426.116,14.465,-5.371,-0.122,0.19628,-0.11425,0.88671,28.63
$BARO,135426.138,101789.14,28.24
$MAG,135426.176,-0.555,-0.123,-0.181,27.0
$BARO,135426.178,101791.95,28.24
$HUM,135426.182,45.2,29.5
$IMU,135426.193,15.014,12.207,4.699,0.11328,-0.05859,1.09277,28.69
$BARO,135426.218,101793.24,28.24
$BARO,135426.259,101790.63,28.24
$HUM,135426.262,45.2,29.4
$IMU,135426.269,11.657,17.517,27.465,0.09277,0.03759,1.22119,28.71
$MAG,135426.273,-0.520,-0.115,-0.186,27.1
$BARO,135426.299,101793.51,28.24
$BARO,135426.339,101800.62,28.25
$HUM,135426.342,45.2,29.4
$IMU,135426.346,-25.268,24.780,40.283,0.13427,-0.10302,1.26953,28.66
$MAG,135426.369,-0.475,-0.082,-0.174,27.1
$BARO,135426.379,101795.53,28.25
$BARO,135426.419,101798.40,28.25
$IMU,135426.422,-55.725,86.364,45.776,0.89111,-0.21923,1.21093,28.62
$HUM,135426.423,45.2,29.5
$BARO,135426.460,101791.36,28.25
$MAG,135426.466,-0.219,-0.034,-0.121,27.0
$IMU,135426.499,-83.923,252.380,124.267,-0.30908,0.17382,0.18164,28.67
$BARO,135426.500,101790.63,28.25
$HUM,135426.503,45.4,29.5
$BARO,135426.540,101787.19,28.26
$MAG,135426.562,-0.013,-0.048,0.024,27.0
$IMU,135426.575,-88.134,262.756,134.765,-1.10937,0.05419,-0.10644,28.71
$BARO,135426.580,101798.21,28.25
$HUM,135426.583,45.5,29.5
$BARO,135426.620,101783.63,28.26
$IMU,135426.651,-37.414,149.414,68.420,-1.38378,-0.21875,-0.20166,28.70
$MAG,135426.659,0.033,-0.067,0.091,27.0
$BARO,135426.660,101789.61,28.25
$HUM,135426.664,45.3,29.5
$BARO,135426.701,101791.82,28.26
$IMU,135426.728,6.591,23.925,20.629,-0.92138,0.00390,0.22119,28.70
$BARO,135426.741,101796.67,28.25
$HUM,135426.744,45.4,29.5
$MAG,135426.755,0.043,-0.087,0.085,26.8
$BARO,135426.781,101798.36,28.26
$IMU,135426.804,-4.699,0.732,5.554,-0.95556,-0.10449,0.27636,28.66
$VBAT,135426.816,3.939
$BARO,135426.821,101784.58,28.26
$HUM,135426.824,45.3,29.5
$MAG,135426.852,0.025,-0.046,0.088,27.0
$BARO,135426.861,101803.60,28.26
$IMU,135426.881,8.239,4.211,-43.640,-0.86376,-0.13769,0.37060,28.70
$BARO,135426.902,101788.48,28.26
$HUM,135426.905,45.4,29.5
$BARO,135426.942,101783.51,28.26
$MAG,135426.949,0.006,0.000,0.121,27.0
$IMU,135426.957,1.220,39.611,-68.115,-0.88525,-0.36474,0.10400,28.70
$BARO,135426.982,101794.92,28.26
$HUM,135426.985,45.4,29.6
$BARO,135427.022,101792.16,28.26
$IMU,135427.034,-24.841,52.734,-29.846,-0.84130,-0.46679,0.19433,28.75
$MAG,135427.045,0.006,0.003,0.177,27.0
$BARO,135427.062,101793.38,28.27
$HUM,135427.065,45.4,29.5
$BARO,135427.102,101798.01,28.27
$IMU,135427.110,-19.104,45.837,-6.347,-0.98095,-0.41552,0.13134,28.75
$MAG,135427.142,0.015,0.003,0.201,27.0
$BARO,135427.143,101804.45,28.26
$HUM,135427.145,45.3,29.6
$BARO,135427.183,101800.50,28.27
$IMU,135427.187,0.549,22.033,2.563,-0.98535,-0.26562,0.14208,28.75
$BARO,135427.223,101803.65,28.26
$HUM,135427.226,45.4,29.5
$MAG,135427.238,0.021,-0.006,0.202,27.1
$BARO,135427.263,101802.72,28.27
$IMU,135427.263,0.305,13.549,13.000,-0.96435,-0.17919,0.19824,28.77
$BARO,135427.303,101798.82,28.27
