$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1e58addf139b2d7b55a80f1c
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,1.144,101450.13,25.38
$MAG,1.150,-0.499,-0.288,-0.163,24.2
$BARO,1.184,101444.33,25.38
$HUM,1.188,63.3,28.9
$BARO,1.224,101453.82,25.39
$MAG,1.246,-0.483,-0.286,-0.166,24.0
$BARO,1.265,101443.46,25.39
$HUM,1.269,62.8,26.5
$BARO,1.305,101448.45,25.39
$MAG,1.343,-0.474,-0.253,-0.168,24.2
$BARO,1.345,101448.94,25.39
$HUM,1.349,62.6,26.5
$BARO,1.385,101453.94,25.40
$BARO,1.425,101442.58,25.40
$HUM,1.429,62.7,26.6
$MAG,1.439,-0.466,-0.250,-0.172,24.0
$BARO,1.466,101442.38,25.40
$BARO,1.506,101440.38,25.40
$HUM,1.509,62.7,26.6
$MAG,1.535,-0.474,-0.247,-0.160,23.8
$BARO,1.546,101445.11,25.41
$BARO,1.586,101452.13,25.41
$HUM,1.590,62.8,26.6
$BARO,1.626,101456.55,25.41
$MAG,1.632,-0.462,-0.250,-0.168,23.8
$BARO,1.667,101442.72,25.41
$HUM,1.670,62.6,26.6
$BARO,1.707,101448.99,25.42
$MAG,1.728,-0.451,-0.246,-0.177,24.2
$BARO,1.747,101445.92,25.41
$HUM,1.750,62.6,26.6
$BARO,1.787,101444.85,25.42
$MAG,1.825,-0.456,-0.256,-0.174,24.3
$BARO,1.827,101443.50,25.41
$HUM,1.831,62.7,26.6
$BARO,1.868,101439.97,25.42
$VBAT,1.869,4.166
$BARO,1.908,101455.81,25.42
$HUM,1.911,62.6,26.6
$MAG,1.921,-0.457,-0.259,-0.174,24.0
$BARO,1.948,101447.04,25.42
$BARO,1.988,101439.39,25.42
$HUM,1.991,62.5,26.6
$MAG,2.017,-0.465,-0.261,-0.178,23.8
$BARO,2.028,101451.72,25.42
$BARO,2.069,101443.09,25.43
$HUM,2.071,62.6,26.6
$BARO,2.109,101441.09,25.43
$MAG,2.114,-0.472,-0.267,-0.175,23.9
$BARO,2.149,101442.51,25.43
$HUM,2.152,62.8,26.7
$BARO,2.189,101446.58,25.43
$MAG,2.210,-0.492,-0.277,-0.168,24.0
$BARO,2.229,101436.56,25.43
$HUM,2.232,63.0,26.6
$BARO,2.269,101451.45,25.44
$MAG,2.307,-0.505,-0.300,-0.156,23.9
$BARO,2.310,101461.20,25.43
$HUM,2.312,63.2,26.7
$BARO,2.350,101442.21,25.44
$BARO,2.390,101447.38,25.43
$HUM,2.393,63.1,26.7
$MAG,2.403,-0.484,-0.309,-0.169,24.3
$BARO,2.430,101457.06,25.44
$BARO,2.470,101454.06,25.44
$HUM,2.473,62.7,26.7
$MAG,2.499,-0.456,-0.279,-0.166,23.8
$BARO,2.511,101437.41,25.44
$BARO,2.551,101454.60,25.43
$HUM,2.553,62.3,26.7
$BARO,2.591,101453.72,25.44
$MAG,2.596,-0.456,-0.232,-0.163,24.4
$BARO,2.631,101440.75,25.45
$HUM,2.633,62.3,26.7
$BARO,2.671,101446.92,25.44
$MAG,2.692,-0.457,-0.253,-0.177,23.9
$BARO,2.711,101453.52,25.44
$HUM,2.714,62.4,26.7
$BARO,2.752,101455.59,25.45
$MAG,2.789,-0.448,-0.262,-0.162,24.2
$BARO,2.792,101453.79,25.45
$HUM,2.794,62.4,26.7
$BARO,2.832,101452.18,25.45
$BARO,2.872,101446.43,25.45
$HUM,2.874,62.4,26.7
$VBAT,2.875,4.161
$MAG,2.885,-0.454,-0.259,-0.175,23.9
$BARO,2.912,101448.77,25.45
$BARO,2.953,101443.63,25.45
$HUM,2.954,62.5,26.7
$MAG,2.981,-0.463,-0.255,-0.175,23.9
$BARO,2.993,101446.16,25.45
$BARO,3.033,101443.82,25.45
$HUM,3.035,62.7,26.7
$BARO,3.073,101444.02,25.45
$MAG,3.078,-0.499,-0.276,-0.166,24.0
$BARO,3.113,101449.50,25.45
$HUM,3.115,63.0,26.7
$BARO,3.153,101453.52,25.46
$MAG,3.174,-0.502,-0.277,-0.160,23.9
$BARO,3.194,101450.11,25.46
$HUM,3.195,63.0,26.7
$BARO,3.234,101449.92,25.45
$MAG,3.270,-0.493,-0.283,-0.166,24.0
$BARO,3.274,101440.68,25.46
$HUM,3.276,63.0,26.7
$BARO,3.314,101444.36,25.46
$BARO,3.354,101452.91,25.45
$HUM,3.356,62.9,26.7
$MAG,3.367,-0.508,-0.280,-0.159,24.3
