$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,a2bf7902d55ec36f1ffbd1a4
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,1655.741,-3.540,5.065,-1.037,-0.00781,0.06054,0.76123,24.86
$IMU,1655.817,-6.225,24.841,8.361,-0.09472,-0.00537,0.69824,24.92
$BARO,1655.830,101096.16,24.71
$MAG,1655.836,-0.411,-0.235,-0.196,23.4
$BARO,1655.870,101096.84,24.71
$HUM,1655.874,63.2,25.8
$IMU,1655.893,11.413,36.315,18.066,-0.18359,0.00683,0.80957,24.94
$BARO,1655.911,101102.11,24.72
$MAG,1655.932,-0.382,-0.262,-0.201,23.4
$BARO,1655.951,101097.16,24.72
$HUM,1655.955,63.9,25.8
$IMU,1655.970,27.038,35.766,11.474,-0.18945,0.12207,0.99951,24.98
$BARO,1655.991,101091.02,24.72
$MAG,1656.029,-0.348,-0.273,-0.205,23.2
$BARO,1656.031,101093.55,24.72
$HUM,1656.035,66.1,25.8
$IMU,1656.046,22.216,48.828,17.944,-0.32324,0.23876,1.08203,24.97
$BARO,1656.071,101095.62,24.73
$BARO,1656.112,101096.28,24.73
$HUM,1656.115,66.1,25.8
$IMU,1656.123,-4.394,69.885,26.062,-0.62597,0.17529,0.94189,24.97
$MAG,1656.125,-0.285,-0.235,-0.201,23.4
$BARO,1656.152,101104.69,24.73
$BARO,1656.192,101099.89,24.73
$HUM,1656.196,66.2,25.9
$IMU,1656.199,-16.357,57.128,22.644,-0.76562,0.05126,0.81738,24.94
$MAG,1656.221,-0.229,-0.223,-0.199,23.4
$BARO,1656.232,101092.68,24.73
$BARO,1656.272,101092.48,24.73
$HUM,1656.276,66.0,25.9
$IMU,1656.276,-7.568,36.499,24.108,-0.63476,0.05126,0.73242,25.00
$BARO,1656.313,101091.33,24.74
$MAG,1656.318,-0.201,-0.211,-0.210,23.0
$IMU,1656.352,-1.586,29.174,14.160,-0.64746,0.26757,0.69482,24.99
$BARO,1656.353,101098.74,24.74
$HUM,1656.356,59.1,25.9
$BARO,1656.393,101097.62,24.74
$MAG,1656.414,-0.192,-0.205,-0.210,23.4
$IMU,1656.429,-13.000,9.216,19.042,-0.59228,0.22119,0.67675,25.00
$BARO,1656.433,101102.82,24.74
$HUM,1656.437,58.4,25.9
$BARO,1656.473,101097.26,24.75
$IMU,1656.505,-14.099,0.183,16.174,-0.57275,0.23339,0.73291,25.00
$MAG,1656.510,-0.183,-0.205,-0.199,23.4
$BARO,1656.514,101101.45,24.75
$HUM,1656.517,57.4,25.9
$BARO,1656.554,101103.33,24.75
$IMU,1656.581,-8.117,-3.356,7.934,-0.64404,0.12890,0.89697,25.00
$BARO,1656.594,101092.26,24.75
$HUM,1656.597,57.3,25.9
$MAG,1656.607,-0.204,-0.190,-0.204,23.3
$BARO,1656.634,101097.92,24.75
$IMU,1656.658,3.845,0.976,-3.784,-0.69287,0.06738,1.00878,25.00
$BARO,1656.674,101093.58,24.76
$HUM,1656.677,57.8,25.9
$VBAT,1656.688,4.109
$MAG,1656.703,-0.186,-0.210,-0.208,23.4
$BARO,1656.715,101095.99,24.76
$IMU,1656.734,11.779,7.507,-9.399,-0.82568,0.02587,0.99658,25.02
$BARO,1656.755,101101.72,24.77
$HUM,1656.758,58.5,25.9
$BARO,1656.795,101110.86,24.76
$MAG,1656.799,-0.192,-0.225,-0.216,23.3
$IMU,1656.811,20.080,-2.441,-5.493,-0.50146,0.06884,0.84619,25.05
$BARO,1656.835,101100.84,24.76
$HUM,1656.838,59.1,26.0
$BARO,1656.875,101089.12,24.76
$IMU,1656.887,16.418,4.089,0.976,-0.51367,0.14794,0.67041,25.02
$MAG,1656.895,-0.180,-0.234,-0.219,23.3
$BARO,1656.915,101092.92,24.77
$HUM,1656.918,59.3,25.9
$BARO,1656.956,101101.30,24.77
$IMU,1656.964,4.943,2.197,-8.117,-0.50927,0.18994,0.56689,25.06
$MAG,1656.992,-0.189,-0.219,-0.207,23.4
$BARO,1656.996,101101.96,24.77
$HUM,1656.999,59.3,26.0
$BARO,1657.036,101087.90,24.77
$IMU,1657.040,-1.403,-6.286,-20.324,-0.57519,0.29003,0.63085,25.03
$BARO,1657.076,101099.91,24.77
$HUM,1657.079,59.7,26.0
$MAG,1657.088,-0.219,-0.220,-0.211,23.4
$BARO,1657.116,101103.38,24.77
$IMU,1657.117,2.014,-13.061,-23.498,-0.67138,0.33837,0.83056,25.01
$BARO,1657.157,101106.37,24.77
$HUM,1657.159,66.1,26.0
