$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,40e9354fd73f77c69d8f4d5a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,2557.262,3.295,-2.380,5.798,0.28955,0.12353,0.94091,29.12
$IMU,2557.338,15.625,5.859,20.324,0.48583,0.21191,1.06005,29.14
$BARO,2557.351,101066.50,28.82
$MAG,2557.357,-0.628,-0.439,-0.130,27.6
$BARO,2557.391,101062.06,28.82
$HUM,2557.395,58.4,30.1
$IMU,2557.415,4.577,38.330,27.099,0.33105,0.16113,1.05029,29.16
$BARO,2557.431,101057.28,28.83
$MAG,2557.453,-0.588,-0.423,-0.175,27.6
$BARO,2557.472,101061.96,28.83
$HUM,2557.476,57.1,30.1
$IMU,2557.491,-10.437,72.937,32.165,0.36035,0.20947,1.02587,29.17
$BARO,2557.512,101055.99,28.84
$MAG,2557.550,-0.471,-0.360,-0.244,27.6
$BARO,2557.552,101065.67,28.84
$HUM,2557.556,53.6,30.1
$IMU,2557.568,-30.578,138.122,44.799,0.03222,0.02001,1.08154,29.19
$BARO,2557.592,101061.91,28.84
$BARO,2557.632,101068.81,28.85
$HUM,2557.636,51.5,30.2
$IMU,2557.644,-35.217,183.105,58.471,-0.63867,-0.13769,0.70068,29.15
$MAG,2557.647,-0.309,-0.319,-0.265,27.7
$BARO,2557.673,101060.35,28.85
$BARO,2557.713,101050.12,28.85
$HUM,2557.716,51.1,30.2
$IMU,2557.721,-1.892,154.724,32.958,-0.88330,0.05468,0.46093,29.23
$MAG,2557.743,-0.211,-0.339,-0.250,27.5
$BARO,2557.753,101064.72,28.86
$BARO,2557.793,101063.50,28.86
$HUM,2557.797,52.5,30.2
$IMU,2557.797,30.700,74.645,13.977,-0.88378,0.20703,0.57714,29.19
$BARO,2557.833,101055.09,28.86
$MAG,2557.840,-0.171,-0.367,-0.250,27.5
$BARO,2557.873,101062.13,28.86
$IMU,2557.874,29.907,33.081,-5.310,-0.73046,0.30322,0.64599,29.21
$HUM,2557.877,53.2,30.2
$BARO,2557.913,101060.87,28.87
$MAG,2557.936,-0.142,-0.351,-0.222,27.7
$IMU,2557.950,0.488,37.109,-27.526,-0.65283,0.25390,0.59716,29.23
$BARO,2557.954,101065.84,28.87
$HUM,2557.957,53.5,30.1
$BARO,2557.994,101060.65,28.88
$IMU,2558.026,-17.883,34.057,-30.883,-0.74121,0.19531,0.51855,29.24
$MAG,2558.033,-0.114,-0.321,-0.226,27.7
$BARO,2558.034,101071.15,28.88
$HUM,2558.038,53.4,30.2
$BARO,2558.074,101057.09,28.88
$IMU,2558.103,-39.611,29.296,-31.188,-0.60839,0.11816,0.57910,29.22
$BARO,2558.114,101062.86,28.88
$HUM,2558.118,53.4,30.2
$MAG,2558.129,-0.079,-0.270,-0.192,27.7
$BARO,2558.154,101062.99,28.89
$IMU,2558.179,-62.194,47.119,2.502,-0.66113,-0.09960,0.49316,29.23
$BARO,2558.195,101061.99,28.88
$HUM,2558.198,54.2,30.2
$VBAT,2558.221,4.080
$MAG,2558.226,-0.013,-0.243,-0.141,27.5
$BARO,2558.235,101064.13,28.89
$IMU,2558.256,-51.635,73.547,24.780,-0.68896,-0.05175,0.41943,29.27
$BARO,2558.275,101054.24,28.90
$HUM,2558.278,56.5,30.3
$BARO,2558.315,101059.62,28.89
$MAG,2558.323,0.060,-0.232,-0.055,27.7
$IMU,2558.332,-28.808,104.064,12.451,-0.78076,-0.01416,0.20410,29.25
$BARO,2558.355,101055.45,28.89
$HUM,2558.359,58.2,30.2
$BARO,2558.395,101054.24,28.90
$IMU,2558.409,-18.371,114.013,-8.361,-1.01611,-0.12158,-0.12109,29.28
$MAG,2558.419,0.105,-0.210,0.030,27.8
$BARO,2558.436,101052.75,28.90
$HUM,2558.439,58.8,30.2
$BARO,2558.476,101056.11,28.90
$IMU,2558.485,-11.413,78.186,-10.681,-1.19189,-0.13818,-0.18457,29.27
$MAG,2558.516,0.115,-0.199,0.076,27.5
$BARO,2558.516,101061.84,28.89
$HUM,2558.519,58.8,30.2
$BARO,2558.556,101059.74,28.90
$IMU,2558.562,-11.474,37.597,-17.272,-1.22216,-0.17480,-0.17285,29.24
$BARO,2558.596,101057.99,28.90
$HUM,2558.600,58.8,30.3
$MAG,2558.612,0.106,-0.177,0.073,27.7
$BARO,2558.636,101056.11,28.90
$IMU,2558.638,-2.624,8.422,-24.719,-1.16406,-0.26464,-0.18994,29.27
$BARO,2558.676,101064.86,28.90
$HUM,2558.680,58.8,30.3
