$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,350b13d3046dabcde227a1f7
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,4010.154,-3.906,0.000,2.380,-0.21972,-0.19433,0.79687,33.53
$IMU,4010.230,-8.300,4.089,9.826,-0.27392,-0.20556,0.84472,33.57
$BARO,4010.244,100997.56,33.15
$MAG,4010.250,-0.069,-0.126,-0.108,32.3
$BARO,4010.285,101003.32,33.16
$HUM,4010.289,45.3,34.5
$IMU,4010.307,-0.976,21.606,13.549,-0.24267,-0.15771,0.77685,33.58
$BARO,4010.325,101004.54,33.16
$MAG,4010.347,-0.043,-0.127,-0.087,32.3
$BARO,4010.365,100992.15,33.16
$HUM,4010.369,45.2,34.5
$IMU,4010.383,10.498,46.081,28.747,-0.28906,-0.10449,0.64306,33.57
$BARO,4010.405,101008.46,33.17
$MAG,4010.444,0.013,-0.169,-0.048,32.3
$BARO,4010.445,101001.12,33.17
$HUM,4010.449,45.1,34.5
$IMU,4010.459,28.320,64.636,35.888,-0.31005,0.02099,0.57617,33.58
$BARO,4010.486,101001.39,33.17
$BARO,4010.526,101002.41,33.17
$HUM,4010.530,45.2,34.5
$IMU,4010.536,32.836,79.772,37.536,-0.30468,0.10742,0.45898,33.57
$MAG,4010.541,0.064,-0.201,0.006,32.3
$BARO,4010.566,101002.07,33.17
$BARO,4010.606,100992.13,33.17
$HUM,4010.610,45.0,34.5
$IMU,4010.612,27.099,94.726,45.288,-0.53320,0.07812,0.29345,33.58
$MAG,4010.638,0.111,-0.246,0.063,32.3
$BARO,4010.646,101004.36,33.18
$BARO,4010.686,100993.40,33.18
$IMU,4010.689,31.616,78.308,40.588,-0.60351,0.17041,0.34619,33.62
$HUM,4010.690,44.9,34.5
$BARO,4010.727,100994.57,33.18
$MAG,4010.735,0.123,-0.273,0.100,32.3
$IMU,4010.765,29.541,47.607,28.930,-0.65869,0.24755,0.50976,33.60
$BARO,4010.767,101001.78,33.18
$HUM,4010.770,44.9,34.5
$BARO,4010.807,100998.32,33.19
$MAG,4010.832,0.132,-0.310,0.093,32.3
$IMU,4010.842,15.075,13.610,30.395,-1.02880,0.18750,0.53613,33.65
$BARO,4010.847,100998.93,33.19
$HUM,4010.851,44.9,34.6
$BARO,4010.887,101003.27,33.19
$IMU,4010.918,8.361,-23.376,33.569,-1.12890,0.25585,0.63574,33.67
$BARO,4010.927,101005.44,33.18
$MAG,4010.929,0.129,-0.352,0.066,32.3
$HUM,4010.931,44.8,34.6
$BARO,4010.968,101002.80,33.19
$IMU,4010.995,4.516,-23.010,47.912,-1.12597,0.34716,0.70068,33.69
$BARO,4011.008,101011.14,33.18
$HUM,4011.011,44.8,34.6
$MAG,4011.026,0.127,-0.409,0.049,32.3
$BARO,4011.048,101013.07,33.19
$IMU,4011.071,2.502,-6.469,55.053,-1.14306,0.43652,0.67089,33.64
$VBAT,4011.083,4.035
$BARO,4011.088,101008.29,33.18
$HUM,4011.092,44.8,34.6
$MAG,4011.123,0.109,-0.427,0.064,32.3
$BARO,4011.128,101008.00,33.19
$IMU,4011.148,-1.586,9.155,26.916,-1.07373,0.52978,0.66552,33.64
$BARO,4011.168,101013.94,33.20
$HUM,4011.172,44.7,34.6
$BARO,4011.208,101008.41,33.19
$MAG,4011.220,0.093,-0.477,0.061,32.3
$IMU,4011.224,15.991,5.920,33.752,-1.17822,0.84179,0.89111,33.71
$BARO,4011.249,101005.36,33.19
$HUM,4011.252,44.8,34.6
$BARO,4011.289,101012.07,33.20
$IMU,4011.301,17.639,-38.513,65.002,-0.62060,0.55078,0.54541,33.71
$MAG,4011.317,0.063,-0.516,0.033,32.3
$BARO,4011.329,101016.60,33.20
$HUM,4011.333,44.8,34.6
$BARO,4011.369,101006.97,33.19
$IMU,4011.377,12.329,-47.790,45.532,-0.52880,0.63525,0.56103,33.67
$BARO,4011.409,101007.66,33.20
$HUM,4011.413,44.9,34.6
$MAG,4011.414,0.031,-0.547,-0.004,32.3
$BARO,4011.449,101008.41,33.20
$IMU,4011.453,15.075,-50.537,42.968,-0.39648,0.66796,0.60888,33.67
$BARO,4011.490,101006.85,33.20
$HUM,4011.493,44.9,34.6
$MAG,4011.511,-0.015,-0.598,-0.019,32.5
$BARO,4011.530,101011.12,33.20
$IMU,4011.530,18.493,-42.602,53.649,-0.31250,0.55810,0.62939,33.67
$BARO,4011.570,101010.90,33.20
$HUM,4011.573,44.9,34.6
