$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,373af121e6a3ac0864b96a33
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,5210.646,12.023,30.456,-0.793,-0.54443,0.28076,0.67626,30.58
$IMU,5210.723,38.879,114.013,-1.586,-0.80468,0.50097,0.53076,30.62
$BARO,5210.739,100924.93,30.34
$MAG,5210.745,0.396,0.204,0.451,29.2
$BARO,5210.780,100930.65,30.34
$HUM,5210.784,46.8,31.6
$IMU,5210.799,7.446,94.604,23.620,-0.92480,0.28759,0.43652,30.67
$BARO,5210.820,100929.02,30.34
$MAG,5210.842,0.417,0.151,0.507,29.2
$BARO,5210.860,100922.00,30.35
$HUM,5210.864,46.7,31.6
$IMU,5210.876,13.732,78.063,44.677,-0.77490,0.29736,0.36523,30.61
$BARO,5210.900,100922.61,30.34
$MAG,5210.939,0.414,0.112,0.592,29.2
$BARO,5210.940,100927.07,30.35
$HUM,5210.944,46.7,31.6
$IMU,5210.952,26.672,91.430,55.480,-0.98974,0.60644,0.27441,30.64
$BARO,5210.981,100931.17,30.35
$BARO,5211.021,100931.02,30.36
$HUM,5211.025,46.7,31.6
$IMU,5211.029,5.432,68.664,92.956,-0.94921,0.88671,0.38232,30.65
$MAG,5211.036,0.369,-0.009,0.634,29.3
$BARO,5211.061,100922.27,30.35
$BARO,5211.101,100931.22,30.35
$HUM,5211.105,46.6,31.7
$IMU,5211.105,-59.265,39.001,161.193,-0.71728,1.05517,0.21289,30.66
$MAG,5211.132,0.271,-0.141,0.615,29.2
$BARO,5211.141,100935.94,30.36
$BARO,5211.181,100929.61,30.36
$IMU,5211.182,-74.645,22.094,160.156,-0.44238,0.81152,0.09960,30.67
$HUM,5211.185,46.6,31.7
$BARO,5211.222,100929.22,30.36
$MAG,5211.229,0.162,-0.204,0.585,29.2
$IMU,5211.258,-26.184,-7.568,126.403,-0.14501,0.75195,0.31982,30.68
$BARO,5211.262,100922.20,30.36
$HUM,5211.265,46.7,31.7
$BARO,5211.302,100923.61,30.36
$MAG,5211.326,0.109,-0.228,0.624,29.3
$IMU,5211.335,21.545,10.253,76.904,-0.32666,0.71972,0.08007,30.74
$BARO,5211.342,100920.78,30.36
$HUM,5211.346,46.6,31.7
$BARO,5211.382,100924.07,30.37
$IMU,5211.411,78.186,15.075,5.554,-0.27294,0.83105,-0.01416,30.71
$BARO,5211.422,100928.66,30.36
$MAG,5211.423,0.109,-0.226,0.723,29.2
$HUM,5211.426,46.7,31.7
$BARO,5211.463,100932.51,30.36
$IMU,5211.487,116.516,15.441,-8.544,-0.05517,1.01806,-0.04833,30.70
$BARO,5211.503,100932.51,30.36
$HUM,5211.506,46.6,31.7
$MAG,5211.519,0.091,-0.178,0.804,29.3
$BARO,5211.543,100931.75,30.37
$IMU,5211.564,109.069,26.123,27.221,-0.13378,1.09521,-0.10742,30.71
$VBAT,5211.575,4.009
$BARO,5211.583,100929.87,30.36
$HUM,5211.587,46.6,31.7
$MAG,5211.616,0.046,-0.142,0.874,29.5
$BARO,5211.623,100931.75,30.37
$IMU,5211.640,78.430,20.385,28.198,-0.23437,1.16210,-0.17871,30.71
$BARO,5211.663,100930.95,30.37
$HUM,5211.667,46.6,31.7
$BARO,5211.704,100924.68,30.37
$MAG,5211.713,0.063,-0.132,0.892,29.2
$IMU,5211.717,37.536,-3.723,-1.953,-0.10791,1.09912,-0.23291,30.73
$BARO,5211.744,100926.75,30.37
$HUM,5211.747,46.6,31.7
$BARO,5211.784,100922.51,30.37
$IMU,5211.793,5.126,-15.441,-4.943,0.03857,0.98437,-0.31201,30.70
$MAG,5211.810,0.072,-0.132,0.880,29.2
$BARO,5211.824,100927.97,30.37
$HUM,5211.827,46.6,31.7
$BARO,5211.864,100928.63,30.37
$IMU,5211.870,-3.295,-5.615,11.596,0.00390,0.93115,-0.36621,30.69
$BARO,5211.904,100929.58,30.37
$MAG,5211.906,0.057,-0.130,0.885,29.2
$HUM,5211.908,46.5,31.7
$BARO,5211.944,100927.44,30.37
$IMU,5211.946,3.784,0.000,16.662,-0.06591,0.93750,-0.36865,30.70
$BARO,5211.985,100932.82,30.37
$HUM,5211.988,46.5,31.7
$MAG,5212.003,0.051,-0.127,0.888,29.2
$IMU,5212.023,7.812,-2.441,5.249,-0.04296,0.96289,-0.34033,30.72
$BARO,5212.025,100931.92,30.38
$BARO,5212.065,100924.12,30.37
$HUM,5212.068,46.6,31.7
