$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,93f4325b5d0724404fb30234
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,19190.500,1.770,6.408,-5.065,0.11718,-0.10058,0.92626,21.69
$IMU,19190.576,14.282,18.432,-18.615,0.07421,-0.00732,0.95507,21.67
$BARO,19190.591,101117.51,21.35
$MAG,19190.597,-0.286,0.013,0.316,19.8
$BARO,19190.631,101128.51,21.35
$HUM,19190.635,74.4,22.3
$IMU,19190.653,19.042,17.333,-0.305,-0.05419,0.08056,1.05175,21.72
$BARO,19190.671,101123.61,21.36
$MAG,19190.693,-0.301,0.021,0.327,19.8
$BARO,19190.712,101124.80,21.36
$HUM,19190.715,74.5,22.3
$IMU,19190.729,-0.244,-6.408,-1.586,0.03613,0.01806,1.00683,21.77
$BARO,19190.752,101128.43,21.36
$MAG,19190.789,-0.307,0.006,0.321,19.8
$BARO,19190.792,101119.29,21.37
$HUM,19190.796,74.5,22.3
$IMU,19190.805,-6.225,-19.165,-2.624,0.20312,-0.04150,0.99658,21.74
$BARO,19190.832,101112.39,21.37
$BARO,19190.872,101115.56,21.37
$HUM,19190.876,74.5,22.3
$IMU,19190.882,6.164,-11.169,1.953,-0.11669,0.03808,0.93896,21.74
$MAG,19190.885,-0.313,-0.004,0.325,20.0
$BARO,19190.913,101124.12,21.37
$BARO,19190.953,101113.98,21.37
$HUM,19190.956,74.5,22.4
$IMU,19190.958,10.009,-34.790,-32.470,0.18115,0.16796,0.92724,21.77
$MAG,19190.981,-0.327,-0.012,0.333,19.9
$BARO,19190.993,101115.05,21.37
$BARO,19191.033,101121.22,21.37
$IMU,19191.035,-5.981,-42.663,-40.832,0.35253,-0.02392,0.88574,21.77
$HUM,19191.037,74.4,22.3
$BARO,19191.074,101125.00,21.37
$MAG,19191.077,-0.358,-0.003,0.346,19.8
$IMU,19191.111,0.732,-33.630,-16.113,0.22021,-0.08593,0.93847,21.73
$BARO,19191.114,101122.80,21.37
$HUM,19191.117,74.6,22.4
$BARO,19191.154,101122.27,21.38
$MAG,19191.173,-0.369,-0.006,0.367,19.8
$IMU,19191.188,16.662,-38.452,-14.099,0.21679,0.00683,0.93457,21.79
$BARO,19191.194,101123.88,21.38
$HUM,19191.197,74.5,22.4
$BARO,19191.234,101123.66,21.38
$IMU,19191.264,29.296,-59.265,-21.789,0.36279,0.04833,0.84667,21.82
$MAG,19191.269,-0.397,-0.021,0.397,19.9
$BARO,19191.275,101125.85,21.38
$HUM,19191.277,74.6,22.4
$BARO,19191.315,101122.34,21.38
$IMU,19191.340,39.916,-79.284,-14.099,0.44775,0.12939,0.72265,21.75
$BARO,19191.355,101125.46,21.38
$HUM,19191.358,74.7,22.4
$MAG,19191.365,-0.430,-0.037,0.465,19.8
$BARO,19191.395,101129.48,21.38
$IMU,19191.417,49.682,-94.665,-9.582,0.70996,0.21142,0.68554,21.79
$VBAT,19191.429,3.958
$BARO,19191.436,101128.85,21.38
$HUM,19191.438,74.7,22.4
$MAG,19191.461,-0.468,-0.049,0.525,19.8
$BARO,19191.476,101124.92,21.38
$IMU,19191.493,54.931,-81.054,-12.695,0.89453,0.32666,0.67626,21.83
$BARO,19191.516,101116.10,21.39
$HUM,19191.518,74.8,22.4
$BARO,19191.556,101122.92,21.38
$MAG,19191.557,-0.475,-0.048,0.556,19.8
$IMU,19191.570,39.062,-49.682,-1.342,1.03710,0.53466,0.64892,21.84
$BARO,19191.596,101122.39,21.39
$HUM,19191.599,74.8,22.4
$BARO,19191.637,101124.97,21.39
$IMU,19191.646,-2.258,-1.525,-2.197,0.92333,0.46923,0.55615,21.81
$MAG,19191.653,-0.480,-0.052,0.556,19.9
$BARO,19191.677,101121.27,21.39
$HUM,19191.679,74.9,22.5
$BARO,19191.717,101127.04,21.39
$IMU,19191.723,-31.433,19.958,-9.460,0.62402,0.29882,0.47998,21.81
$MAG,19191.749,-0.474,-0.037,0.534,20.0
$BARO,19191.757,101129.75,21.39
$HUM,19191.759,74.8,22.5
$BARO,19191.798,101130.55,21.39
$IMU,19191.799,-41.076,-2.075,2.075,0.59082,0.28515,0.56250,21.83
$BARO,19191.838,101140.57,21.39
$HUM,19191.839,74.9,22.5
$MAG,19191.845,-0.489,-0.027,0.552,19.8
$IMU,19191.875,-40.283,-23.620,-9.338,0.77001,0.25000,0.64697,21.80
$BARO,19191.878,101118.42,21.39
$BARO,19191.918,101117.03,21.39
$HUM,19191.920,74.7,22.5
