$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,574ca6ae74360e21c6b63ea0
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,22476.621,3.662,-9.948,-4.516,0.56640,-0.54101,0.63769,30.64
$IMU,22476.698,33.813,-14.343,-17.822,0.72070,-0.55859,0.62500,30.64
$BARO,22476.716,100960.78,30.33
$MAG,22476.722,-0.306,0.321,0.315,29.1
$BARO,22476.757,100959.78,30.33
$HUM,22476.761,62.8,34.8
$IMU,22476.774,55.725,42.724,3.906,0.70410,-0.27783,0.83496,30.66
$BARO,22476.797,100958.49,30.33
$MAG,22476.819,-0.228,0.324,0.267,29.1
$BARO,22476.837,100964.10,30.33
$HUM,22476.841,62.2,31.6
$IMU,22476.851,22.155,101.379,70.373,0.60937,0.10009,1.05468,30.69
$BARO,22476.877,100959.30,30.33
$MAG,22476.916,-0.015,0.399,0.304,29.2
$BARO,22476.917,100961.17,30.34
$HUM,22476.921,62.2,31.6
$IMU,22476.927,-75.195,172.851,169.738,-0.14550,0.29638,0.57519,30.72
$BARO,22476.958,100957.93,30.34
$BARO,22476.998,100954.37,30.34
$HUM,22477.001,62.0,31.7
$IMU,22477.004,-171.081,183.715,169.982,-0.42333,0.03173,-0.09619,30.71
$MAG,22477.013,0.147,0.436,0.496,29.2
$BARO,22477.038,100963.46,30.34
$BARO,22477.078,100958.42,30.34
$IMU,22477.080,-197.509,182.495,130.126,-0.57080,-0.30371,-0.30322,30.72
$HUM,22477.082,62.0,31.7
$MAG,22477.109,0.225,0.367,0.703,29.2
$BARO,22477.118,100958.81,30.35
$IMU,22477.157,-166.015,111.328,90.881,-1.68945,-0.89013,-0.34423,30.70
$BARO,22477.158,100952.74,30.34
$HUM,22477.162,61.7,31.7
$BARO,22477.199,100959.61,30.35
$MAG,22477.206,0.249,0.330,0.720,29.2
$IMU,22477.233,-74.035,-34.118,33.935,-1.01953,-0.70019,-0.28466,30.73
$BARO,22477.239,100963.73,30.35
$HUM,22477.242,61.7,31.6
$BARO,22477.279,100961.37,30.36
$MAG,22477.303,0.259,0.301,0.772,29.1
$IMU,22477.310,-53.527,10.253,27.954,-0.90332,-0.65771,-0.09130,30.73
$BARO,22477.319,100955.30,30.36
$HUM,22477.323,61.7,31.7
$BARO,22477.359,100961.95,30.36
$IMU,22477.386,-35.156,17.333,18.676,-1.08886,-0.67626,-0.06445,30.74
$BARO,22477.400,100964.54,30.35
$MAG,22477.400,0.255,0.283,0.772,29.2
$HUM,22477.403,61.7,31.7
$BARO,22477.440,100949.62,30.36
$IMU,22477.462,-10.742,-25.512,-5.004,-0.94824,-0.49853,-0.09423,30.73
$BARO,22477.480,100957.52,30.36
$HUM,22477.483,61.7,31.7
$MAG,22477.496,0.256,0.280,0.771,29.2
$BARO,22477.520,100960.15,30.36
$IMU,22477.539,-11.291,-9.338,-10.559,-1.00439,-0.41503,-0.02441,30.74
$BARO,22477.560,100962.78,30.36
$VBAT,22477.563,3.890
$HUM,22477.564,61.7,31.7
$MAG,22477.593,0.264,0.268,0.765,29.2
$BARO,22477.600,100965.66,30.36
$IMU,22477.615,-5.676,-19.165,2.990,-1.06250,-0.57080,-0.11523,30.74
$BARO,22477.641,100960.61,30.36
$HUM,22477.644,61.7,31.7
$BARO,22477.681,100965.46,30.36
$MAG,22477.690,0.294,0.265,0.717,29.1
$IMU,22477.692,21.301,-43.334,24.963,-0.99267,-0.55224,-0.02441,30.74
$BARO,22477.721,100951.30,30.36
$HUM,22477.724,61.7,31.7
$BARO,22477.761,100959.47,30.36
$IMU,22477.768,33.325,-47.912,20.263,-0.91601,-0.30859,0.15771,30.77
$MAG,22477.787,0.307,0.258,0.676,29.2
$BARO,22477.801,100960.88,30.36
$HUM,22477.804,61.8,31.7
$BARO,22477.841,100957.25,30.37
$IMU,22477.845,10.314,-33.752,-1.953,-0.86376,-0.16162,0.27636,30.73
$BARO,22477.882,100955.42,30.37
$MAG,22477.883,0.294,0.265,0.675,29.2
$HUM,22477.885,61.9,31.7
$IMU,22477.921,-25.512,-11.596,-11.596,-0.88769,-0.27099,0.19531,30.75
$BARO,22477.922,100959.10,30.37
$BARO,22477.962,100957.30,30.37
$HUM,22477.965,61.9,31.8
$MAG,22477.980,0.306,0.241,0.676,29.2
$IMU,22477.998,-39.184,-6.347,10.009,-1.18652,-0.36669,0.16650,30.77
$BARO,22478.002,100968.22,30.37
$BARO,22478.042,100955.47,30.37
$HUM,22478.045,61.9,31.7
