$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,18720caaf18e66087f663dcd
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,35061.157,0.122,2.075,-2.441,0.02294,0.01074,0.91845,21.76
$IMU,35061.233,1.953,3.662,-4.577,0.01464,-0.00244,1.00195,21.77
$BARO,35061.248,100735.87,21.42
$MAG,35061.254,-0.294,0.097,0.220,19.8
$BARO,35061.288,100734.09,21.42
$HUM,35061.292,76.2,22.4
$IMU,35061.310,-2.502,3.295,0.976,-0.01464,-0.02539,1.01953,21.79
$BARO,35061.328,100736.34,21.42
$MAG,35061.350,-0.307,0.108,0.223,20.0
$BARO,35061.368,100738.31,21.42
$HUM,35061.372,76.1,22.4
$IMU,35061.386,-5.310,-0.854,4.028,0.00146,-0.04296,1.01513,21.81
$BARO,35061.409,100731.56,21.42
$MAG,35061.446,-0.297,0.103,0.213,19.8
$BARO,35061.449,100737.19,21.43
$HUM,35061.453,76.0,22.4
$IMU,35061.463,-0.732,-4.882,12.573,0.06298,-0.06054,1.01904,21.83
$BARO,35061.489,100738.43,21.43
$BARO,35061.529,100731.49,21.43
$HUM,35061.533,76.1,22.4
$IMU,35061.539,11.962,-9.521,19.897,0.00195,-0.00683,1.03466,21.82
$MAG,35061.542,-0.300,0.106,0.222,19.9
$BARO,35061.569,100732.88,21.43
$BARO,35061.610,100732.68,21.43
$HUM,35061.613,76.2,22.4
$IMU,35061.616,15.136,-16.906,10.986,0.05029,0.06054,1.07324,21.83
$MAG,35061.638,-0.318,0.118,0.229,19.8
$BARO,35061.650,100731.95,21.44
$BARO,35061.690,100730.76,21.44
$IMU,35061.692,5.126,-20.812,-0.183,0.10595,-0.00976,1.05419,21.89
$HUM,35061.693,76.2,22.5
$BARO,35061.730,100739.55,21.44
$MAG,35061.734,-0.337,0.090,0.234,19.8
$IMU,35061.768,2.197,-24.353,-6.652,0.04248,-0.11669,0.99755,21.86
$BARO,35061.770,100729.61,21.44
$HUM,35061.774,76.4,22.5
$BARO,35061.811,100730.00,21.44
$MAG,35061.830,-0.376,0.060,0.247,19.8
$IMU,35061.845,14.892,-34.790,-26.428,0.15966,-0.06347,0.95556,21.85
$BARO,35061.851,100730.00,21.44
$HUM,35061.854,76.4,22.4
$BARO,35061.891,100734.85,21.45
$IMU,35061.921,23.376,-33.325,-36.499,0.36572,0.12011,0.94287,21.88
$MAG,35061.927,-0.382,0.024,0.276,19.8
$BARO,35061.931,100736.43,21.45
$HUM,35061.934,76.5,22.5
$BARO,35061.971,100731.85,21.45
$IMU,35061.998,15.197,-10.620,-28.808,0.29541,0.16699,0.90869,21.92
$BARO,35062.012,100731.46,21.45
$HUM,35062.015,76.5,22.5
$MAG,35062.023,-0.373,0.001,0.282,19.9
$BARO,35062.052,100736.87,21.45
$IMU,35062.074,8.361,3.051,-19.775,0.22265,0.16455,0.90771,21.88
$BARO,35062.092,100731.66,21.45
$VBAT,35062.092,4.130
$HUM,35062.095,76.6,22.4
$MAG,35062.119,-0.385,-0.009,0.274,19.7
$BARO,35062.132,100739.46,21.45
$IMU,35062.151,4.455,6.713,-10.803,0.21484,0.16992,0.95458,21.86
$BARO,35062.172,100733.17,21.45
$HUM,35062.175,76.5,22.5
$BARO,35062.213,100735.29,21.45
$MAG,35062.215,-0.366,0.000,0.268,19.8
$IMU,35062.227,-3.173,11.718,-8.300,0.16943,0.12939,0.98681,21.92
$BARO,35062.253,100727.59,21.46
$HUM,35062.255,76.5,22.5
$BARO,35062.293,100729.20,21.46
$IMU,35062.304,-8.361,7.385,-5.615,0.14208,0.11279,1.00244,21.88
$MAG,35062.311,-0.367,0.000,0.270,19.8
$BARO,35062.333,100734.36,21.46
$HUM,35062.336,76.4,22.5
$BARO,35062.373,100733.56,21.46
$IMU,35062.380,-8.239,-1.037,-2.624,0.17187,0.12353,1.00537,21.88
$MAG,35062.407,-0.369,0.000,0.271,19.8
$BARO,35062.414,100731.97,21.46
$HUM,35062.416,76.5,22.5
$BARO,35062.454,100736.22,21.46
$IMU,35062.456,-6.835,-3.784,-1.708,0.19726,0.11376,1.00537,21.86
$BARO,35062.494,100736.22,21.46
$HUM,35062.496,76.5,22.5
$MAG,35062.503,-0.382,-0.001,0.273,19.9
$IMU,35062.533,-3.784,-7.324,-0.488,0.18896,0.09228,1.00830,21.95
$BARO,35062.534,100747.35,21.46
$BARO,35062.574,100735.02,21.46
$HUM,35062.577,76.5,22.5
$MAG,35062.600,-0.378,0.001,0.277,19.8
