$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,4238c3b0c06a35bf8236a43a
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,41129.618,2.258,7.141,-1.037,-0.45507,0.04199,0.74560,21.69
$IMU,41129.695,8.361,46.630,14.526,-0.32080,0.06396,0.72851,21.64
$BARO,41129.708,102894.35,21.26
$MAG,41129.714,0.168,0.157,0.222,19.7
$BARO,41129.749,102893.13,21.27
$HUM,41129.753,44.2,22.3
$IMU,41129.771,-27.221,103.515,36.560,-0.63281,0.25634,0.59863,21.69
$BARO,41129.789,102890.75,21.27
$MAG,41129.810,0.282,0.162,0.319,19.7
$BARO,41129.829,102886.77,21.27
$HUM,41129.833,45.5,22.3
$IMU,41129.847,-62.988,135.070,72.937,-0.98681,0.15185,0.16406,21.74
$BARO,41129.869,102880.68,21.27
$MAG,41129.906,0.340,0.127,0.409,19.7
$BARO,41129.910,102893.09,21.28
$HUM,41129.913,46.2,22.3
$IMU,41129.924,-15.869,106.323,67.138,-1.26074,0.16210,0.10888,21.71
$BARO,41129.950,102888.72,21.28
$BARO,41129.990,102883.24,21.28
$HUM,41129.993,45.8,22.2
$IMU,41130.000,40.161,10.375,12.695,-1.12597,0.37988,0.13281,21.71
$MAG,41130.002,0.330,0.114,0.378,19.7
$BARO,41130.030,102887.21,21.28
$BARO,41130.070,102888.41,21.28
$HUM,41130.074,45.1,22.3
$IMU,41130.077,33.081,-53.833,-16.235,-0.93554,0.38867,0.26318,21.75
$MAG,41130.098,0.298,0.112,0.331,19.7
$BARO,41130.111,102884.51,21.29
$BARO,41130.151,102882.12,21.28
$IMU,41130.153,24.108,-52.185,-42.175,-0.80615,0.32275,0.44384,21.74
$HUM,41130.154,44.4,22.3
$BARO,41130.191,102882.04,21.28
$MAG,41130.195,0.268,0.142,0.303,19.7
$IMU,41130.230,21.301,-29.479,-56.274,-0.67773,0.25537,0.53613,21.80
$BARO,41130.231,102888.77,21.29
$HUM,41130.234,44.1,22.3
$BARO,41130.272,102882.60,21.29
$MAG,41130.291,0.256,0.162,0.303,19.8
$IMU,41130.306,6.042,-5.065,-43.945,-0.83007,0.14013,0.37158,21.79
$BARO,41130.312,102889.48,21.29
$HUM,41130.315,44.2,22.3
$BARO,41130.352,102892.55,21.29
$IMU,41130.383,-18.249,-1.098,-18.127,-0.73095,0.12695,0.49755,21.76
$MAG,41130.387,0.261,0.187,0.319,19.7
$BARO,41130.392,102894.13,21.29
$HUM,41130.395,44.8,22.4
$BARO,41130.432,102882.07,21.29
$IMU,41130.459,-47.424,26.916,23.742,-0.88232,-0.01611,0.43066,21.79
$BARO,41130.473,102885.77,21.29
$HUM,41130.475,45.4,22.4
$MAG,41130.483,0.297,0.181,0.343,19.8
$BARO,41130.513,102885.85,21.30
$IMU,41130.535,-33.264,17.272,46.569,-1.11376,0.02148,0.33105,21.79
$VBAT,41130.548,4.000
$BARO,41130.553,102885.04,21.29
$HUM,41130.555,45.7,22.3
$MAG,41130.579,0.304,0.154,0.349,19.7
$BARO,41130.593,102889.70,21.30
$IMU,41130.612,-19.592,2.624,37.414,-0.76660,0.23486,0.44335,21.79
$BARO,41130.634,102882.53,21.30
$HUM,41130.636,45.8,22.4
$BARO,41130.674,102885.12,21.30
$MAG,41130.675,0.318,0.133,0.369,19.7
$IMU,41130.688,-22.766,19.592,42.053,-0.97119,0.20019,0.30126,21.80
$BARO,41130.714,102876.97,21.30
$HUM,41130.716,46.0,22.4
$BARO,41130.754,102876.07,21.31
$IMU,41130.765,-8.789,2.258,37.475,-1.14208,0.37792,0.40869,21.81
$MAG,41130.771,0.324,0.105,0.352,19.7
$BARO,41130.794,102881.43,21.31
$HUM,41130.796,45.9,22.4
$BARO,41130.835,102879.56,21.30
$IMU,41130.841,-23.742,-30.883,30.212,-0.89648,0.37402,0.53564,21.81
$MAG,41130.867,0.294,0.108,0.330,19.8
$BARO,41130.875,102886.92,21.30
$HUM,41130.877,45.9,22.4
$BARO,41130.915,102891.04,21.31
$IMU,41130.918,-21.118,-21.850,-3.845,-0.65820,0.32958,0.55957,21.80
$BARO,41130.955,102890.89,21.30
$HUM,41130.957,45.9,22.4
$MAG,41130.963,0.279,0.135,0.322,19.7
$IMU,41130.994,-1.342,-14.099,-38.635,-0.64257,0.31005,0.58105,21.81
$BARO,41130.996,102883.63,21.31
$BARO,41131.036,102888.19,21.31
$HUM,41131.037,46.0,22.4
$MAG,41131.059,0.280,0.178,0.330,19.8
