$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,92f2a961cc80a67d9c6cbd70
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,43054.771,-10.681,29.296,15.625,-0.00830,-0.03857,0.81494,19.71
$IMU,43054.847,-34.667,111.450,68.359,-0.25732,0.00732,0.81884,19.70
$BARO,43054.867,102787.71,19.31
$MAG,43054.873,0.214,0.184,0.313,17.5
$BARO,43054.907,102793.05,19.32
$HUM,43054.911,50.0,20.2
$IMU,43054.924,-34.362,114.135,64.880,-0.51904,-0.00439,0.75195,19.70
$BARO,43054.947,102787.66,19.32
$MAG,43054.968,0.280,0.177,0.378,17.8
$BARO,43054.988,102789.64,19.32
$HUM,43054.991,49.5,20.3
$IMU,43055.000,-24.353,96.740,30.883,-0.72705,-0.04687,0.60595,19.70
$BARO,43055.028,102786.66,19.33
$MAG,43055.064,0.304,0.195,0.420,17.7
$BARO,43055.068,102794.00,19.32
$HUM,43055.072,49.8,20.3
$IMU,43055.077,-17.944,57.250,3.540,-0.79541,-0.08789,0.56933,19.71
$BARO,43055.108,102785.88,19.33
$BARO,43055.149,102789.20,19.33
$HUM,43055.152,49.5,20.3
$IMU,43055.153,-21.484,21.484,-6.591,-0.76611,-0.22167,0.62988,19.74
$MAG,43055.160,0.312,0.208,0.435,17.7
$BARO,43055.189,102778.69,19.34
$BARO,43055.229,102787.81,19.34
$IMU,43055.229,-10.681,3.601,-21.423,-0.75732,-0.24755,0.63818,19.71
$HUM,43055.232,49.6,20.3
$MAG,43055.256,0.291,0.223,0.436,17.5
$BARO,43055.269,102796.93,19.33
$IMU,43055.306,1.159,-10.192,-31.250,-0.65429,-0.19873,0.70019,19.77
$BARO,43055.310,102787.35,19.33
$HUM,43055.312,49.5,20.3
$BARO,43055.350,102791.98,19.34
$MAG,43055.352,0.280,0.253,0.444,17.7
$IMU,43055.382,-8.300,-6.896,-23.986,-0.41894,-0.13476,0.83886,19.77
$BARO,43055.390,102790.20,19.34
$HUM,43055.393,49.6,20.4
$BARO,43055.430,102780.06,19.34
$MAG,43055.448,0.295,0.259,0.492,17.7
$IMU,43055.459,-46.630,39.489,11.108,-0.51464,-0.30029,0.66113,19.77
$BARO,43055.471,102785.06,19.34
$HUM,43055.473,49.2,20.3
$BARO,43055.511,102788.40,19.34
$IMU,43055.535,-49.804,68.969,34.118,-1.01416,-0.44921,0.44335,19.74
$MAG,43055.544,0.327,0.249,0.553,17.8
$BARO,43055.551,102787.79,19.34
$HUM,43055.553,49.2,20.4
$BARO,43055.591,102792.61,19.35
$IMU,43055.612,-12.939,44.738,6.347,-0.84570,-0.32861,0.49023,19.77
$BARO,43055.632,102782.03,19.34
$HUM,43055.634,49.2,20.4
$MAG,43055.640,0.331,0.241,0.583,17.9
$BARO,43055.672,102780.94,19.35
$IMU,43055.688,-18.920,34.790,25.878,-0.98535,-0.24316,0.48925,19.86
$VBAT,43055.699,3.950
$BARO,43055.712,102791.95,19.35
$HUM,43055.714,49.1,20.4
$MAG,43055.736,0.345,0.201,0.594,17.9
$BARO,43055.752,102791.22,19.35
$IMU,43055.764,-21.545,9.399,35.400,-1.08935,-0.32812,0.29882,19.79
$BARO,43055.793,102779.74,19.35
$HUM,43055.794,49.3,20.4
$MAG,43055.832,0.342,0.193,0.570,17.8
$BARO,43055.833,102783.89,19.35
$IMU,43055.841,6.469,-22.644,12.756,-1.05908,-0.05078,0.45019,19.78
$BARO,43055.873,102787.54,19.35
$HUM,43055.874,49.3,20.4
$BARO,43055.913,102787.08,19.35
$IMU,43055.917,2.624,-58.654,-16.418,-1.16455,-0.03515,0.41601,19.81
$MAG,43055.928,0.333,0.219,0.514,17.8
$BARO,43055.954,102795.68,19.35
$HUM,43055.955,49.4,20.4
$BARO,43055.994,102789.61,19.36
$IMU,43055.994,-4.699,-102.233,-23.376,-1.02832,-0.39013,0.41992,19.80
$MAG,43056.023,0.301,0.211,0.394,17.8
$BARO,43056.034,102792.90,19.35
$HUM,43056.035,49.7,20.4
$IMU,43056.070,30.090,-137.756,16.845,-0.99218,-0.42089,0.63623,19.80
$BARO,43056.074,102786.25,19.36
$BARO,43056.115,102788.81,19.36
$HUM,43056.115,49.9,20.4
$MAG,43056.119,0.235,0.136,0.268,17.8
$IMU,43056.147,51.208,-168.640,51.147,-0.80322,0.08984,1.28417,19.80
$BARO,43056.155,102793.17,19.36
$BARO,43056.195,102777.13,19.36
$HUM,43056.196,49.7,20.4
