$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,8c5215dd3b42215eb82459de
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,43989.855,5.065,16.357,-11.962,0.24560,-0.04199,0.92919,23.25
$IMU,43989.931,29.785,78.063,-34.057,-0.25781,0.16455,0.91943,23.30
$BARO,43989.944,102739.69,22.79
$MAG,43989.950,-0.193,-0.013,0.126,21.0
$BARO,43989.985,102726.70,22.80
$HUM,43989.989,45.5,24.3
$IMU,43990.008,24.658,55.175,-23.864,-0.33154,0.15039,0.85253,23.31
$BARO,43990.025,102723.97,22.81
$MAG,43990.047,-0.154,-0.039,0.118,21.2
$BARO,43990.065,102731.75,22.81
$HUM,43990.069,45.3,23.8
$IMU,43990.084,22.033,32.897,-30.761,-0.33544,0.20214,0.87207,23.29
$BARO,43990.105,102731.04,22.81
$MAG,43990.143,-0.135,-0.048,0.114,21.0
$BARO,43990.146,102736.43,22.81
$HUM,43990.149,45.3,23.8
$IMU,43990.161,11.657,21.850,-22.277,-0.39160,0.14208,0.88330,23.30
$BARO,43990.186,102734.04,22.81
$BARO,43990.226,102725.53,22.82
$HUM,43990.230,45.1,23.9
$IMU,43990.237,8.422,13.916,-19.348,-0.38916,0.14941,0.86523,23.35
$MAG,43990.239,-0.130,-0.052,0.120,21.2
$BARO,43990.266,102730.46,22.81
$BARO,43990.307,102734.79,22.82
$HUM,43990.310,45.0,23.9
$IMU,43990.313,4.577,7.446,-14.343,-0.39892,0.18554,0.84667,23.37
$MAG,43990.335,-0.124,-0.051,0.123,21.0
$BARO,43990.347,102738.57,22.82
$BARO,43990.387,102723.41,22.82
$HUM,43990.390,45.0,23.9
$IMU,43990.390,-0.122,0.305,-8.728,-0.42138,0.17871,0.83935,23.35
$BARO,43990.427,102729.60,22.82
$MAG,43990.432,-0.138,-0.064,0.117,21.2
$IMU,43990.466,-1.220,-9.521,-7.080,-0.39550,0.18945,0.88330,23.37
$BARO,43990.467,102730.68,22.83
$HUM,43990.470,45.0,23.9
$BARO,43990.508,102722.29,22.83
$MAG,43990.528,-0.150,-0.054,0.115,21.2
$IMU,43990.543,-1.831,-14.587,-6.958,-0.32958,0.21191,0.92236,23.36
$BARO,43990.548,102717.20,22.83
$HUM,43990.551,45.1,23.9
$BARO,43990.588,102724.51,22.83
$IMU,43990.619,-3.417,-10.742,-6.774,-0.33398,0.21630,0.95019,23.38
$MAG,43990.624,-0.151,-0.052,0.117,21.2
$BARO,43990.628,102728.58,22.83
$HUM,43990.631,45.1,23.9
$BARO,43990.668,102730.36,22.83
$IMU,43990.696,-2.990,-8.178,-10.192,-0.29785,0.17822,0.96728,23.36
$BARO,43990.709,102733.87,22.83
$HUM,43990.711,45.1,23.9
$MAG,43990.721,-0.160,-0.046,0.121,21.2
$BARO,43990.749,102733.82,22.84
$IMU,43990.772,-0.915,-1.403,-12.634,-0.30175,0.19482,0.99169,23.40
$VBAT,43990.785,3.939
$BARO,43990.789,102719.00,22.83
$HUM,43990.792,45.0,23.9
$MAG,43990.817,-0.139,-0.049,0.117,21.0
$BARO,43990.829,102736.89,22.84
$IMU,43990.848,-4.882,6.835,-11.047,-0.30224,0.14892,0.96386,23.40
$BARO,43990.870,102728.31,22.84
$HUM,43990.872,45.1,24.0
$BARO,43990.910,102731.92,22.84
$MAG,43990.913,-0.133,-0.036,0.123,21.2
$IMU,43990.925,-4.943,12.756,-6.958,-0.36621,0.10253,0.91699,23.45
$BARO,43990.950,102725.34,22.84
$HUM,43990.952,45.0,24.0
$BARO,43990.990,102733.99,22.85
$IMU,43991.001,1.098,9.094,-6.469,-0.39355,0.12500,0.93066,23.37
$MAG,43991.009,-0.132,-0.034,0.120,21.2
$BARO,43991.030,102725.22,22.85
$HUM,43991.032,44.9,23.9
$BARO,43991.071,102728.92,22.84
$IMU,43991.078,1.708,5.432,-6.042,-0.37548,0.12500,0.92382,23.38
$MAG,43991.106,-0.121,-0.051,0.120,21.0
$BARO,43991.111,102734.89,22.84
$HUM,43991.113,45.0,23.9
$BARO,43991.151,102733.80,22.85
$IMU,43991.154,2.258,3.540,-3.234,-0.42333,0.13085,0.91503,23.42
$BARO,43991.191,102731.19,22.85
$HUM,43991.193,45.1,24.0
$MAG,43991.202,-0.133,-0.048,0.108,21.2
$IMU,43991.231,5.981,-1.647,-7.385,-0.36718,0.15527,0.91650,23.45
$BARO,43991.231,102731.70,22.85
$BARO,43991.272,102732.87,22.85
$HUM,43991.273,45.0,24.0
