$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,2cd1a645bddd9818e10992bb
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,45548.514,-0.854,1.525,-2.502,-0.06982,0.12011,0.93798,15.61
$IMU,45548.591,-0.183,2.075,-5.554,-0.08349,0.13085,0.99218,15.68
$BARO,45548.603,102564.34,15.28
$MAG,45548.609,-0.273,-0.090,0.228,13.3
$BARO,45548.643,102575.82,15.29
$HUM,45548.647,69.9,15.9
$IMU,45548.667,-0.610,0.061,-2.258,-0.07861,0.15332,0.99902,15.67
$BARO,45548.684,102567.75,15.29
$MAG,45548.705,-0.271,-0.099,0.231,13.5
$BARO,45548.724,102568.34,15.29
$HUM,45548.728,70.0,16.0
$IMU,45548.744,-3.601,-1.281,-0.976,-0.08203,0.12402,0.99707,15.65
$BARO,45548.764,102567.70,15.30
$MAG,45548.800,-0.280,-0.091,0.222,13.3
$BARO,45548.805,102567.12,15.30
$HUM,45548.808,69.8,16.0
$IMU,45548.820,-3.601,-2.258,-0.549,-0.07617,0.11962,1.00146,15.71
$BARO,45548.845,102575.58,15.30
$BARO,45548.885,102567.12,15.30
$HUM,45548.888,69.9,16.0
$MAG,45548.896,-0.271,-0.082,0.232,13.3
$IMU,45548.896,-2.380,-2.197,-0.976,-0.07275,0.12060,1.00781,15.72
$BARO,45548.926,102568.00,15.30
$BARO,45548.966,102563.07,15.31
$HUM,45548.969,70.0,16.0
$IMU,45548.973,-0.976,-1.159,-1.342,-0.06689,0.11767,0.99951,15.74
$MAG,45548.991,-0.274,-0.082,0.235,13.5
$BARO,45549.006,102571.68,15.31
$BARO,45549.046,102565.32,15.31
$HUM,45549.049,70.0,16.0
$IMU,45549.049,0.610,-0.122,-1.464,-0.06933,0.12158,0.99707,15.70
$BARO,45549.087,102568.73,15.31
$MAG,45549.087,-0.276,-0.082,0.228,13.4
$IMU,45549.126,-0.305,-0.366,-1.403,-0.10644,0.12500,0.99658,15.72
$BARO,45549.127,102565.32,15.31
$HUM,45549.129,69.8,16.1
$BARO,45549.167,102569.61,15.32
$MAG,45549.183,-0.286,-0.084,0.229,13.5
$IMU,45549.202,-1.037,-5.493,-0.305,-0.07177,0.11474,0.99902,15.77
$BARO,45549.208,102578.16,15.31
$HUM,45549.210,69.9,16.1
$BARO,45549.248,102570.51,15.31
$MAG,45549.278,-0.294,-0.079,0.235,13.5
$IMU,45549.278,-1.892,-5.004,1.953,-0.01660,0.11572,0.99804,15.74
$BARO,45549.288,102575.50,15.32
$HUM,45549.290,69.9,16.1
$BARO,45549.328,102565.27,15.32
$IMU,45549.355,-1.342,2.136,1.403,-0.03466,0.10058,1.00634,15.77
$BARO,45549.369,102561.27,15.31
$HUM,45549.370,70.0,16.1
$MAG,45549.374,-0.277,-0.073,0.231,13.3
$BARO,45549.409,102570.26,15.32
$IMU,45549.431,2.624,5.371,0.671,-0.06542,0.10986,1.00830,15.78
$VBAT,45549.439,3.898
$BARO,45549.449,102569.80,15.32
$HUM,45549.451,70.0,16.1
$MAG,45549.469,-0.279,-0.084,0.228,13.4
$BARO,45549.490,102569.95,15.33
$IMU,45549.508,1.403,1.647,-1.220,-0.06250,0.12939,1.01269,15.81
$BARO,45549.530,102572.63,15.32
$HUM,45549.531,69.9,16.2
$MAG,45549.565,-0.285,-0.082,0.229,13.5
$BARO,45549.570,102563.39,15.32
$IMU,45549.584,-2.502,-1.647,-3.356,-0.06347,0.11474,1.00390,15.75
$BARO,45549.610,102567.97,15.33
$HUM,45549.611,70.0,16.1
$BARO,45549.651,102569.95,15.33
$MAG,45549.661,-0.282,-0.082,0.229,13.5
$IMU,45549.661,-2.319,-2.685,-1.770,-0.06152,0.10400,0.99365,15.78
$BARO,45549.691,102558.54,15.33
$HUM,45549.691,70.1,16.1
$BARO,45549.731,102564.24,15.33
$IMU,45549.737,-1.342,-3.356,1.037,-0.10205,0.14599,1.05712,15.80
$MAG,45549.756,-0.292,-0.073,0.226,13.5
$BARO,45549.772,102568.17,15.33
$HUM,45549.772,70.0,16.1
$BARO,45549.812,102569.04,15.33
$IMU,45549.813,-4.455,-14.099,4.455,-0.11621,0.14160,1.06591,15.81
$BARO,45549.852,102576.92,15.33
$HUM,45549.852,69.9,16.1
$MAG,45549.852,-0.310,-0.064,0.232,13.3
$IMU,45549.890,-5.798,-29.785,5.004,0.03125,0.06005,1.00146,15.83
$BARO,45549.893,102574.48,15.33
$HUM,45549.932,70.0,16.1
$BARO,45549.933,102568.46,15.33
