$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,dd86a8f975ed79145fbb0336
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,48632.207,7.507,9.887,-6.896,0.45947,-0.05322,1.02734,20.08
$IMU,48632.284,46.691,54.260,-18.859,0.36035,-0.05322,1.41113,20.01
$BARO,48632.301,102467.50,19.66
$MAG,48632.307,-0.196,0.078,0.195,18.2
$BARO,48632.341,102472.64,19.66
$HUM,48632.345,58.5,20.6
$IMU,48632.360,49.499,89.294,-9.582,-0.01855,-0.07519,1.18847,20.06
$BARO,48632.381,102474.18,19.66
$MAG,48632.403,-0.162,0.031,0.169,18.0
$BARO,48632.422,102460.89,19.66
$HUM,48632.425,58.2,20.6
$IMU,48632.436,43.090,74.768,-18.432,-0.38085,0.01708,0.82470,20.08
$BARO,48632.462,102473.20,19.66
$MAG,48632.498,-0.124,0.031,0.156,18.0
$BARO,48632.502,102468.18,19.67
$HUM,48632.506,57.8,20.7
$IMU,48632.513,20.935,50.354,-46.508,-0.22558,0.47363,0.71484,20.06
$BARO,48632.542,102475.86,19.67
$BARO,48632.583,102469.77,19.67
$HUM,48632.586,58.0,20.7
$IMU,48632.589,-27.038,71.594,-25.268,-0.03564,0.18603,0.81103,20.07
$MAG,48632.594,-0.040,0.087,0.171,18.0
$BARO,48632.623,102469.57,19.67
$BARO,48632.663,102474.13,19.67
$HUM,48632.666,58.0,20.7
$IMU,48632.666,-41.137,140.563,3.784,-0.43847,0.01806,0.68408,20.11
$MAG,48632.690,0.111,0.097,0.213,18.2
$BARO,48632.703,102474.54,19.67
$IMU,48632.742,-28.076,174.133,47.790,-1.08935,0.13134,0.39941,20.11
$BARO,48632.743,102480.86,19.68
$HUM,48632.746,58.1,20.7
$BARO,48632.784,102471.45,19.68
$MAG,48632.786,0.193,0.064,0.259,18.0
$IMU,48632.819,-7.629,120.605,47.973,-1.20458,0.24365,0.37255,20.09
$BARO,48632.824,102467.16,19.68
$HUM,48632.827,58.2,20.7
$BARO,48632.864,102470.59,19.69
$MAG,48632.882,0.235,0.040,0.286,18.0
$IMU,48632.895,-8.544,67.138,33.447,-1.20068,0.08740,0.06884,20.11
$BARO,48632.904,102472.32,19.68
$HUM,48632.907,58.1,20.7
$BARO,48632.945,102471.20,19.69
$IMU,48632.971,-11.596,18.493,8.056,-0.78369,0.14013,0.20312,20.11
$MAG,48632.978,0.235,0.064,0.304,18.2
$BARO,48632.985,102467.43,19.69
$HUM,48632.987,58.3,20.7
$BARO,48633.025,102459.70,19.69
$IMU,48633.048,-21.118,6.225,-0.244,-0.64257,0.19726,0.23095,20.13
$BARO,48633.065,102474.88,19.68
$HUM,48633.068,58.1,20.7
$MAG,48633.074,0.241,0.066,0.315,18.2
$BARO,48633.106,102471.98,19.69
$IMU,48633.124,-14.404,-1.647,5.676,-0.80908,0.26513,0.30224,20.17
$VBAT,48633.135,3.816
$BARO,48633.146,102471.01,19.69
$HUM,48633.148,58.1,20.7
$MAG,48633.170,0.235,0.067,0.313,17.9
$BARO,48633.186,102475.83,19.69
$IMU,48633.201,-7.690,-5.859,7.751,-0.92236,0.21582,0.45117,20.15
$BARO,48633.226,102466.40,19.70
$HUM,48633.228,58.2,20.7
$MAG,48633.266,0.261,0.064,0.313,18.0
$BARO,48633.267,102475.05,19.69
$IMU,48633.277,-3.723,15.258,-6.042,-1.09570,0.22802,0.55419,20.15
$BARO,48633.307,102474.52,19.70
$HUM,48633.308,58.2,20.8
$BARO,48633.347,102457.68,19.70
$IMU,48633.354,-17.395,34.484,-24.780,-1.11376,0.07373,0.40234,20.17
$MAG,48633.362,0.294,0.081,0.337,18.0
$BARO,48633.387,102473.35,19.70
$HUM,48633.389,58.3,20.7
$BARO,48633.428,102472.93,19.70
$IMU,48633.430,-16.235,14.282,-26.916,-1.36376,-0.04931,0.17480,20.17
$MAG,48633.458,0.276,0.111,0.319,18.0
$BARO,48633.468,102470.28,19.69
$HUM,48633.469,58.3,20.8
$IMU,48633.506,-8.850,-44.128,-27.954,-0.88574,0.07226,0.27783,20.17
$BARO,48633.508,102477.91,19.70
$BARO,48633.548,102472.08,19.69
$HUM,48633.549,58.1,20.8
$MAG,48633.554,0.201,0.136,0.285,18.0
$IMU,48633.583,-8.056,-87.341,-22.888,-0.60156,0.14501,0.24755,20.18
$BARO,48633.589,102471.15,19.70
$BARO,48633.629,102468.06,19.70
$HUM,48633.629,58.2,20.8
$MAG,48633.649,0.144,0.169,0.238,18.2
