$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,e25dd313b45b03e88d77605e
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,62203.780,0.610,2.441,-1.098,0.14160,0.13037,0.93847,29.52
$IMU,62203.856,1.220,12.207,-8.422,0.06396,0.17041,0.98339,29.60
$BARO,62203.869,101559.80,29.42
$MAG,62203.875,-0.538,-0.415,-0.252,28.2
$BARO,62203.909,101556.58,29.42
$HUM,62203.913,52.4,30.6
$IMU,62203.933,-4.089,13.977,-9.338,0.00683,0.11962,0.98876,29.57
$BARO,62203.950,101558.87,29.43
$MAG,62203.972,-0.549,-0.414,-0.241,28.2
$BARO,62203.990,101555.51,29.43
$HUM,62203.994,52.3,30.6
$IMU,62204.009,-6.835,7.080,-9.887,-0.09960,0.11181,1.03466,29.57
$BARO,62204.030,101565.60,29.43
$MAG,62204.069,-0.540,-0.414,-0.240,28.2
$BARO,62204.070,101560.55,29.43
$HUM,62204.074,52.3,30.6
$IMU,62204.086,-6.225,-3.906,-5.554,0.03466,0.03466,1.00585,29.61
$BARO,62204.110,101557.65,29.43
$BARO,62204.151,101562.89,29.44
$HUM,62204.154,52.5,30.6
$IMU,62204.162,-6.347,-11.108,-3.112,0.09960,0.15380,0.97021,29.57
$MAG,62204.165,-0.546,-0.403,-0.243,28.2
$BARO,62204.191,101564.31,29.44
$BARO,62204.231,101563.62,29.44
$HUM,62204.235,52.6,30.7
$IMU,62204.238,-9.399,0.183,-2.380,0.04150,0.08203,1.00878,29.62
$MAG,62204.262,-0.543,-0.393,-0.243,28.3
$BARO,62204.271,101553.61,29.44
$BARO,62204.311,101558.26,29.44
$HUM,62204.315,52.5,30.7
$IMU,62204.315,-7.324,3.540,-4.821,0.03271,0.03369,1.02832,29.62
$BARO,62204.351,101562.28,29.44
$MAG,62204.359,-0.538,-0.393,-0.243,28.2
$IMU,62204.391,-1.342,3.662,-5.615,0.02441,0.04931,1.01123,29.63
$BARO,62204.392,101559.07,29.44
$HUM,62204.395,52.5,30.7
$BARO,62204.432,101561.41,29.45
$MAG,62204.456,-0.544,-0.396,-0.232,28.2
$IMU,62204.468,0.122,2.746,-4.882,0.02392,0.07910,1.00000,29.62
$BARO,62204.472,101553.61,29.44
$HUM,62204.475,52.5,30.7
$BARO,62204.512,101557.73,29.45
$IMU,62204.544,-3.540,2.624,-3.417,0.01513,0.05419,1.00585,29.66
$MAG,62204.552,-0.540,-0.402,-0.238,28.3
$BARO,62204.553,101567.26,29.45
$HUM,62204.556,52.4,30.8
$BARO,62204.593,101560.19,29.45
$IMU,62204.621,-5.065,2.929,-2.197,0.00976,0.04199,1.01269,29.69
$BARO,62204.633,101569.28,29.45
$HUM,62204.636,52.5,30.7
$MAG,62204.649,-0.543,-0.385,-0.241,28.2
$BARO,62204.673,101560.07,29.46
$IMU,62204.697,-4.455,2.319,-0.854,0.01464,0.03906,1.01269,29.63
$BARO,62204.713,101568.28,29.45
$HUM,62204.716,52.5,30.7
$VBAT,62204.722,4.127
$MAG,62204.746,-0.543,-0.379,-0.250,28.2
$BARO,62204.753,101568.21,29.45
$IMU,62204.774,-2.990,1.525,-0.183,0.01025,0.02587,1.01562,29.65
$BARO,62204.793,101565.31,29.46
$HUM,62204.797,52.6,30.7
$BARO,62204.834,101564.72,29.46
$MAG,62204.843,-0.538,-0.384,-0.240,28.2
$IMU,62204.850,0.000,0.793,-1.159,0.01464,0.03710,1.01660,29.68
$BARO,62204.874,101558.85,29.46
$HUM,62204.877,52.5,30.8
$BARO,62204.914,101562.43,29.45
$IMU,62204.927,1.586,0.976,-3.417,0.01269,0.03466,1.00878,29.65
$MAG,62204.939,-0.547,-0.384,-0.240,28.2
$BARO,62204.954,101561.48,29.46
$HUM,62204.957,52.4,30.7
$BARO,62204.994,101563.16,29.46
$IMU,62205.003,1.647,2.075,-4.821,-0.00146,0.04199,1.00830,29.66
$BARO,62205.034,101565.53,29.46
$MAG,62205.036,-0.550,-0.396,-0.243,28.2
$HUM,62205.037,52.4,30.7
$BARO,62205.075,101566.60,29.46
$IMU,62205.079,0.915,1.647,-3.051,-0.00292,0.05175,1.00732,29.62
$BARO,62205.115,101568.62,29.46
$HUM,62205.118,52.5,30.8
$MAG,62205.133,-0.538,-0.390,-0.244,28.2
$BARO,62205.155,101567.01,29.46
$IMU,62205.156,-0.671,1.159,0.000,0.00390,0.04199,1.00732,29.69
$BARO,62205.195,101559.33,29.46
$HUM,62205.198,52.5,30.8
