$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,18fc04cd241fd7603d305ebc
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,63294.919,5.065,-3.662,-1.159,-0.01464,-0.25781,0.83691,28.23
$IMU,63294.995,31.188,-20.080,-10.925,0.05322,-0.11425,0.93017,28.25
$BARO,63295.010,101499.81,28.21
$MAG,63295.016,-0.577,-0.370,-0.243,26.6
$BARO,63295.050,101498.28,28.22
$HUM,63295.055,55.4,29.4
$IMU,63295.071,30.944,-7.324,-27.893,0.06591,-0.04638,0.92138,28.27
$BARO,63295.091,101503.56,28.23
$MAG,63295.113,-0.580,-0.400,-0.250,26.6
$BARO,63295.131,101499.35,28.23
$HUM,63295.135,55.3,29.5
$IMU,63295.148,25.939,7.446,-33.935,0.03466,-0.00732,0.90039,28.32
$BARO,63295.171,101503.91,28.23
$MAG,63295.209,-0.588,-0.441,-0.262,26.6
$BARO,63295.211,101503.64,28.23
$HUM,63295.215,55.1,29.5
$IMU,63295.224,25.939,7.568,-30.883,0.06445,0.09765,0.92822,28.30
$BARO,63295.251,101499.20,28.23
$BARO,63295.292,101500.08,28.24
$HUM,63295.295,55.0,29.4
$IMU,63295.301,18.920,9.460,-28.930,0.09228,0.18652,0.93115,28.27
$MAG,63295.306,-0.576,-0.457,-0.259,26.7
$BARO,63295.332,101501.35,28.24
$BARO,63295.372,101502.08,28.24
$HUM,63295.376,54.7,29.5
$IMU,63295.377,6.408,15.136,-22.705,0.00976,0.26074,0.98583,28.30
$MAG,63295.403,-0.579,-0.478,-0.267,26.8
$BARO,63295.412,101503.37,28.24
$BARO,63295.452,101495.91,28.24
$IMU,63295.454,-12.451,16.662,-18.859,-0.06982,0.32666,1.05761,28.32
$HUM,63295.456,54.9,29.5
$BARO,63295.493,101506.86,28.24
$MAG,63295.499,-0.567,-0.454,-0.258,26.7
$IMU,63295.530,-24.597,-4.943,-1.342,-0.12890,0.15380,1.02001,28.33
$BARO,63295.533,101506.05,28.25
$HUM,63295.536,55.1,29.5
$BARO,63295.573,101501.61,28.24
$MAG,63295.596,-0.600,-0.433,-0.246,26.7
$IMU,63295.607,-25.512,-28.808,-2.197,0.00244,0.01220,1.01855,28.37
$BARO,63295.613,101504.64,28.25
$HUM,63295.617,55.2,29.5
$BARO,63295.653,101502.35,28.26
$IMU,63295.683,-13.122,-29.724,-8.728,0.17285,-0.05322,0.97851,28.39
$MAG,63295.692,-0.615,-0.427,-0.244,26.7
$BARO,63295.694,101502.35,28.25
$HUM,63295.697,55.3,29.5
$BARO,63295.734,101503.37,28.26
$IMU,63295.760,3.662,-18.432,-1.708,0.18261,0.07080,0.99951,28.37
$BARO,63295.774,101501.76,28.26
$HUM,63295.777,55.2,29.6
$MAG,63295.789,-0.618,-0.435,-0.234,26.7
$BARO,63295.814,101504.78,28.26
$IMU,63295.836,-1.770,-13.854,6.164,0.18945,0.11181,0.99267,28.39
$VBAT,63295.849,4.084
$BARO,63295.854,101499.54,28.26
$HUM,63295.857,55.2,29.6
$MAG,63295.886,-0.627,-0.417,-0.232,26.8
$BARO,63295.894,101496.98,28.26
$IMU,63295.912,-11.901,-6.225,8.605,0.23242,0.00048,0.97509,28.37
$BARO,63295.935,101496.18,28.26
$HUM,63295.938,55.4,29.5
$BARO,63295.975,101502.22,28.26
$MAG,63295.982,-0.622,-0.408,-0.238,26.7
$IMU,63295.989,-7.263,4.516,11.352,0.19091,-0.00634,1.00683,28.38
$BARO,63296.015,101503.08,28.26
$HUM,63296.018,55.2,29.6
$BARO,63296.055,101503.22,28.26
$IMU,63296.065,-5.981,6.774,9.399,0.15380,0.01416,0.99804,28.40
$MAG,63296.079,-0.618,-0.396,-0.226,26.7
$BARO,63296.095,101507.78,28.27
$HUM,63296.098,55.3,29.6
$BARO,63296.136,101500.13,28.27
$IMU,63296.142,-10.986,5.798,7.202,0.18261,-0.02636,0.98095,28.40
$MAG,63296.175,-0.610,-0.379,-0.238,26.8
$BARO,63296.176,101493.16,28.26
$HUM,63296.179,55.3,29.6
$BARO,63296.216,101502.15,28.27
$IMU,63296.218,-13.183,10.314,9.887,0.13183,-0.05468,0.98925,28.38
$BARO,63296.256,101495.30,28.27
$HUM,63296.259,55.3,29.5
$MAG,63296.272,-0.594,-0.370,-0.238,27.0
$IMU,63296.295,-11.596,8.117,8.483,0.10351,-0.07470,1.01611,28.41
$BARO,63296.296,101503.37,28.27
$BARO,63296.336,101508.00,28.27
$HUM,63296.339,55.3,29.6
