$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,58ce42aa7c4bd448c501a21f
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,67971.762,6.652,3.845,-10.009,-0.01123,-0.22998,0.89208,26.80
$IMU,67971.838,31.677,14.648,-34.606,-0.08154,-0.00439,0.97998,26.85
$BARO,67971.856,101009.24,26.45
$MAG,67971.862,-0.174,-0.508,-0.232,24.9
$BARO,67971.896,101020.40,26.46
$HUM,67971.900,60.9,28.2
$IMU,67971.915,28.930,14.953,-12.512,-0.16601,-0.06982,0.98095,26.84
$BARO,67971.937,101018.60,26.47
$MAG,67971.959,-0.174,-0.520,-0.216,25.0
$BARO,67971.977,101014.65,26.47
$HUM,67971.981,60.9,27.8
$IMU,67971.991,14.221,7.934,-16.235,-0.09375,-0.04541,0.99658,26.85
$BARO,67972.017,101016.45,26.47
$MAG,67972.055,-0.163,-0.520,-0.229,25.0
$BARO,67972.057,101023.55,26.47
$HUM,67972.061,60.7,27.8
$IMU,67972.068,1.098,3.967,-8.911,-0.08544,-0.02929,1.00195,26.82
$BARO,67972.097,101022.94,26.47
$BARO,67972.138,101019.53,26.48
$HUM,67972.141,60.9,27.8
$IMU,67972.144,-5.798,1.037,0.793,-0.06738,-0.06005,0.99365,26.84
$MAG,67972.152,-0.168,-0.513,-0.226,24.9
$BARO,67972.178,101022.21,26.48
$BARO,67972.218,101012.55,26.48
$IMU,67972.221,-6.469,1.464,6.835,-0.10791,-0.06933,1.01660,26.86
$HUM,67972.222,60.8,27.8
$MAG,67972.248,-0.163,-0.507,-0.223,25.0
$BARO,67972.258,101013.77,26.48
$IMU,67972.297,-5.737,1.892,4.333,-0.13525,-0.11376,1.02197,26.90
$BARO,67972.298,101025.81,26.48
$HUM,67972.302,60.8,27.8
$BARO,67972.339,101020.99,26.48
$MAG,67972.345,-0.162,-0.516,-0.226,25.1
$IMU,67972.373,0.854,-1.037,0.610,-0.09277,-0.13085,1.00976,26.86
$BARO,67972.379,101017.04,26.49
$HUM,67972.382,60.8,27.8
$BARO,67972.419,101014.70,26.49
$MAG,67972.442,-0.165,-0.505,-0.217,24.9
$IMU,67972.450,7.507,0.427,-1.464,-0.06494,-0.07714,1.00634,26.90
$BARO,67972.459,101009.41,26.48
$HUM,67972.463,60.8,27.8
$BARO,67972.499,101023.13,26.49
$IMU,67972.526,5.065,3.540,-1.831,-0.08935,-0.06494,0.99365,26.91
$MAG,67972.538,-0.154,-0.519,-0.220,24.9
$BARO,67972.540,101021.31,26.49
$HUM,67972.543,60.9,27.8
$BARO,67972.580,101021.38,26.49
$IMU,67972.603,0.915,0.549,1.464,-0.08007,-0.07861,0.99316,26.91
$BARO,67972.620,101017.70,26.49
$HUM,67972.623,60.9,27.8
$MAG,67972.635,-0.166,-0.519,-0.222,25.1
$BARO,67972.660,101010.60,26.50
$IMU,67972.679,-1.647,1.464,2.441,-0.09814,-0.06982,1.00488,26.91
$VBAT,67972.698,3.953
$BARO,67972.700,101009.53,26.49
$HUM,67972.704,60.7,27.9
$MAG,67972.731,-0.151,-0.517,-0.217,25.1
$BARO,67972.741,101021.99,26.49
$IMU,67972.756,-4.272,1.770,0.915,-0.09863,-0.10156,0.99902,26.91
$BARO,67972.781,101017.43,26.50
$HUM,67972.784,60.8,27.9
$BARO,67972.821,101026.40,26.49
$MAG,67972.828,-0.157,-0.513,-0.231,25.2
$IMU,67972.832,-1.403,0.488,0.000,-0.11376,-0.10498,1.00878,26.95
$BARO,67972.861,101024.25,26.50
$HUM,67972.864,60.8,27.9
$BARO,67972.901,101027.67,26.50
$IMU,67972.909,1.586,-0.122,-3.479,-0.09130,-0.07470,1.00244,26.92
$MAG,67972.924,-0.153,-0.517,-0.225,25.2
$BARO,67972.942,101011.26,26.50
$HUM,67972.944,60.8,27.9
$BARO,67972.982,101017.62,26.50
$IMU,67972.985,0.549,1.464,-5.676,-0.08642,-0.07324,1.00146,26.93
$MAG,67973.021,-0.157,-0.522,-0.226,25.0
$BARO,67973.022,101020.38,26.49
$HUM,67973.025,60.8,27.9
$BARO,67973.062,101025.52,26.50
$IMU,67973.062,-0.610,2.929,-3.662,-0.09082,-0.09960,1.00000,26.92
$BARO,67973.102,101019.82,26.50
$HUM,67973.105,60.8,27.9
$MAG,67973.117,-0.157,-0.511,-0.220,25.1
$IMU,67973.138,-0.122,2.136,0.549,-0.11474,-0.08886,1.00000,26.94
$BARO,67973.142,101025.77,26.51
$BARO,67973.183,101021.31,26.51
