$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,559be0dd34bcf8eb9a37692d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,69114.722,-1.586,2.502,11.962,0.08886,-0.17431,0.76562,25.21
$IMU,69114.798,7.080,20.263,67.260,0.05517,-0.07958,0.88134,25.25
$BARO,69114.811,100911.33,24.85
$MAG,69114.817,-0.400,-0.261,-0.210,23.4
$BARO,69114.852,100898.38,24.85
$HUM,69114.856,61.1,26.0
$IMU,69114.874,12.756,50.903,86.669,-0.34375,-0.09130,0.87255,25.28
$BARO,69114.892,100911.86,24.86
$MAG,69114.914,-0.334,-0.265,-0.217,23.4
$BARO,69114.932,100905.11,24.86
$HUM,69114.936,61.1,26.1
$IMU,69114.951,10.559,46.447,79.040,-0.52587,-0.06787,0.90722,25.22
$BARO,69114.972,100910.91,24.86
$MAG,69115.010,-0.291,-0.271,-0.216,23.7
$BARO,69115.013,100906.38,24.86
$HUM,69115.016,61.1,26.1
$IMU,69115.027,-2.197,23.620,57.006,-0.24218,-0.08496,0.87841,25.30
$BARO,69115.053,100908.18,24.87
$BARO,69115.093,100904.77,24.87
$HUM,69115.097,61.2,26.1
$IMU,69115.104,0.854,42.602,53.283,-0.34521,-0.17333,0.76611,25.26
$MAG,69115.106,-0.220,-0.294,-0.213,23.5
$BARO,69115.133,100908.25,24.87
$BARO,69115.173,100903.77,24.87
$HUM,69115.177,61.4,26.2
$IMU,69115.180,33.569,53.100,56.884,-0.27734,-0.03417,0.87792,25.32
$MAG,69115.203,-0.148,-0.351,-0.213,23.4
$BARO,69115.214,100911.45,24.87
$BARO,69115.254,100914.49,24.87
$HUM,69115.257,61.2,26.1
$IMU,69115.257,47.729,64.086,65.307,-0.50634,0.19628,1.00195,25.30
$BARO,69115.294,100917.30,24.88
$MAG,69115.299,-0.091,-0.411,-0.186,23.4
$IMU,69115.333,41.564,70.251,48.217,-0.72167,0.21875,0.93750,25.30
$BARO,69115.334,100909.11,24.88
$HUM,69115.337,61.1,26.1
$BARO,69115.374,100912.57,24.88
$MAG,69115.396,-0.054,-0.472,-0.157,23.5
$IMU,69115.410,44.555,43.395,50.781,-0.57128,0.37011,0.79248,25.34
$BARO,69115.415,100910.11,24.88
$HUM,69115.418,61.0,26.1
$BARO,69115.455,100916.64,24.89
$IMU,69115.486,41.992,36.560,58.776,-0.33105,0.38623,0.56494,25.31
$MAG,69115.492,-0.045,-0.535,-0.141,23.4
$BARO,69115.495,100907.50,24.88
$HUM,69115.498,60.9,26.2
$BARO,69115.535,100913.10,24.88
$IMU,69115.562,46.386,50.109,93.017,-0.08349,0.41210,0.40332,25.33
$BARO,69115.575,100914.57,24.88
$HUM,69115.578,60.8,26.1
$MAG,69115.588,-0.049,-0.682,-0.087,23.4
$BARO,69115.615,100916.64,24.89
$IMU,69115.639,59.020,58.593,195.861,-0.10791,0.82861,0.30468,25.31
$VBAT,69115.652,3.942
$BARO,69115.656,100910.76,24.88
$HUM,69115.659,60.8,26.1
$MAG,69115.685,-0.141,-0.843,-0.013,23.4
$BARO,69115.696,100915.98,24.88
$IMU,69115.715,53.955,78.369,248.779,-0.21777,1.16894,0.34130,25.34
$BARO,69115.736,100915.08,24.89
$HUM,69115.739,60.8,26.2
$BARO,69115.776,100912.62,24.89
$MAG,69115.781,-0.286,-0.913,0.024,23.5
$IMU,69115.792,21.606,71.533,224.914,-0.62060,1.19677,0.43554,25.33
$BARO,69115.816,100909.42,24.89
$HUM,69115.819,60.9,26.2
$BARO,69115.857,100910.89,24.89
$IMU,69115.868,31.555,2.929,18.249,-0.45703,1.15332,0.41259,25.32
$MAG,69115.877,-0.243,-0.916,0.051,23.5
$BARO,69115.897,100913.69,24.89
$HUM,69115.899,60.9,26.1
$BARO,69115.937,100923.68,24.89
$IMU,69115.945,43.823,-56.335,-84.899,0.61914,1.56933,0.51953,25.35
$MAG,69115.974,-0.240,-0.918,0.075,23.5
$BARO,69115.977,100920.64,24.89
$HUM,69115.980,61.0,26.2
$BARO,69116.017,100920.69,24.89
$IMU,69116.021,46.081,-45.715,18.615,0.35449,1.32812,0.31787,25.35
$BARO,69116.058,100914.69,24.89
$HUM,69116.060,60.9,26.2
$MAG,69116.070,-0.270,-0.936,0.094,23.4
$BARO,69116.098,100914.35,24.89
$IMU,69116.098,25.817,-9.643,17.639,0.23535,1.00439,0.16064,25.36
$BARO,69116.138,100917.54,24.90
$HUM,69116.140,61.0,26.2
