$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,00b6a27b6dd7ef7c23b04503
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,70511.755,-1.953,7.202,-7.080,0.18847,-0.13134,1.37207,24.03
$IMU,70511.831,-4.150,15.991,-26.977,-0.11035,-0.35937,1.16064,24.05
$BARO,70511.844,100867.57,23.64
$MAG,70511.850,-0.501,-0.358,-0.211,22.2
$BARO,70511.884,100866.43,23.65
$HUM,70511.888,59.6,24.8
$IMU,70511.908,7.934,-17.395,-28.564,0.23388,-0.13085,1.04541,24.06
$BARO,70511.924,100868.11,23.65
$MAG,70511.946,-0.523,-0.357,-0.204,22.4
$BARO,70511.965,100865.70,23.65
$HUM,70511.968,59.6,24.8
$IMU,70511.984,-3.906,-25.817,-14.709,0.00292,-0.10205,0.65722,24.07
$BARO,70512.005,100871.35,23.66
$MAG,70512.042,-0.549,-0.372,-0.205,22.0
$BARO,70512.045,100865.89,23.65
$HUM,70512.049,59.7,24.8
$IMU,70512.061,-11.413,-32.287,-39.550,0.11083,-0.05615,0.57226,24.05
$BARO,70512.085,100875.81,23.66
$BARO,70512.125,100879.86,23.67
$HUM,70512.129,59.7,24.8
$IMU,70512.137,-2.624,-14.526,-44.494,0.23437,-0.05517,0.72753,24.10
$MAG,70512.139,-0.574,-0.382,-0.192,22.4
$BARO,70512.166,100869.62,23.66
$BARO,70512.206,100876.20,23.66
$HUM,70512.209,59.7,24.8
$IMU,70512.214,15.136,16.357,-10.375,0.28857,-0.00244,1.22460,24.09
$MAG,70512.235,-0.531,-0.400,-0.202,22.4
$BARO,70512.246,100871.74,23.67
$BARO,70512.286,100861.55,23.68
$HUM,70512.290,59.7,24.8
$IMU,70512.290,12.573,55.480,22.277,-0.09960,0.02636,1.44482,24.11
$BARO,70512.326,100857.55,23.68
$MAG,70512.331,-0.492,-0.408,-0.211,22.0
$IMU,70512.366,-6.652,43.579,32.470,-0.30273,-0.26269,1.17138,24.07
$BARO,70512.367,100872.93,23.67
$HUM,70512.370,59.6,24.9
$BARO,70512.407,100864.21,23.68
$MAG,70512.428,-0.468,-0.408,-0.214,22.3
$IMU,70512.443,9.155,9.277,31.921,-0.24658,-0.18652,0.95166,24.09
$BARO,70512.447,100871.55,23.68
$HUM,70512.450,59.6,24.9
$BARO,70512.487,100874.40,23.68
$IMU,70512.519,15.502,-0.793,26.000,-0.10693,-0.02392,0.76123,24.11
$MAG,70512.524,-0.466,-0.423,-0.208,22.3
$BARO,70512.527,100870.94,23.68
$HUM,70512.531,59.7,24.9
$BARO,70512.568,100859.21,23.68
$IMU,70512.596,7.812,-1.647,19.104,-0.09619,0.05224,0.66259,24.13
$BARO,70512.608,100871.79,23.68
$HUM,70512.611,59.7,24.8
$MAG,70512.620,-0.462,-0.424,-0.207,22.2
$BARO,70512.648,100872.59,23.68
$IMU,70512.672,5.065,-8.605,12.634,-0.04589,0.16162,0.88574,24.14
$VBAT,70512.683,3.910
$BARO,70512.688,100862.48,23.68
$HUM,70512.691,59.8,24.9
$MAG,70512.716,-0.475,-0.420,-0.205,22.4
$BARO,70512.728,100876.66,23.68
$IMU,70512.749,-3.051,-10.437,-3.601,-0.06787,0.08300,1.11474,24.13
$BARO,70512.769,100875.30,23.69
$HUM,70512.771,59.7,24.8
$BARO,70512.809,100872.67,23.69
$MAG,70512.813,-0.478,-0.424,-0.199,22.2
$IMU,70512.825,-1.464,-17.456,-24.047,0.02734,0.08056,1.27685,24.15
$BARO,70512.849,100863.92,23.69
$HUM,70512.852,59.7,24.9
$BARO,70512.889,100858.92,23.69
$IMU,70512.902,-9.887,-27.404,-32.592,0.27148,0.02490,1.32080,24.14
$MAG,70512.909,-0.516,-0.414,-0.186,22.3
$BARO,70512.929,100865.38,23.69
$HUM,70512.932,59.7,24.9
$BARO,70512.970,100872.91,23.69
$IMU,70512.978,-18.554,-7.995,-30.090,0.13964,-0.28808,1.07861,24.13
$MAG,70513.005,-0.522,-0.418,-0.186,22.3
$BARO,70513.010,100871.11,23.69
$HUM,70513.012,59.7,24.9
$BARO,70513.050,100874.15,23.69
$IMU,70513.054,5.126,2.441,-28.930,0.17089,-0.18212,0.88281,24.15
$BARO,70513.090,100874.15,23.69
$HUM,70513.093,59.8,24.9
$MAG,70513.102,-0.528,-0.447,-0.192,22.0
$BARO,70513.130,100861.92,23.69
$IMU,70513.131,17.333,5.615,-14.465,-0.04394,0.01269,0.69726,24.17
$BARO,70513.171,100872.15,23.69
