$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,5625873c1632208f56554250
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,82047.791,-1.708,2.258,-2.563,0.01855,0.01025,0.95556,11.44
$IMU,82047.868,-1.953,1.464,-4.882,0.01416,0.01416,1.02392,11.43
$BARO,82047.881,102364.25,11.22
$MAG,82047.887,-0.310,-0.411,-0.192,9.4
$BARO,82047.921,102365.68,11.23
$HUM,82047.925,69.1,11.8
$IMU,82047.944,-1.831,-1.525,-1.037,0.01806,0.00976,1.00732,11.44
$BARO,82047.962,102375.60,11.23
$MAG,82047.982,-0.306,-0.405,-0.196,9.2
$BARO,82048.002,102357.06,11.23
$HUM,82048.006,69.2,11.8
$IMU,82048.021,-1.708,-1.831,-0.488,0.02587,0.01464,1.00585,11.44
$BARO,82048.043,102366.32,11.24
$MAG,82048.077,-0.307,-0.388,-0.198,9.4
$BARO,82048.083,102373.34,11.24
$HUM,82048.086,69.0,11.8
$IMU,82048.097,-5.310,-3.356,0.427,-0.00097,0.02978,1.02685,11.44
$BARO,82048.123,102363.98,11.24
$BARO,82048.164,102361.64,11.24
$HUM,82048.166,69.1,11.8
$MAG,82048.173,-0.310,-0.379,-0.196,9.4
$IMU,82048.173,-13.610,-9.094,4.760,0.08984,-0.00244,1.00537,11.44
$BARO,82048.204,102362.27,11.24
$BARO,82048.244,102359.74,11.24
$HUM,82048.247,68.8,11.8
$IMU,82048.250,-16.296,-12.268,11.535,0.06982,-0.04589,1.01611,11.45
$MAG,82048.268,-0.327,-0.373,-0.198,9.4
$BARO,82048.285,102361.78,11.25
$BARO,82048.325,102363.03,11.25
$IMU,82048.326,-13.305,-14.953,4.882,0.10742,-0.14746,0.96923,11.50
$HUM,82048.327,68.7,11.8
$MAG,82048.363,-0.337,-0.369,-0.198,9.4
$BARO,82048.365,102366.20,11.24
$IMU,82048.403,-5.004,-8.361,-8.117,0.12500,-0.09472,0.99707,11.48
$BARO,82048.406,102363.15,11.25
$HUM,82048.407,68.7,11.9
$BARO,82048.446,102365.56,11.25
$MAG,82048.458,-0.340,-0.358,-0.192,9.2
$IMU,82048.479,-5.859,0.793,-13.549,0.06689,-0.12597,1.00537,11.56
$BARO,82048.486,102359.25,11.25
$HUM,82048.488,68.8,11.8
$BARO,82048.527,102368.17,11.26
$MAG,82048.554,-0.351,-0.337,-0.193,9.3
$IMU,82048.555,-7.080,-0.061,-17.822,0.06982,-0.17089,0.98876,11.52
$BARO,82048.567,102370.24,11.25
$HUM,82048.568,68.8,11.9
$BARO,82048.608,102361.61,11.26
$IMU,82048.632,-1.708,-3.723,-21.789,0.11767,-0.05078,1.02246,11.48
$BARO,82048.648,102361.66,11.25
$HUM,82048.648,68.8,11.9
$MAG,82048.649,-0.360,-0.343,-0.186,9.4
$BARO,82048.688,102365.64,11.26
$IMU,82048.708,-3.479,-2.502,-15.563,0.12402,-0.05957,1.00537,11.52
$VBAT,82048.726,4.140
$BARO,82048.729,102364.39,11.25
$HUM,82048.729,68.7,11.9
$MAG,82048.744,-0.361,-0.330,-0.181,9.4
$BARO,82048.769,102364.37,11.26
$IMU,82048.785,-4.089,0.366,-9.887,0.09960,-0.10205,0.99707,11.51
$HUM,82048.809,68.8,11.9
$BARO,82048.809,102372.46,11.26
$MAG,82048.839,-0.367,-0.336,-0.192,9.4
$BARO,82048.850,102364.42,11.26
$IMU,82048.861,-2.258,1.953,-8.117,0.08789,-0.12695,1.00048,11.52
$HUM,82048.889,68.8,11.9
$BARO,82048.890,102364.17,11.26
$BARO,82048.930,102361.81,11.26
$MAG,82048.935,-0.369,-0.328,-0.174,9.4
$IMU,82048.938,0.549,2.075,-7.141,0.09130,-0.11621,0.99414,11.52
$HUM,82048.970,68.8,11.9
$BARO,82048.971,102360.71,11.27
$BARO,82049.011,102371.66,11.26
$IMU,82049.014,0.671,1.892,-4.821,0.08691,-0.09814,0.99169,11.53
$MAG,82049.030,-0.369,-0.321,-0.181,9.3
$HUM,82049.050,68.8,12.0
$BARO,82049.051,102373.73,11.26
$IMU,82049.090,-2.197,0.915,-3.417,0.10351,-0.10644,1.00000,11.55
$BARO,82049.092,102363.25,11.27
$MAG,82049.125,-0.378,-0.322,-0.171,9.0
$HUM,82049.130,68.8,11.9
$BARO,82049.132,102364.42,11.27
$IMU,82049.167,-3.662,0.671,-0.671,0.08837,-0.11523,1.00634,11.55
$BARO,82049.172,102364.37,11.26
$HUM,82049.211,68.8,11.9
